Temperature,Simulations,Return,Discounted Return,Map
1,65,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFHF', 'FHHG']"
1,36,0,1.0,0.9332298921513504,"['SFHH', 'HFHF', 'HFFF', 'HFFG']"
1,96,0,1.0,0.8814479033836181,"['SHFH', 'FFFF', 'HHFF', 'FFHG']"
1,63,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'HHHF', 'FFFG']"
1,64,0,1.0,0.8225935318117279,"['SFHH', 'HFFF', 'FFHF', 'FFHG']"
1,6,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFH', 'HHFG']"
1,86,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'HFFF', 'HHFG']"
1,93,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FHFF', 'FFHG']"
1,55,0,1.0,0.9588092525966956,"['SFHF', 'FFFH', 'FFHF', 'FFFG']"
1,81,0,1.0,0.9791880578299021,"['SFFF', 'FFHH', 'FFFF', 'HFHG']"
1,82,0,1.0,0.9762504936564125,"['SHHF', 'FHFH', 'FFFF', 'HFFG']"
1,24,0,1.0,0.8127667407072335,"['SFFH', 'HHFH', 'FFFF', 'FFHG']"
1,94,0,1.0,0.9559328248389055,"['SHHF', 'FHHH', 'FHHF', 'FFFG']"
1,53,0,1.0,0.9530650263643888,"['SFHH', 'FFFH', 'FHFF', 'FFFG']"
1,99,0,1.0,0.9674905716180701,"['SFHH', 'FFHF', 'FHFH', 'FFFG']"
1,28,0,1.0,0.9332298921513504,"['SFHH', 'HFFF', 'HHFF', 'FFHG']"
1,65,0,1.0,0.9616943356035061,"['SFFH', 'FHHF', 'FHHF', 'FFFG']"
1,46,0,1.0,0.9791880578299021,"['SFHH', 'FHFF', 'FFFF', 'HFFG']"
1,86,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'HHHF', 'FHHG']"
1,32,0,1.0,0.9791880578299021,"['SFHH', 'FHHH', 'FFHF', 'FFFG']"
1,46,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HFFF', 'FHHG']"
1,61,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FHFF', 'HFHG']"
1,84,0,1.0,0.9473552137914398,"['SFFH', 'FFHF', 'HFFF', 'FHFG']"
1,13,0,1.0,0.8814479033836181,"['SFFF', 'FHHF', 'HHFF', 'HHHG']"
1,32,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFF', 'FFHG']"
1,42,0,1.0,0.9473552137914398,"['SFFF', 'HFHF', 'FHFF', 'FFHG']"
1,50,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'FHFG']"
1,15,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFH', 'FFFG']"
1,84,0,1.0,0.9762504936564125,"['SHFH', 'FHFF', 'FFFF', 'FFHG']"
1,90,0,1.0,0.9821344612135428,"['SFHF', 'HFFH', 'FFFF', 'FFFG']"
1,80,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FHHG']"
1,65,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFF', 'HFFG']"
1,88,0,1.0,0.9445131481500655,"['SFHH', 'FFFF', 'HHHF', 'HHHG']"
1,21,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'HHFF', 'FHHG']"
1,70,0,1.0,0.985089730404757,"['SHFF', 'FFHF', 'HFFF', 'HFFG']"
1,46,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'HHHG']"
1,75,0,1.0,0.9645880999032158,"['SFFF', 'HHFH', 'HFFH', 'HHFG']"
1,93,0,1.0,0.9559328248389055,"['SFFH', 'FHFH', 'FHFF', 'HHFG']"
1,21,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,32,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'FHHG']"
1,36,0,1.0,0.8103284404851119,"['SHFF', 'FFFH', 'HHFH', 'FHFG']"
1,18,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'FHFG']"
1,100,0,1.0,0.9502058312852957,"['SFFF', 'HHFH', 'HFFF', 'HHHG']"
1,8,0,1.0,0.9193151828650342,"['SFFF', 'HFHF', 'HFFF', 'HFHG']"
1,64,0,1.0,0.9388545698794984,"['SHFH', 'FFFF', 'HFHH', 'FFFG']"
