Temperature,Simulations,Return,Discounted Return,Map
1,95,0,1.0,0.8867604854519608,"['SHHH', 'FFFF', 'FHHF', 'FHFG']"
1,78,0,1.0,0.9416796087056153,"['SFFF', 'HFHH', 'FFFF', 'HHFG']"
1,38,0,1.0,0.9559328248389055,"['SFHF', 'FHHH', 'FFFF', 'FFFG']"
1,96,0,1.0,0.9674905716180701,"['SHHF', 'FHFH', 'FFFF', 'FHHG']"
1,48,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHHF', 'HHFG']"
1,80,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'FHFG']"
1,32,0,1.0,0.8476834558136123,"['SFHF', 'FFHH', 'FFFH', 'HHFG']"
1,15,0,1.0,0.9304302024748964,"['SFFF', 'HHHF', 'FFFF', 'HHFG']"
1,71,0,1.0,0.985089730404757,"['SHHF', 'FHFH', 'FFFF', 'FFHG']"
1,66,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'HHHF', 'FHHG']"
1,65,0,1.0,0.8709180316048211,"['SHHH', 'FFHH', 'FFFF', 'HFHG']"
1,22,0,1.0,0.9083329444789534,"['SFHH', 'HFFF', 'HHFF', 'FHHG']"
1,41,0,0.0,0.0,"['SFHF', 'FHFF', 'FFHH', 'HFFG']"
1,10,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFH', 'FHFG']"
1,44,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'FFHF', 'HHHG']"
1,89,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'HHHF', 'FHFG']"
1,33,0,1.0,0.9332298921513504,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,17,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFH', 'FHFG']"
1,82,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'HFHF', 'HFFG']"
1,33,0,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHFF', 'FFFG']"
1,65,0,1.0,0.9645880999032158,"['SFFF', 'FHFH', 'HFFF', 'HFFG']"
1,50,0,1.0,0.9276389118674717,"['SHFH', 'FFHH', 'HFFF', 'HHFG']"
1,30,0,0.0,0.0,"['SHHH', 'FHHH', 'FHHH', 'FFFG']"
1,17,0,0.0,0.0,"['SFFH', 'FHFH', 'FHHH', 'FFFG']"
1,89,0,1.0,0.9791880578299021,"['SFHH', 'FHHH', 'FFFF', 'HHHG']"
1,41,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFH', 'HHFG']"
1,43,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FFFH', 'FFFG']"
1,80,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FHHF', 'FFFG']"
1,92,0,1.0,0.9791880578299021,"['SFFH', 'FFFH', 'HHFF', 'HFHG']"
1,62,0,1.0,0.7539540549517295,"['SHFH', 'FHFH', 'FFFF', 'FFHG']"
1,4,0,0.0,0.0,"['SFHF', 'FHHF', 'FFHF', 'FFFG']"
1,14,0,1.0,0.9645880999032158,"['SFFF', 'HHFH', 'HFFF', 'FFFG']"
1,42,0,1.0,0.9733217421754432,"['SFFH', 'FHHH', 'FFFF', 'HFFG']"
1,34,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'HHFG']"
1,49,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HHHG']"
1,90,0,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'FFHF', 'HFFG']"
1,3,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFH', 'FHFG']"
1,75,0,1.0,0.9530650263643888,"['SFFH', 'FFHH', 'FFHH', 'HFFG']"
1,44,0,1.0,0.9276389118674717,"['SFFH', 'HHFF', 'HHHF', 'HHFG']"
1,55,0,1.0,0.9733217421754432,"['SFFH', 'HHFH', 'HFFF', 'HHFG']"
1,36,0,1.0,0.9220814271464737,"['SFHH', 'HFFF', 'HHFF', 'HHFG']"
1,91,0,1.0,0.803057341509771,"['SFHF', 'FHFF', 'FFFF', 'FHHG']"
1,10,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'FFFF', 'FHHG']"
1,6,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHH', 'FFFG']"
1,76,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFFH', 'HFFG']"
1,19,0,1.0,0.8788035596734672,"['SFFH', 'FFFF', 'HHHF', 'HFFG']"
1,85,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FHFF', 'FFFG']"
1,99,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'HFFF', 'FHHG']"
1,93,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'HHHF', 'FFHG']"
1,54,0,1.0,0.9704017769489168,"['SFFF', 'FHFH', 'HFFF', 'HFFG']"
1,32,0,1.0,0.9248559951318693,"['SFHF', 'FHFF', 'FHHH', 'FFFG']"
1,35,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFH', 'FHFG']"
1,51,0,0.0,0.0,"['SFFF', 'FHHF', 'FFHH', 'HFFG']"
1,11,0,1.0,0.7816331707050701,"['SFHH', 'FFHF', 'FFFF', 'FHFG']"
1,41,0,1.0,0.9248559951318693,"['SFFH', 'FFFF', 'HHHF', 'HHHG']"
1,61,0,1.0,0.9645880999032158,"['SFHH', 'HFFH', 'FFFF', 'HFFG']"
1,23,0,0.0,0.0,"['SFHF', 'FFFF', 'HHHF', 'HHFG']"
1,9,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'HFFF', 'FFFG']"
1,62,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HHHG']"
1,21,0,0.0,0.0,"['SHFF', 'FHFH', 'FHFF', 'FFFG']"
1,19,0,1.0,0.9165572373164391,"['SFFH', 'HFFH', 'HFFH', 'HHFG']"
1,19,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'FFFF', 'FFHG']"
1,67,0,1.0,0.9762504936564125,"['SHFF', 'FFHH', 'FFFH', 'HHFG']"
1,90,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HFFH', 'FFFG']"
1,58,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFH', 'FHFG']"
1,44,0,1.0,0.9473552137914398,"['SFHH', 'HFFH', 'FFHH', 'FFFG']"
1,79,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HHHG']"
1,86,0,1.0,0.9559328248389055,"['SHHH', 'FFFH', 'HHFF', 'FHFG']"
1,24,0,1.0,0.8974819010978248,"['SFFH', 'FFFF', 'HHFF', 'HHHG']"
1,7,0,0.0,0.0,"['SHHH', 'FFHF', 'FFHF', 'HFFG']"
1,99,0,1.0,0.9821344612135428,"['SFHF', 'HFHF', 'HFFF', 'FHFG']"
1,77,0,1.0,0.8947894553945313,"['SHFH', 'FHHF', 'FFFH', 'FHFG']"
1,46,0,1.0,0.9276389118674717,"['SFHF', 'HFFF', 'HFHF', 'HFHG']"
1,81,0,1.0,0.9530650263643888,"['SHFF', 'FHHH', 'FHHF', 'FFFG']"
1,50,0,1.0,0.9193151828650342,"['SHFH', 'FFHF', 'FFHH', 'HFFG']"
1,73,0,1.0,0.9762504936564125,"['SFHH', 'FHFF', 'FFFH', 'FFFG']"
1,8,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFH', 'HFFG']"
