Temperature,Simulations,Return,Discounted Return,Map
1,43,0,1.0,0.9416796087056153,"['SHHH', 'FHFF', 'FHFF', 'FFFG']"
1,14,0,1.0,0.8867604854519608,"['SHHH', 'FFFF', 'HFFF', 'FHFG']"
1,88,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHF', 'HFFG']"
1,62,0,1.0,0.9332298921513504,"['SHHH', 'FHFH', 'FFFH', 'HFFG']"
1,9,0,0.0,0.0,"['SFHH', 'FFHH', 'FFFF', 'FHHG']"
1,1,0,1.0,0.9332298921513504,"['SHHF', 'FHHH', 'FFFF', 'FFFG']"
1,52,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'HHFF', 'HFHG']"
1,27,0,1.0,0.9559328248389055,"['SFFF', 'FFFH', 'FFFF', 'FFHG']"
1,54,0,1.0,0.9445131481500655,"['SHFF', 'FFFF', 'FHFF', 'HHFG']"
1,70,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'HFFF', 'FHFG']"
1,60,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'HFFG']"
1,40,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'FHFG']"
1,4,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FHFF', 'HHFG']"
1,61,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'HFFF', 'HHFG']"
1,61,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FFFF', 'FHFG']"
1,61,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'HFFH', 'HFFG']"
1,91,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HHHF', 'FHFG']"
1,62,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FHHF', 'HFHG']"
1,32,0,1.0,0.7494371162085136,"['SFFH', 'HHFF', 'FHFH', 'HFFG']"
1,86,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'HHFF', 'HHHG']"
1,89,0,1.0,0.7816331707050701,"['SHHF', 'FHFH', 'FFFF', 'HHHG']"
1,81,0,1.0,0.9733217421754432,"['SHHH', 'FFFH', 'HFFF', 'HHHG']"
1,45,0,1.0,0.78398512608332,"['SFFH', 'FFHF', 'HFHF', 'HFFG']"
1,51,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'FHHF', 'HFHG']"
1,100,0,1.0,0.9083329444789534,"['SFFH', 'FHFH', 'FFFH', 'HHFG']"
1,31,0,1.0,0.985089730404757,"['SFHH', 'FFHF', 'FFFF', 'HFFG']"
1,66,0,1.0,0.9704017769489168,"['SFFH', 'HHFF', 'HHHF', 'FFHG']"
1,37,0,1.0,0.9193151828650342,"['SFFF', 'HHHF', 'HHFF', 'FFHG']"
1,49,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'HHFG']"
1,66,0,0.0,0.0,"['SFHF', 'FHFH', 'FFHH', 'HFFG']"
1,22,0,1.0,0.8426049842298329,"['SFFF', 'HFFH', 'FHFH', 'FFFG']"
1,11,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'HFHG']"
1,42,0,1.0,0.9588092525966956,"['SHFH', 'FFFH', 'FFFF', 'HHHG']"
1,55,0,1.0,0.8867604854519608,"['SFFF', 'FHFH', 'FHFF', 'HFHG']"
1,62,0,1.0,0.9674905716180701,"['SFHH', 'HFFH', 'FFFF', 'HHFG']"
1,21,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'FHHG']"
1,80,0,1.0,0.9559328248389055,"['SFFH', 'HFFH', 'FHFF', 'HFHG']"
1,38,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'FHFG']"
1,10,0,1.0,0.8426049842298329,"['SFFH', 'FFFH', 'HHFF', 'HFFG']"
1,94,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'FHFF', 'FFHG']"
1,89,0,1.0,0.8974819010978248,"['SHHF', 'FFFF', 'HFFF', 'FHHG']"
1,22,0,1.0,0.93603800616986,"['SHHH', 'FHFH', 'FFFF', 'HFFG']"
1,88,0,1.0,0.9248559951318693,"['SFHF', 'FFFF', 'FHHF', 'HFFG']"
1,80,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHFF', 'HFHG']"
1,65,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHH', 'FFFG']"
1,10,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'HHHG']"
1,63,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'FFFF', 'FHHG']"
