Temperature,Simulations,Return,Discounted Return,Map
1,90,0,0.0,0.0,"['SFFF', 'HFFH', 'FFHH', 'HFFG']"
1,42,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HFFF', 'HHFG']"
1,66,0,1.0,0.857932408958235,"['SFHF', 'FHFF', 'FFHH', 'HFFG']"
1,92,0,1.0,0.8867604854519608,"['SFHH', 'HFFH', 'HHFH', 'FFFG']"
1,2,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FFHG']"
1,68,0,1.0,0.9645880999032158,"['SFHH', 'HFHH', 'FFHF', 'FFFG']"
1,54,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHFF', 'FFHG']"
1,42,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFH', 'HHFG']"
1,31,0,1.0,0.9193151828650342,"['SHHH', 'FHFF', 'FFFF', 'HHFG']"
1,69,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'HHFF', 'FHFG']"
1,47,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'FFFF', 'HFFG']"
1,63,0,1.0,0.9616943356035061,"['SFHH', 'FFHH', 'FFFF', 'FHHG']"
1,18,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'HHHF', 'HFFG']"
1,85,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'HFHG']"
1,47,0,1.0,0.8788035596734672,"['SFFH', 'HHFH', 'HFFF', 'FFHG']"
1,92,0,1.0,0.93603800616986,"['SHHF', 'FFHH', 'FFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SHFF', 'FHHH', 'FHHH', 'FFFG']"
1,83,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'FHHF', 'FHFG']"
1,75,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FFFF', 'FHHG']"
1,96,0,1.0,0.9762504936564125,"['SFHH', 'FHHF', 'FFHH', 'HFFG']"
1,95,0,1.0,0.9559328248389055,"['SFHF', 'HFHH', 'HFFH', 'HFFG']"
1,13,0,0.0,0.0,"['SFFH', 'FHFF', 'FHFH', 'HHFG']"
1,11,0,1.0,0.8974819010978248,"['SFHF', 'HFFF', 'FHFF', 'HHFG']"
1,68,0,1.0,0.9733217421754432,"['SFFH', 'FFHF', 'FHFF', 'FFFG']"
1,97,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FHHF', 'HFHG']"
1,74,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFH', 'HHFG']"
1,87,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'HHHG']"
1,3,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'FHFF', 'FHFG']"
1,96,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'HFFH', 'HFFG']"
1,65,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HFFF', 'HFHG']"
1,62,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'HHFF', 'HFFG']"
1,89,0,1.0,0.8921050870283477,"['SFFH', 'HFHH', 'HFFF', 'HHHG']"
1,88,0,1.0,0.9388545698794984,"['SHHF', 'FFFF', 'FFFH', 'FHFG']"
1,49,0,1.0,0.8426049842298329,"['SFFF', 'HHFH', 'FFFH', 'FHFG']"
1,65,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'FHHG']"
1,59,0,1.0,0.9445131481500655,"['SFFH', 'HHFF', 'FHHF', 'FHHG']"
1,13,0,0.0,0.0,"['SFHH', 'HFFH', 'FFFF', 'HHHG']"
1,92,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'HHHF', 'HHHG']"
1,32,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'HFHF', 'HHHG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FHFF', 'FFHG']"
1,21,0,1.0,0.798246224976786,"['SFHH', 'FHHH', 'FFFH', 'HFFG']"
1,10,0,1.0,0.9083329444789534,"['SFFF', 'FFFF', 'FHFF', 'FFFG']"
1,79,0,1.0,0.9821344612135428,"['SFHF', 'HFFH', 'HFFH', 'FFFG']"
1,30,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'HFFF', 'FFHG']"
1,45,0,0.0,0.0,"['SFHH', 'FHHH', 'FFHF', 'HFFG']"
1,75,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'HFHF', 'HHHG']"
1,69,0,1.0,0.9530650263643888,"['SFFH', 'FHFF', 'FHHF', 'FFHG']"
1,58,0,1.0,0.9388545698794984,"['SHFF', 'FHHH', 'FFFF', 'HHFG']"
1,21,0,1.0,0.9530650263643888,"['SFFF', 'HFFF', 'HFFF', 'HHHG']"
1,46,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'HFHG']"
1,74,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'HFFF', 'FHFG']"
1,35,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'FFFF', 'HFHG']"
1,29,0,0.0,0.0,"['SHHF', 'FHHH', 'FFHF', 'HFFG']"
1,18,0,0.0,0.0,"['SHFF', 'FHFF', 'FHHH', 'FFFG']"
1,64,0,1.0,0.9762504936564125,"['SHFF', 'FHHF', 'FFFF', 'FHFG']"
1,88,0,1.0,0.9616943356035061,"['SFFH', 'HHFF', 'FFHF', 'HHFG']"
1,96,0,1.0,0.9791880578299021,"['SFFH', 'FHFH', 'HFFF', 'HHFG']"
1,74,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FFHG']"
1,53,0,1.0,0.9559328248389055,"['SFHF', 'FHHF', 'FFFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFHF', 'FFHF', 'FHFH', 'FFFG']"
1,97,0,1.0,0.9762504936564125,"['SFFH', 'HHFH', 'HHFF', 'FHHG']"
1,56,0,1.0,0.9733217421754432,"['SFFF', 'HHFH', 'FFFF', 'FHFG']"
1,42,0,1.0,0.9388545698794984,"['SHFF', 'FFFF', 'HFFF', 'HHFG']"
1,14,0,1.0,0.9791880578299021,"['SHFF', 'FFFH', 'FFHF', 'FFFG']"
1,91,0,1.0,0.8275513922024125,"['SHFH', 'FHHF', 'FFFF', 'HHHG']"
1,91,0,1.0,0.9791880578299021,"['SHHF', 'FFHF', 'FFHH', 'HFFG']"
1,31,0,1.0,0.8814479033836181,"['SFFH', 'FHHH', 'FFFF', 'FHFG']"
1,88,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'HHHF', 'HHHG']"
1,50,0,1.0,0.9704017769489168,"['SFFH', 'FHHF', 'FFFH', 'FFFG']"
1,49,0,1.0,0.9588092525966956,"['SFFF', 'HFHF', 'HFFF', 'FHHG']"
1,70,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FHFF', 'FFFG']"
1,96,0,1.0,0.9530650263643888,"['SHFH', 'FFFH', 'HFHH', 'HFFG']"
1,39,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'HHFG']"
1,17,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'HFFG']"
1,70,0,0.0,0.0,"['SHHF', 'FFHF', 'HFHF', 'FFFG']"
1,14,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFH', 'HHFG']"
1,59,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HHHG']"
1,33,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'FHHG']"
1,4,0,1.0,0.8788035596734672,"['SFFF', 'FHHF', 'FHHF', 'FFFG']"
