Temperature,Simulations,Return,Discounted Return,Map
1,68,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'FFHF', 'HFFG']"
1,50,0,0.0,0.0,"['SFFF', 'FHFH', 'FFHF', 'HFFG']"
1,37,0,1.0,0.8127667407072335,"['SHHH', 'FHHF', 'FHHF', 'FFFG']"
1,22,0,1.0,0.9248559951318693,"['SHFH', 'FHFF', 'FFHH', 'FFFG']"
1,96,0,1.0,0.9762504936564125,"['SHHH', 'FFHH', 'FHFH', 'FFFG']"
1,93,0,1.0,0.9588092525966956,"['SFFF', 'HFFH', 'FHFF', 'FHFG']"
1,71,0,1.0,0.9056079456455165,"['SFFF', 'FFFH', 'HFHF', 'FFFG']"
1,22,0,1.0,0.857932408958235,"['SHFH', 'FHFH', 'FHFH', 'FFFG']"
1,16,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFH', 'HFFG']"
1,1,0,0.0,0.0,"['SHHH', 'FFHH', 'FFHH', 'HFFG']"
1,65,0,1.0,0.93603800616986,"['SFHF', 'FFFF', 'HHHF', 'FHHG']"
1,50,0,1.0,0.9559328248389055,"['SHFH', 'FFFF', 'FFFF', 'FFHG']"
1,10,0,0.0,0.0,"['SHHH', 'FFHH', 'FHFH', 'FFFG']"
1,7,0,1.0,0.8761671489944468,"['SFFF', 'FFFF', 'HFHF', 'HHHG']"
1,63,0,1.0,0.9388545698794984,"['SFFH', 'HHFF', 'FFFH', 'FFFG']"
1,53,0,1.0,0.9821344612135428,"['SHHH', 'FFHF', 'FHHH', 'FFFG']"
1,12,0,0.0,0.0,"['SHHF', 'FHHF', 'FFHH', 'HFFG']"
1,43,0,1.0,0.8553586117313603,"['SFHF', 'HFFF', 'HFHF', 'FHHG']"
1,60,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFHF', 'HHHG']"
1,24,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'HHHG']"
1,73,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'FHFF', 'HFHG']"
1,75,0,1.0,0.9165572373164391,"['SHFH', 'FFFF', 'HHFF', 'HFHG']"
1,41,0,1.0,0.9762504936564125,"['SHHH', 'FFHH', 'FFFH', 'FFFG']"
1,84,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFHH', 'FFFG']"
1,94,0,1.0,0.9193151828650342,"['SFFH', 'FHFH', 'HFFF', 'FHFG']"
1,42,0,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HHFF', 'FFFG']"
1,12,0,1.0,0.9388545698794984,"['SFFF', 'FFHH', 'FFFF', 'HFFG']"
1,70,0,1.0,0.9445131481500655,"['SFFF', 'HHFF', 'FFFH', 'FFFG']"
1,45,0,1.0,0.8078974551636565,"['SFFF', 'HFHF', 'HFHH', 'HFFG']"
1,25,0,1.0,0.93603800616986,"['SFFF', 'FHHF', 'HHHF', 'FFHG']"
1,34,0,1.0,0.9473552137914398,"['SFFF', 'HHFF', 'FHHF', 'HFHG']"
1,79,0,1.0,0.9645880999032158,"['SHFF', 'FHHH', 'FHFH', 'FFFG']"
1,72,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HHFF', 'FHHG']"
1,28,0,0.0,0.0,"['SHFH', 'FHHH', 'FHFH', 'FFFG']"
1,17,0,1.0,0.7746195551602378,"['SHHF', 'FHFF', 'FFFF', 'HFFG']"
1,19,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHF', 'HFFG']"
1,5,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFH', 'HFFG']"
1,38,0,1.0,0.8225935318117279,"['SFHH', 'FFHH', 'FFHH', 'HFFG']"
1,8,0,0.0,0.0,"['SFFH', 'FHFF', 'HHHF', 'FHHG']"
1,32,0,1.0,0.767668872977057,"['SFHF', 'HFHH', 'HFHH', 'HFFG']"
1,99,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'FHFF', 'HFFG']"
1,88,0,1.0,0.9616943356035061,"['SHHH', 'FFFF', 'HHHF', 'FFFG']"
1,57,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FFHF', 'HFHG']"
1,91,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FHFF', 'FHFG']"
1,24,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'HHHG']"
1,42,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'HHHF', 'FHFG']"
1,61,0,1.0,0.9001824484431542,"['SFFF', 'HHFF', 'FHFH', 'HHFG']"
1,55,0,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'FFHF', 'FFFG']"
1,97,0,1.0,0.8400771692771434,"['SFHH', 'HFFF', 'FFHF', 'FHHG']"
1,63,0,1.0,0.9473552137914398,"['SFFF', 'HFHH', 'FFFH', 'FFFG']"
1,97,0,1.0,0.9733217421754432,"['SHHF', 'FFHF', 'FFFF', 'HHFG']"
1,84,0,1.0,0.8683052775100066,"['SFHH', 'HFFF', 'HFHH', 'HFFG']"
1,27,0,1.0,0.9276389118674717,"['SFHH', 'FFFF', 'FHFF', 'FHFG']"
1,57,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HFFF', 'HHFG']"
1,3,0,0.0,0.0,"['SHHH', 'FFFH', 'FHHF', 'FFFG']"
1,88,0,1.0,0.9332298921513504,"['SFHF', 'HFHH', 'FFFF', 'FHHG']"
1,79,0,1.0,0.9704017769489168,"['SFFH', 'HFHF', 'HFFF', 'FFFG']"
1,57,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FHHG']"
1,8,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'FHFF', 'FHFG']"
1,25,0,1.0,0.9473552137914398,"['SFHH', 'HFFH', 'FFFH', 'HFFG']"
1,53,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'FHHF', 'HFFG']"
1,30,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'HFHG']"
1,74,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'FFHH', 'HFFG']"
1,96,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'HFHF', 'HHHG']"
1,51,0,1.0,0.9473552137914398,"['SHFH', 'FFHF', 'FHHH', 'FFFG']"
1,55,0,1.0,0.9416796087056153,"['SFFF', 'FHFF', 'FHHF', 'FFFG']"
1,91,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'FHFF', 'FHHG']"
1,15,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HHHG']"
1,64,0,1.0,0.9791880578299021,"['SHHF', 'FHHH', 'FHFF', 'FFFG']"
1,92,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHH', 'HFFG']"
1,64,0,1.0,0.8947894553945313,"['SHHH', 'FHHF', 'FFFF', 'HHFG']"
1,13,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HFFF', 'FHFG']"
1,48,0,1.0,0.9762504936564125,"['SFHF', 'FHHH', 'FFFF', 'FHFG']"
1,64,0,1.0,0.9473552137914398,"['SFHF', 'HFFF', 'FHFH', 'FFFG']"
1,36,0,1.0,0.8921050870283477,"['SHFH', 'FFHH', 'HFFH', 'FFFG']"
1,67,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HFFG']"
1,41,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'HHFF', 'HFHG']"
1,52,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FHHF', 'FHFG']"
1,56,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'FFFF', 'FHHG']"
1,15,0,0.0,0.0,"['SHHF', 'FFFH', 'FFHF', 'HFFG']"
1,8,0,1.0,0.9821344612135428,"['SHHF', 'FFHF', 'FFFF', 'FFFG']"
1,70,0,1.0,0.8788035596734672,"['SHHH', 'FHFH', 'FFHF', 'HFFG']"
1,33,0,1.0,0.9502058312852957,"['SFFF', 'FHHF', 'HHFF', 'FHFG']"
1,39,0,1.0,0.8553586117313603,"['SFFH', 'HHFF', 'FFFH', 'FHFG']"
1,8,0,0.0,0.0,"['SHFH', 'FFFF', 'FFFH', 'HFFG']"
1,40,0,1.0,0.9645880999032158,"['SHFF', 'FFFF', 'HHFH', 'HHFG']"
1,73,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHH', 'FFFG']"
1,94,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FHHF', 'FHFG']"
1,26,0,1.0,0.8657003616774767,"['SHFF', 'FFFF', 'FHHH', 'FFFG']"
1,65,0,1.0,0.9530650263643888,"['SHHH', 'FHFH', 'FFHH', 'FFFG']"
1,83,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HHFF', 'HHFG']"
1,46,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'FFHF', 'FFHG']"
1,76,0,1.0,0.9733217421754432,"['SFHH', 'HFFH', 'HFHH', 'HFFG']"
1,15,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFH', 'FFFG']"
1,14,0,1.0,0.9110661429076764,"['SFFH', 'FHFF', 'FHFF', 'HFFG']"
1,54,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFH', 'HHFG']"
1,25,0,0.0,0.0,"['SHHH', 'FHFF', 'FFHF', 'HFFG']"
1,11,0,0.0,0.0,"['SHHH', 'FHHF', 'FFHF', 'HFFG']"
1,33,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'HHHF', 'FFFG']"
1,39,0,1.0,0.776950406379376,"['SFFF', 'FHFH', 'FHHH', 'FFFG']"
1,5,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFF', 'FHFG']"
1,30,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'FHHF', 'FFFG']"
1,20,0,1.0,0.9193151828650342,"['SFFH', 'HFFF', 'HHFF', 'FFHG']"
1,57,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'HHFF', 'FFFG']"
1,63,0,1.0,0.8225935318117279,"['SFFF', 'FHHH', 'FFHH', 'HFFG']"
1,20,0,1.0,0.9416796087056153,"['SFFF', 'HFHF', 'FFFF', 'FFFG']"
1,92,0,1.0,0.9473552137914398,"['SFHF', 'FHFF', 'FFFF', 'FFHG']"
1,60,0,1.0,0.9821344612135428,"['SFHH', 'FFHF', 'FFFF', 'FFHG']"
1,51,0,1.0,0.9473552137914398,"['SFHF', 'FHHF', 'FHHF', 'FFFG']"
1,93,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'HFFF', 'HFFG']"
1,89,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHF', 'HFFG']"
1,10,0,0.0,0.0,"['SFHH', 'FFHH', 'FFFH', 'HFFG']"
1,29,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFH', 'HHFG']"
1,31,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'FHHG']"
1,69,0,1.0,0.9704017769489168,"['SFHH', 'FHFH', 'FFFF', 'FHHG']"
1,78,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FHFF', 'FFFG']"
1,43,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HFFF', 'HFFG']"
1,48,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'HFFG']"
1,30,0,1.0,0.8921050870283477,"['SFHF', 'HFFH', 'HFFF', 'HHHG']"
1,22,0,1.0,0.9473552137914398,"['SFFF', 'HFFH', 'HHFH', 'FHFG']"
1,79,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'FHFF', 'HFFG']"
1,85,0,1.0,0.8502341582884777,"['SFFH', 'HFHF', 'FFFH', 'FHFG']"
1,9,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFH', 'HHFG']"
1,1,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FHFG']"
1,67,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HFHF', 'HFHG']"
1,77,0,1.0,0.9332298921513504,"['SFHF', 'HFFF', 'HHFF', 'FHHG']"
1,41,0,1.0,0.90289112180858,"['SHFF', 'FHFF', 'FFFH', 'HFFG']"
1,66,0,1.0,0.9791880578299021,"['SFFH', 'HFFH', 'HHFH', 'FFFG']"
1,38,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'HHHG']"
