Temperature,Simulations,Return,Discounted Return,Map
1,34,0,1.0,0.9056079456455165,"['SFHF', 'HFFF', 'FHHF', 'HFFG']"
1,98,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFHF', 'HFHG']"
1,72,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FFFF', 'FFFG']"
1,29,0,1.0,0.8974819010978248,"['SFHH', 'FFHF', 'FFFF', 'FHHG']"
1,28,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'HFFG']"
1,15,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFH', 'HFFG']"
1,6,0,0.0,0.0,"['SFFF', 'HHHF', 'HFFF', 'FHHG']"
1,41,0,1.0,0.79346393184295,"['SHHH', 'FHFF', 'FFHH', 'HFFG']"
1,20,0,1.0,0.9588092525966956,"['SFFH', 'HFHF', 'FFFH', 'HFFG']"
1,9,0,1.0,0.7958514863018556,"['SFFH', 'FFFF', 'FHFH', 'HFFG']"
1,91,0,1.0,0.8657003616774767,"['SHFF', 'FHFH', 'FFHF', 'HFFG']"
1,58,0,1.0,0.9733217421754432,"['SHFH', 'FHHF', 'FFHH', 'FFFG']"
1,100,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'HFFF', 'FFFG']"
1,42,0,1.0,0.9762504936564125,"['SFFF', 'FHHH', 'FHFH', 'FFFG']"
1,9,0,0.0,0.0,"['SFFH', 'HHFH', 'HHFH', 'FFFG']"
1,98,0,1.0,0.93603800616986,"['SFHF', 'FFHF', 'HFFF', 'FFHG']"
1,23,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFH', 'FHFG']"
1,81,0,1.0,0.8947894553945313,"['SFHF', 'HFFF', 'FHFH', 'HFFG']"
1,52,0,1.0,0.9083329444789534,"['SFHH', 'HFFH', 'FHFF', 'FFFG']"
1,42,0,1.0,0.9332298921513504,"['SFFF', 'FFFH', 'HFFF', 'HFHG']"
1,32,0,1.0,0.8054737627981655,"['SFFH', 'HHFH', 'FFFH', 'FHFG']"
1,69,0,1.0,0.9559328248389055,"['SHHH', 'FFFF', 'HFFH', 'HHFG']"
1,72,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HHFG']"
1,98,0,1.0,0.9645880999032158,"['SFHF', 'FFFF', 'HFHH', 'HFFG']"
1,14,0,1.0,0.9056079456455165,"['SFFF', 'FFFF', 'FFFF', 'FHFG']"
1,26,0,1.0,0.93603800616986,"['SFFF', 'FHHF', 'FFHF', 'FFFG']"
1,65,0,1.0,0.9704017769489168,"['SHHH', 'FFFF', 'FFFF', 'HHHG']"
1,1,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFH', 'HHFG']"
1,9,0,1.0,0.835044266956004,"['SFFF', 'FFHF', 'HFFF', 'HFHG']"
1,32,0,1.0,0.8735386475474635,"['SFFH', 'HFFF', 'HHHF', 'FFFG']"
1,13,0,0.0,0.0,"['SFFF', 'HFFF', 'FFHH', 'FFFG']"
