Temperature,Simulations,Return,Discounted Return,Map
1,73,0,1.0,0.9193151828650342,"['SFHH', 'HFHF', 'FFFF', 'HFHG']"
1,31,0,1.0,0.8709180316048211,"['SFHF', 'HFFF', 'HHHF', 'FFHG']"
1,48,0,1.0,0.9588092525966956,"['SFFF', 'HFHF', 'FFHF', 'FHHG']"
1,29,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'FHHF', 'FFHG']"
1,32,0,1.0,0.93603800616986,"['SFHF', 'HFFH', 'HFFF', 'HHFG']"
1,41,0,1.0,0.9445131481500655,"['SFFH', 'HFHF', 'HFFF', 'FFHG']"
1,93,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'HFHF', 'HFHG']"
1,3,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FFHG']"
1,100,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'HFHF', 'FHHG']"
1,85,0,1.0,0.8788035596734672,"['SFFH', 'FHFH', 'HFFF', 'FFHG']"
1,7,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'FHFG']"
1,16,0,1.0,0.9559328248389055,"['SFFH', 'HFHH', 'FFFF', 'FFFG']"
1,21,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FFHG']"
1,64,0,1.0,0.985089730404757,"['SFFH', 'FHHH', 'FFFF', 'FFFG']"
1,35,0,1.0,0.9445131481500655,"['SFFF', 'HHFF', 'HHHF', 'HHFG']"
1,21,0,1.0,0.9056079456455165,"['SFFF', 'HFHF', 'HHFF', 'HFHG']"
1,91,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFH', 'FFFG']"
1,28,0,1.0,0.9165572373164391,"['SFHH', 'HFHF', 'FFFH', 'HFFG']"
1,95,0,1.0,0.9645880999032158,"['SFFH', 'FHFH', 'HHFF', 'HFFG']"
1,28,0,1.0,0.9416796087056153,"['SFFF', 'FHFH', 'HFFF', 'FFHG']"
1,61,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FHFF', 'FFFG']"
1,41,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'FHFG']"
1,42,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'FHHG']"
1,65,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HFFF', 'HFHG']"
1,57,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HFFF', 'FFFG']"
1,22,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HHHG']"
1,43,0,1.0,0.8921050870283477,"['SFFH', 'HHFF', 'FHHF', 'FHFG']"
1,60,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'HFFF', 'HFHG']"
1,54,0,1.0,0.9056079456455165,"['SFHF', 'HFHF', 'HFFF', 'HFFG']"
1,35,0,0.0,0.0,"['SFFH', 'FFHF', 'HFHF', 'HFFG']"
1,57,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHH', 'FFFG']"
1,55,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'FFHF', 'HFFG']"
1,62,0,1.0,0.9791880578299021,"['SHFF', 'FHFH', 'FFHF', 'FFFG']"
1,96,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FHFH', 'FFFG']"
1,37,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'FHHG']"
1,88,0,1.0,0.9704017769489168,"['SFHF', 'FHHF', 'FFFF', 'HHFG']"
1,95,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'HHFF', 'HFFG']"
1,94,0,1.0,0.9762504936564125,"['SHFH', 'FHFH', 'FFFF', 'FHFG']"
1,49,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'FFHH', 'FFFG']"
1,100,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'HHFF', 'HHHG']"
1,72,0,1.0,0.9304302024748964,"['SFFF', 'HFHF', 'HHHF', 'HFFG']"
1,41,0,1.0,0.9110661429076764,"['SFFF', 'FHHF', 'FHHF', 'FHFG']"
1,95,0,1.0,0.9138075656044898,"['SFHF', 'FHFH', 'FFHF', 'HFFG']"
1,49,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'HFFF', 'FFFG']"
1,16,0,1.0,0.8527925358961662,"['SFFH', 'FHFH', 'FHFF', 'FHFG']"
1,69,0,1.0,0.9502058312852957,"['SFHH', 'FFHH', 'HFFH', 'HHFG']"
1,81,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFFF', 'FHFG']"
1,44,0,1.0,0.7722956964947572,"['SFHF', 'HFHF', 'HFFF', 'FFHG']"
1,59,0,1.0,0.9502058312852957,"['SFHF', 'HFFF', 'HFFF', 'FHHG']"
1,5,0,1.0,0.7863441585589971,"['SFFF', 'HHFF', 'HFHF', 'HFHG']"
1,99,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FHHG']"
