Temperature,Simulations,Return,Discounted Return,Map
1,30,0,1.0,0.884100203995605,"['SFHF', 'FFFF', 'HHHF', 'HFHG']"
1,45,0,1.0,0.9791880578299021,"['SFHH', 'FHHH', 'FFFH', 'FFFG']"
1,55,0,1.0,0.9056079456455165,"['SFFH', 'FFFH', 'HHFH', 'FHFG']"
1,66,0,1.0,0.9559328248389055,"['SFHF', 'FHFF', 'FHHF', 'FFFG']"
1,74,0,1.0,0.7630697687590515,"['SHHF', 'FFFF', 'HHFH', 'HFFG']"
1,64,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'HFFF', 'FFFG']"
1,69,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'FFFG']"
1,10,0,0.0,0.0,"['SFFF', 'HHFH', 'FHFF', 'HHHG']"
1,13,0,1.0,0.9588092525966956,"['SFFF', 'HFFF', 'HHHF', 'HHHG']"
1,91,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFH', 'HFFG']"
1,65,0,1.0,0.9674905716180701,"['SFHF', 'FFHH', 'FFFF', 'FFHG']"
1,100,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'FHHF', 'HFHG']"
1,20,0,0.0,0.0,"['SFHF', 'HFFF', 'HFFF', 'FHHG']"
1,8,0,1.0,0.8127667407072335,"['SFFH', 'FHFH', 'HFFF', 'FFFG']"
1,62,0,1.0,0.9193151828650342,"['SFFH', 'HHFF', 'HFHF', 'HHFG']"
1,6,0,0.0,0.0,"['SFFF', 'FHFF', 'FFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'HFHF', 'FFHF', 'HHFG']"
1,65,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'FHFF', 'HHHG']"
1,75,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'HFHH', 'HFFG']"
1,83,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HFFF', 'FHFG']"
1,90,0,1.0,0.9821344612135428,"['SHFH', 'FHFH', 'FFFH', 'FFFG']"
1,43,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'FFFF', 'FHHG']"
1,47,0,1.0,0.9248559951318693,"['SFFH', 'FFFF', 'HFFH', 'FHFG']"
1,50,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFFF', 'HHHG']"
1,94,0,1.0,0.9674905716180701,"['SFFH', 'FFFH', 'FFFF', 'HFHG']"
1,66,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHHF', 'FHHG']"
1,49,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'FFHF', 'HHHG']"
1,72,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'HHHF', 'HHHG']"
1,98,0,1.0,0.9674905716180701,"['SFHF', 'HFFH', 'HHFF', 'FFFG']"
1,50,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'HFFF', 'HHHG']"
1,95,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'HFHF', 'HFHG']"
1,99,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFFF', 'HHFG']"
1,29,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFH', 'HFFG']"
1,71,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FHFF', 'FFFG']"
1,100,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'HHFG']"
1,88,0,0.0,0.0,"['SHHF', 'FFHF', 'HFHF', 'FFFG']"
