Temperature,Simulations,Return,Discounted Return,Map
1,72,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'HHFH', 'HHFG']"
1,55,0,1.0,0.93603800616986,"['SFHF', 'FFFF', 'HHHF', 'FFHG']"
1,79,0,1.0,0.9674905716180701,"['SFHF', 'HFHH', 'HFFF', 'HHHG']"
1,91,0,1.0,0.9616943356035061,"['SFHH', 'FHHH', 'FHFF', 'FFFG']"
1,60,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HFFF', 'FFHG']"
1,11,0,0.0,0.0,"['SFFF', 'FHFH', 'HHFF', 'FHHG']"
1,23,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'FHFF', 'FFFG']"
1,85,0,1.0,0.9674905716180701,"['SFHH', 'FHHF', 'FFHH', 'HFFG']"
1,67,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'HFFG']"
1,35,0,1.0,0.9704017769489168,"['SHFH', 'FFFH', 'FFHH', 'FFFG']"
1,16,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'FHFF', 'FHFG']"
1,11,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'HHHF', 'HFHG']"
1,90,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'FHHG']"
1,19,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HFFG']"
1,18,0,0.0,0.0,"['SFFH', 'HHFF', 'FHFH', 'HHFG']"
1,29,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FHFG']"
1,57,0,1.0,0.9645880999032158,"['SFFF', 'FHFH', 'FFHF', 'FFFG']"
1,59,0,1.0,0.9762504936564125,"['SHHH', 'FFHF', 'FFFH', 'FFFG']"
1,86,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'HHHF', 'HHFG']"
1,73,0,1.0,0.9733217421754432,"['SFHH', 'FFFH', 'FFFF', 'HFHG']"
1,52,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFF', 'FFFG']"
1,25,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HHHG']"
1,26,0,0.0,0.0,"['SHFF', 'FHFF', 'FFHF', 'HFFG']"
1,35,0,1.0,0.9165572373164391,"['SFFH', 'FHFF', 'FHFF', 'HHHG']"
1,71,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'FFHF', 'HFFG']"
1,42,0,1.0,0.9704017769489168,"['SFHF', 'FFFH', 'HFFF', 'FFFG']"
1,17,0,1.0,0.8300415167526705,"['SHHH', 'FHFF', 'FFFF', 'HFFG']"
1,34,0,1.0,0.9193151828650342,"['SFFF', 'HHFF', 'FHHF', 'HHFG']"
1,30,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'FFHG']"
1,84,0,1.0,0.9332298921513504,"['SFFH', 'HHFF', 'FHFH', 'FFFG']"
1,76,0,1.0,0.9791880578299021,"['SFHF', 'FHFH', 'FFFF', 'HHFG']"
1,92,0,1.0,0.9138075656044898,"['SFHH', 'FFFF', 'HHHF', 'FFHG']"
1,40,0,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'HFFH', 'FFFG']"
1,99,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'FFFF', 'FFHG']"
1,87,0,1.0,0.8921050870283477,"['SFHH', 'HFHF', 'HFHH', 'HFFG']"
1,88,0,1.0,0.835044266956004,"['SHHH', 'FFFH', 'FHFF', 'FHHG']"
1,58,0,0.0,0.0,"['SFFH', 'FHHH', 'FFHH', 'HFFG']"
1,90,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'FHFF', 'HHFG']"
1,68,0,0.0,0.0,"['SHHF', 'FFHH', 'FFHH', 'HFFG']"
1,65,0,1.0,0.9530650263643888,"['SHHH', 'FFFH', 'HFFF', 'FFFG']"
1,86,0,1.0,0.7722956964947572,"['SHFF', 'FFFF', 'HHHF', 'HHFG']"
1,88,0,1.0,0.985089730404757,"['SHFF', 'FFHF', 'FFHF', 'FFFG']"
1,44,0,1.0,0.9416796087056153,"['SFFF', 'FFHF', 'HFFH', 'FFFG']"
1,13,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'FFFF', 'FHHG']"
1,63,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFH', 'FFFG']"
1,35,0,1.0,0.8553586117313603,"['SFHH', 'HFFF', 'HFHF', 'HHHG']"
1,14,0,1.0,0.8974819010978248,"['SHHH', 'FFFF', 'FFFH', 'HFFG']"
1,71,0,1.0,0.8735386475474635,"['SFFF', 'FFFH', 'FHFH', 'HFFG']"
1,61,0,1.0,0.9704017769489168,"['SHHH', 'FFFH', 'FFFF', 'FHFG']"
1,38,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FFHF', 'HHFG']"
1,44,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'HHFF', 'HHFG']"
1,35,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'HFFF', 'HHHG']"
1,86,0,1.0,0.9588092525966956,"['SHFH', 'FFHH', 'FHHH', 'FFFG']"
1,35,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFF', 'HHHG']"
1,94,0,1.0,0.9733217421754432,"['SHFF', 'FHHF', 'FFFH', 'FFFG']"
1,83,0,1.0,0.985089730404757,"['SHFF', 'FHFF', 'FFHF', 'FFFG']"
1,5,0,1.0,0.776950406379376,"['SFFF', 'FHFF', 'FFFF', 'FHFG']"
1,81,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'FFFF', 'FHFG']"
