Temperature,Simulations,Return,Discounted Return,Map
1,66,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'FHFG']"
1,29,0,1.0,0.884100203995605,"['SFFF', 'HFHH', 'FFFF', 'FHFG']"
1,29,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HFHG']"
1,46,0,1.0,0.8974819010978248,"['SHFH', 'FFHH', 'FHFH', 'FFFG']"
1,40,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFH', 'FHFG']"
1,76,0,1.0,0.9530650263643888,"['SFFH', 'HFFH', 'FHFF', 'HHHG']"
1,55,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'HHFG']"
1,16,0,1.0,0.8867604854519608,"['SFFH', 'HFFH', 'HHFF', 'HHFG']"
1,47,0,1.0,0.8788035596734672,"['SHHF', 'FFFF', 'FHFF', 'HHHG']"
1,23,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'HHHG']"
1,12,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'HFFG']"
1,79,0,1.0,0.93603800616986,"['SFFH', 'HHFF', 'FHHF', 'FFHG']"
1,83,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'HFHF', 'FFFG']"
1,67,0,1.0,0.9559328248389055,"['SFFH', 'FHFH', 'HFFF', 'FFFG']"
1,73,0,1.0,0.9616943356035061,"['SFFF', 'HFHH', 'FFFF', 'HHFG']"
1,96,0,1.0,0.9791880578299021,"['SFHH', 'FFHH', 'FFHH', 'FFFG']"
1,94,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'HHFF', 'HHFG']"
1,43,0,1.0,0.9588092525966956,"['SHFF', 'FFHF', 'FHFH', 'FFFG']"
1,80,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'HFFH', 'FFFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HFHG']"
1,4,0,0.0,0.0,"['SFFH', 'FHFH', 'HHFF', 'FFFG']"
1,18,0,1.0,0.9473552137914398,"['SHFH', 'FHFH', 'FFFF', 'FFFG']"
1,97,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FFHG']"
1,76,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'HHFH', 'HHFG']"
1,94,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'HFHF', 'HFHG']"
1,81,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'HFFH', 'FFFG']"
1,44,0,0.0,0.0,"['SFFH', 'HFFH', 'HFHF', 'HFFG']"
1,52,0,1.0,0.9821344612135428,"['SHHF', 'FHHH', 'FFHH', 'FFFG']"
1,30,0,1.0,0.9502058312852957,"['SFHF', 'HFFF', 'HHFF', 'FFHG']"
1,76,0,1.0,0.9445131481500655,"['SHFF', 'FFFH', 'HFFF', 'HFHG']"
1,42,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFF', 'HFHG']"
1,61,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHH', 'HFFG']"
1,61,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HFHG']"
1,53,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'HHFF', 'HFFG']"
1,11,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'HFFG']"
1,18,0,1.0,0.803057341509771,"['SFHH', 'FFFF', 'HFFH', 'FHFG']"
