Temperature,Simulations,Return,Discounted Return,Map
1,28,0,1.0,0.767668872977057,"['SFHF', 'HFFH', 'FHFF', 'HHFG']"
1,100,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'FFHF', 'HHFG']"
1,9,0,1.0,0.7910835400474212,"['SFFH', 'HHFH', 'HHFF', 'FHFG']"
1,33,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FHFG']"
1,62,0,1.0,0.985089730404757,"['SFFH', 'FFHH', 'HFFH', 'FFFG']"
1,8,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HFHG']"
1,94,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFHF', 'HFFG']"
1,78,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'FFHH', 'FFFG']"
1,67,0,1.0,0.9733217421754432,"['SHHF', 'FHHF', 'FHFF', 'FFFG']"
1,36,0,1.0,0.8631032605924442,"['SFFF', 'FHFH', 'HFFH', 'HHFG']"
1,2,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'HFFG']"
1,89,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'FHFH', 'FHFG']"
1,37,0,1.0,0.9388545698794984,"['SFFF', 'HHHF', 'FFHF', 'FFHG']"
1,72,0,1.0,0.9276389118674717,"['SFFF', 'FHHH', 'FFFF', 'FHHG']"
1,34,0,1.0,0.9645880999032158,"['SFFF', 'HHFH', 'FFFF', 'HHFG']"
1,6,0,0.0,0.0,"['SHHH', 'FFFF', 'FFFF', 'FFHG']"
1,41,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'FFFF', 'FFFG']"
1,56,0,0.0,0.0,"['SHHH', 'FHFF', 'FFHH', 'HFFG']"
1,5,0,0.0,0.0,"['SFFF', 'FFHF', 'HFHF', 'FHFG']"
1,41,0,1.0,0.9056079456455165,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,30,0,1.0,0.9588092525966956,"['SFFF', 'HFHF', 'HFFF', 'FHFG']"
1,80,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'HHFF', 'FFFG']"
1,51,0,1.0,0.9138075656044898,"['SFFF', 'FHFH', 'FHFH', 'HHFG']"
1,91,0,1.0,0.9733217421754432,"['SFFH', 'HHFH', 'FHFF', 'HFFG']"
1,70,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHFF', 'FFFG']"
1,66,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'HHHF', 'FHHG']"
1,85,0,1.0,0.9220814271464737,"['SFHH', 'HFFF', 'FHHF', 'FHHG']"
1,34,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HHFF', 'FHFG']"
1,86,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HHFF', 'HFFG']"
1,33,0,1.0,0.8788035596734672,"['SFFH', 'HHFH', 'HHFF', 'FHHG']"
1,90,0,1.0,0.9645880999032158,"['SHHF', 'FHHH', 'FFHH', 'FFFG']"
1,12,0,1.0,0.767668872977057,"['SFHF', 'HFFF', 'HHFF', 'HHFG']"
1,40,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FHFF', 'FFHG']"
1,8,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFF', 'FHHG']"
1,14,0,1.0,0.8400771692771434,"['SFHF', 'FFHF', 'FFFH', 'FFFG']"
1,3,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFH', 'FHFG']"
1,69,0,1.0,0.9332298921513504,"['SFFH', 'FHFF', 'FHFH', 'HFFG']"
1,60,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FFHF', 'HFFG']"
1,39,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'FFHG']"
1,20,0,1.0,0.93603800616986,"['SFHH', 'HFHH', 'HFFF', 'HFFG']"
1,92,0,1.0,0.9588092525966956,"['SHFH', 'FHFH', 'FHFH', 'FFFG']"
1,53,0,1.0,0.8921050870283477,"['SHHH', 'FFHF', 'FFHF', 'HFFG']"
1,35,0,0.0,0.0,"['SFHF', 'FHFH', 'FFHH', 'HFFG']"
1,27,0,1.0,0.9165572373164391,"['SFFF', 'FHFH', 'FHFF', 'FHHG']"
1,22,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFF', 'HFFG']"
1,91,0,1.0,0.9674905716180701,"['SFHF', 'FFFH', 'HHFF', 'HFHG']"
1,57,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HHFG']"
1,58,0,1.0,0.9445131481500655,"['SFFF', 'FHFH', 'FHFH', 'HFFG']"
1,96,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHFH', 'FHFG']"
1,70,0,1.0,0.9502058312852957,"['SFFF', 'FFHF', 'HFHF', 'HHFG']"
1,1,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFF', 'HFFG']"
1,100,0,1.0,0.9220814271464737,"['SFHF', 'HFHF', 'FFFH', 'FHFG']"
1,80,0,1.0,0.9733217421754432,"['SFHF', 'HFHH', 'FFHF', 'FFFG']"
1,40,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'HHFG']"
1,54,0,1.0,0.9473552137914398,"['SHHH', 'FHFH', 'FHHH', 'FFFG']"
1,96,0,1.0,0.985089730404757,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,89,0,1.0,0.9791880578299021,"['SFHF', 'FHFF', 'FFFF', 'FFHG']"
1,81,0,1.0,0.8527925358961662,"['SFHH', 'FFFH', 'HHFF', 'FFHG']"
1,16,0,0.0,0.0,"['SFHH', 'FFHF', 'FFFF', 'HHHG']"
