Temperature,Simulations,Return,Discounted Return,Map
1,74,0,1.0,0.93603800616986,"['SFFH', 'FFHH', 'HFFH', 'FFFG']"
1,66,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFFF', 'HFFG']"
1,47,0,1.0,0.9530650263643888,"['SFFH', 'HFHF', 'HFHF', 'FFFG']"
1,78,0,1.0,0.9110661429076764,"['SFFF', 'FHFH', 'FFFF', 'FFHG']"
1,39,0,1.0,0.9616943356035061,"['SFFH', 'HFFF', 'HFFH', 'FHFG']"
1,53,0,1.0,0.9502058312852957,"['SFFH', 'HFFH', 'HHFF', 'FFHG']"
1,46,0,1.0,0.9762504936564125,"['SHHF', 'FFFH', 'FFHF', 'FFFG']"
1,66,0,1.0,0.7958514863018556,"['SFHF', 'HFHH', 'HFFF', 'HHHG']"
1,54,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HFHG']"
1,1,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFH', 'FHFG']"
1,12,0,1.0,0.9762504936564125,"['SHHF', 'FHFF', 'FFFH', 'FFFG']"
1,74,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'HFFF', 'FHFG']"
1,7,0,0.0,0.0,"['SFFF', 'FHFH', 'HFFH', 'HFFG']"
1,98,0,1.0,0.9821344612135428,"['SFFH', 'FFHH', 'HFHH', 'HFFG']"
1,56,0,1.0,0.9821344612135428,"['SFFH', 'HFHF', 'HFFH', 'FFFG']"
1,75,0,1.0,0.93603800616986,"['SFHH', 'HFFF', 'FHFF', 'HFHG']"
1,60,0,1.0,0.8921050870283477,"['SFHH', 'HFHF', 'HFFH', 'HFFG']"
1,76,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'FHFG']"
1,77,0,1.0,0.9733217421754432,"['SFHF', 'HFFH', 'FHFF', 'FHFG']"
1,11,0,0.0,0.0,"['SFFF', 'HHFH', 'HHFF', 'FFHG']"
1,7,0,0.0,0.0,"['SFHH', 'FHFH', 'FFHH', 'FFFG']"
1,53,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FHFF', 'HHHG']"
1,48,0,1.0,0.9704017769489168,"['SFHH', 'FHFH', 'FFFF', 'HFFG']"
