Temperature,Simulations,Return,Discounted Return,Map
1,60,0,1.0,0.9530650263643888,"['SFHH', 'HFFF', 'FHFF', 'HFFG']"
1,8,0,0.0,0.0,"['SFFH', 'FHFF', 'HHFH', 'HFFG']"
1,50,0,0.0,0.0,"['SHFF', 'FFFH', 'FHHH', 'FFFG']"
1,88,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'HFFF', 'FHHG']"
1,97,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHHF', 'HHFG']"
1,41,0,1.0,0.9704017769489168,"['SFFH', 'HHFH', 'FFFF', 'HHFG']"
1,1,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'HFFG']"
1,65,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHFF', 'HFHG']"
1,53,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HHFF', 'FFFG']"
1,15,0,0.0,0.0,"['SFFF', 'FFHH', 'HFHH', 'FFFG']"
1,54,0,1.0,0.9616943356035061,"['SFFH', 'HFFF', 'FHHF', 'HHHG']"
1,5,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'FHFG']"
1,71,0,1.0,0.9001824484431542,"['SFHF', 'HFFF', 'FHHF', 'HFHG']"
1,2,0,0.0,0.0,"['SFFH', 'HHFF', 'FHFF', 'HFFG']"
1,76,0,1.0,0.9674905716180701,"['SFFH', 'HHFF', 'HHFF', 'FFHG']"
1,54,0,1.0,0.9645880999032158,"['SFHH', 'HFFH', 'HFFF', 'FHFG']"
1,27,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'FHFF', 'FFFG']"
1,2,0,0.0,0.0,"['SFHH', 'FFFF', 'FFFH', 'HFFG']"
1,46,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'HHFF', 'FFFG']"
1,85,0,1.0,0.9616943356035061,"['SHHF', 'FFHF', 'FFHH', 'HFFG']"
1,10,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'HFFG']"
1,79,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'FFHF', 'HFFG']"
1,73,0,1.0,0.9559328248389055,"['SFHF', 'FFHH', 'HFFF', 'FFFG']"
1,31,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFFF', 'HHFG']"
1,23,0,1.0,0.798246224976786,"['SFHF', 'FFFF', 'HFHF', 'HFHG']"
1,47,0,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HFFH', 'FFFG']"
1,67,0,1.0,0.9165572373164391,"['SFFH', 'FHFF', 'HFHF', 'HHFG']"
1,100,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'HFFF', 'FHFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFFF', 'FHFF', 'HFHG']"
1,40,0,1.0,0.9704017769489168,"['SHHH', 'FFFH', 'HFFF', 'HFFG']"
1,25,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HHHG']"
