Temperature,Simulations,Return,Discounted Return,Map
1,49,0,1.0,0.9193151828650342,"['SFFH', 'HFFF', 'HHFH', 'FFFG']"
1,79,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'FFFF', 'FHFG']"
1,82,0,1.0,0.9645880999032158,"['SFFF', 'FHFH', 'FFHH', 'HFFG']"
1,39,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'FFFF', 'FHFG']"
1,12,0,1.0,0.7887102894272789,"['SFFH', 'FHFF', 'HFHF', 'HHFG']"
1,87,0,1.0,0.9388545698794984,"['SFFF', 'FFHH', 'HFFF', 'HFFG']"
1,97,0,1.0,0.9588092525966956,"['SHHF', 'FFFF', 'HHFF', 'FFHG']"
1,49,0,1.0,0.9704017769489168,"['SHHF', 'FHHF', 'FFFH', 'FFFG']"
1,21,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'HFFG']"
1,28,0,0.0,0.0,"['SFHF', 'HFHF', 'HFHF', 'FFFG']"
1,19,0,1.0,0.9304302024748964,"['SFFH', 'FFFF', 'FHHF', 'HFHG']"
1,11,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHFG']"
1,98,0,1.0,0.8921050870283477,"['SFFF', 'HFHH', 'HFFH', 'FHFG']"
1,93,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FHHF', 'HFHG']"
1,17,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FHHF', 'HFHG']"
1,64,0,1.0,0.9416796087056153,"['SFFH', 'FHFH', 'HFFF', 'FHFG']"
1,38,0,0.0,0.0,"['SFFH', 'HFFH', 'FFHH', 'HFFG']"
1,40,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FHFF', 'FFHG']"
1,61,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'FFFH', 'FHFG']"
1,54,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'FFFF', 'HFHG']"
1,80,0,1.0,0.9588092525966956,"['SFHH', 'FFHF', 'FHHH', 'FFFG']"
1,80,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FFFF', 'FHFG']"
1,48,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'FHFF', 'FFFG']"
1,25,0,1.0,0.860513950810667,"['SFFF', 'FHFH', 'HHFF', 'HHHG']"
1,57,0,1.0,0.9445131481500655,"['SFHF', 'FFFH', 'FHFF', 'HHFG']"
1,43,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'FFFF', 'FFHG']"
1,100,0,1.0,0.9674905716180701,"['SHFH', 'FFFF', 'FFFF', 'HHHG']"
1,16,0,0.0,0.0,"['SFFH', 'HFFF', 'HHFH', 'FFFG']"
1,29,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFHF', 'FFFG']"
1,53,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'FFFF', 'HFFG']"
1,67,0,1.0,0.9083329444789534,"['SHHH', 'FFFF', 'FHFH', 'HFFG']"
1,79,0,1.0,0.8788035596734672,"['SHHH', 'FFFF', 'HHHF', 'FHFG']"
1,21,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HFFF', 'HFFG']"
1,88,0,1.0,0.7699788094052729,"['SHFH', 'FHHF', 'FFFH', 'FHFG']"
1,39,0,1.0,0.8103284404851119,"['SFFH', 'HFFH', 'FFHF', 'FFFG']"
1,6,0,0.0,0.0,"['SFHH', 'HFFF', 'FHFF', 'HHFG']"
1,59,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFH', 'HHFG']"
1,73,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFH', 'FHFG']"
1,100,0,1.0,0.9821344612135428,"['SFFH', 'FFFH', 'HHFF', 'FHFG']"
1,48,0,1.0,0.9193151828650342,"['SFFH', 'HFHH', 'FFFF', 'FHFG']"
1,82,0,1.0,0.985089730404757,"['SFHH', 'HFFH', 'HFFF', 'HFFG']"
1,7,0,0.0,0.0,"['SFFH', 'FFFF', 'HFHF', 'HFFG']"
1,62,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'HFHF', 'FHHG']"
1,40,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'HHFG']"
1,72,0,1.0,0.9645880999032158,"['SHFH', 'FHFF', 'FFFF', 'HHHG']"
1,17,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'HFFF', 'HFFG']"
1,58,0,1.0,0.8657003616774767,"['SHFH', 'FHFH', 'FHHH', 'FFFG']"
1,75,0,1.0,0.9645880999032158,"['SFFF', 'FFFH', 'FFFF', 'HFHG']"
1,47,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FFFF', 'FFFG']"
1,34,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFHF', 'FHHG']"
1,44,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FFFF', 'FFHG']"
1,33,0,1.0,0.93603800616986,"['SFFH', 'FFFH', 'FFFH', 'FFFG']"
1,46,0,1.0,0.985089730404757,"['SFFH', 'FFHH', 'FFHH', 'FFFG']"
1,39,0,1.0,0.9332298921513504,"['SFFH', 'HHFH', 'HFFH', 'FFFG']"
1,13,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FHFG']"
1,70,0,1.0,0.9416796087056153,"['SFFF', 'FHFH', 'FHFH', 'FHFG']"
1,43,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'FFFG']"
1,7,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'HFHG']"
1,62,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'FFHF', 'HHFG']"
1,55,0,1.0,0.9445131481500655,"['SFFH', 'FHFF', 'HFFF', 'FHFG']"
1,19,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FHHG']"
1,88,0,1.0,0.9220814271464737,"['SFHH', 'HFHF', 'HFHF', 'FFFG']"
1,71,0,1.0,0.985089730404757,"['SFFF', 'HHHF', 'FHFF', 'HHFG']"
1,51,0,1.0,0.8867604854519608,"['SHFF', 'FHHH', 'FFHF', 'HFFG']"
1,44,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHFF', 'FFFG']"
1,83,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'HFFF', 'HFFG']"
1,55,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HHHG']"
1,86,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FFFF', 'HFFG']"
1,28,0,1.0,0.9588092525966956,"['SFFF', 'FFFH', 'HFFF', 'FHFG']"
1,69,0,1.0,0.9388545698794984,"['SFFF', 'FFFH', 'HHFH', 'HFFG']"
1,67,0,1.0,0.9138075656044898,"['SFHF', 'HFFH', 'HFFH', 'HFFG']"
1,84,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'HHHG']"
1,74,0,1.0,0.9645880999032158,"['SFFH', 'HFHH', 'FFFH', 'HFFG']"
1,55,0,1.0,0.9762504936564125,"['SHFH', 'FFHH', 'FFFH', 'FFFG']"
1,9,0,1.0,0.9110661429076764,"['SFFH', 'HFFF', 'HFFF', 'HHFG']"
1,88,0,1.0,0.857932408958235,"['SHFH', 'FHFH', 'FFFF', 'HFHG']"
1,34,0,1.0,0.9276389118674717,"['SFFF', 'FFHF', 'FHFF', 'FHFG']"
1,71,0,1.0,0.9791880578299021,"['SHFH', 'FHFH', 'FHHH', 'FFFG']"
1,46,0,1.0,0.9138075656044898,"['SHHF', 'FFFH', 'FFFF', 'FHHG']"
1,66,0,1.0,0.8152123778407558,"['SFHH', 'HFFF', 'HFHH', 'HFFG']"
1,100,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFHH', 'FFFG']"
1,48,0,1.0,0.9416796087056153,"['SFFF', 'HFFH', 'FHFH', 'FHFG']"
1,97,0,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'HFFH', 'FHFG']"
1,66,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FHFF', 'HHFG']"
