Temperature,Simulations,Return,Discounted Return,Map
1,71,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'FFFF', 'HFFG']"
1,24,0,1.0,0.9502058312852957,"['SFFH', 'FHFH', 'FHFF', 'FFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFH', 'HHFG']"
1,29,0,1.0,0.93603800616986,"['SFFF', 'HHFH', 'HHFF', 'FFFG']"
1,76,0,1.0,0.9733217421754432,"['SHHF', 'FHHF', 'FFHH', 'FFFG']"
1,61,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FFFF', 'FHHG']"
1,66,0,1.0,0.7722956964947572,"['SFFH', 'HFHH', 'FFFF', 'HHHG']"
1,49,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHH', 'FFFG']"
1,48,0,1.0,0.9762504936564125,"['SFHH', 'FFHF', 'HFFF', 'HFFG']"
1,17,0,1.0,0.9276389118674717,"['SFFF', 'FFHF', 'HFFF', 'FFFG']"
1,55,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'FFFF', 'HHFG']"
1,94,0,1.0,0.9473552137914398,"['SHHH', 'FHHF', 'FFFF', 'HHFG']"
1,33,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFH', 'HHFG']"
1,59,0,1.0,0.93603800616986,"['SFHF', 'FFFH', 'FFFH', 'FHFG']"
1,25,0,1.0,0.8400771692771434,"['SFFH', 'FHFF', 'FHFF', 'HFFG']"
1,2,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHHG']"
1,81,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'FFHH', 'HFFG']"
1,75,0,1.0,0.9704017769489168,"['SFFH', 'FHHF', 'FFFH', 'FFFG']"
1,10,0,1.0,0.9530650263643888,"['SFFF', 'FFFH', 'FFFF', 'HHFG']"
1,43,0,1.0,0.9616943356035061,"['SFFH', 'FFFH', 'FHFF', 'FFHG']"
1,76,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FFHF', 'HHFG']"
1,22,0,0.0,0.0,"['SFHF', 'HFFH', 'FFHH', 'HFFG']"
1,84,0,1.0,0.9704017769489168,"['SHFH', 'FHHH', 'FFFF', 'FFFG']"
1,100,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FHHF', 'FFHG']"
1,15,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'FFHG']"
1,40,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HHFG']"
1,94,0,1.0,0.9733217421754432,"['SFHF', 'HFHF', 'FFFH', 'HFFG']"
