Temperature,Simulations,Return,Discounted Return,Map
1,50,0,1.0,0.9559328248389055,"['SFFF', 'HFFF', 'HFFH', 'FHFG']"
1,38,0,1.0,0.9502058312852957,"['SFFF', 'FFFH', 'FFFF', 'HFFG']"
1,89,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFFF', 'HFHG']"
1,75,0,0.0,0.0,"['SHHF', 'FFFH', 'FFHH', 'HFFG']"
1,47,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'HFFF', 'HFHG']"
1,86,0,1.0,0.9588092525966956,"['SFHH', 'FFHH', 'FFFF', 'FFHG']"
1,76,0,1.0,0.9138075656044898,"['SFFF', 'FFHH', 'FFFF', 'FFHG']"
1,23,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'FFHF', 'FFFG']"
1,12,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'FFHG']"
1,19,0,1.0,0.9193151828650342,"['SHHF', 'FFFH', 'HFHH', 'HFFG']"
1,99,0,1.0,0.9248559951318693,"['SFHF', 'FHFF', 'FFFH', 'FHFG']"
1,57,0,1.0,0.9473552137914398,"['SFHH', 'FFHF', 'HFFF', 'HFHG']"
1,85,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'FHFF', 'FFHG']"
1,98,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FFFH', 'HFFG']"
1,26,0,1.0,0.8476834558136123,"['SFHH', 'HFFF', 'HHFF', 'HFHG']"
1,4,0,0.0,0.0,"['SFFF', 'HHFH', 'HHFH', 'HHFG']"
1,33,0,1.0,0.9791880578299021,"['SHFH', 'FHFF', 'FFFH', 'FFFG']"
1,81,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'FFFH', 'HFFG']"
1,12,0,0.0,0.0,"['SFFH', 'FHFH', 'HHFH', 'HFFG']"
1,64,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'HFFG']"
1,41,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'HHFF', 'HFFG']"
1,62,0,1.0,0.9791880578299021,"['SHFH', 'FHHF', 'FFHF', 'FFFG']"
1,19,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFH', 'FHFG']"
1,85,0,1.0,0.9559328248389055,"['SFFF', 'FHFF', 'FFHF', 'FHFG']"
1,71,0,1.0,0.9645880999032158,"['SHHF', 'FFFF', 'HHFF', 'FFHG']"
1,67,0,1.0,0.9276389118674717,"['SFHH', 'HFHF', 'HFHH', 'FFFG']"
1,39,0,0.0,0.0,"['SFHH', 'HFFF', 'FHFH', 'HFFG']"
1,52,0,1.0,0.9645880999032158,"['SFFF', 'FHHF', 'HHFF', 'HFHG']"
1,37,0,1.0,0.9559328248389055,"['SFHF', 'FHFF', 'FFFF', 'HFFG']"
1,11,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFH', 'HHFG']"
1,72,0,1.0,0.9821344612135428,"['SFFF', 'FHFH', 'FFFF', 'FHFG']"
1,73,0,1.0,0.9332298921513504,"['SFFF', 'HHHF', 'HFHF', 'HHHG']"
1,7,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFH', 'HHFG']"
1,53,0,1.0,0.8761671489944468,"['SFFF', 'FFHH', 'HFHH', 'HFFG']"
1,51,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFHF', 'HFFG']"
1,64,0,1.0,0.9733217421754432,"['SFFF', 'FFFH', 'FHFF', 'HHFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFF', 'HFFG']"
1,47,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'HFHG']"
1,83,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'FHFF', 'HHHG']"
1,3,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HFHG']"
1,67,0,1.0,0.8921050870283477,"['SFFH', 'FHHH', 'FFFF', 'HFFG']"
1,3,0,0.0,0.0,"['SFFF', 'HFFH', 'HHFF', 'FHFG']"
1,27,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FHHF', 'FFFG']"
1,39,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FHFF', 'HHFG']"
1,4,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFF', 'FHHG']"
1,37,0,1.0,0.9616943356035061,"['SFFH', 'HHFF', 'HFHF', 'HFHG']"
