Temperature,Simulations,Return,Discounted Return,Map
1,33,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'FFFF', 'FFHG']"
1,67,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FHFF', 'HFHG']"
1,30,0,0.0,0.0,"['SFHH', 'HFHF', 'HFHH', 'FFFG']"
1,51,0,1.0,0.9674905716180701,"['SFFH', 'FFFH', 'HHFF', 'HHFG']"
1,42,0,0.0,0.0,"['SFFH', 'FHFF', 'HHHF', 'FFFG']"
1,60,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'HFHF', 'HFFG']"
1,84,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFH', 'FHFG']"
1,65,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FFFH', 'HFFG']"
1,48,0,1.0,0.9502058312852957,"['SFFF', 'FHFF', 'HHFH', 'HFFG']"
1,91,0,1.0,0.9473552137914398,"['SHHF', 'FFFF', 'HHFH', 'HFFG']"
1,74,0,1.0,0.8974819010978248,"['SFFH', 'HHFH', 'HHFF', 'HFFG']"
1,30,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'HFHF', 'HFHG']"
1,80,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'FFFF', 'FHFG']"
1,89,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFHF', 'HFHG']"
1,55,0,1.0,0.8867604854519608,"['SFHH', 'FFFF', 'HHHF', 'HHFG']"
1,36,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FFHG']"
1,44,0,1.0,0.9588092525966956,"['SFHH', 'HFHF', 'HFFH', 'HFFG']"
1,69,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'FHFF', 'FHHG']"
1,45,0,1.0,0.9248559951318693,"['SHHH', 'FFFF', 'HFFF', 'FHFG']"
1,37,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFH', 'HHFG']"
1,59,0,1.0,0.7607805594527743,"['SHHH', 'FFFF', 'FFHF', 'FHHG']"
1,96,0,1.0,0.9502058312852957,"['SHHH', 'FFHH', 'HFFH', 'HFFG']"
1,63,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HFHF', 'FFFG']"
1,1,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFH', 'FHFG']"
1,72,0,1.0,0.9762504936564125,"['SHFH', 'FFHF', 'HFFF', 'FHFG']"
1,91,0,1.0,0.985089730404757,"['SHHF', 'FFFH', 'FFFH', 'FHFG']"
1,69,0,1.0,0.9733217421754432,"['SHFF', 'FHFF', 'FFFF', 'FHFG']"
1,14,0,0.0,0.0,"['SHHH', 'FHHF', 'FFHF', 'HFFG']"
1,91,0,1.0,0.9332298921513504,"['SHHH', 'FFHF', 'HFFH', 'FFFG']"
1,17,0,1.0,0.8947894553945313,"['SHFF', 'FFHF', 'FFFH', 'FFFG']"
1,29,0,1.0,0.9388545698794984,"['SFHF', 'FFFF', 'HHFF', 'FHHG']"
1,99,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'FFFH', 'FHFG']"
1,28,0,0.0,0.0,"['SHHF', 'FHHF', 'FHHF', 'FFFG']"
1,51,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'FHFF', 'FFHG']"
1,74,0,1.0,0.9138075656044898,"['SFHF', 'FFFH', 'FHHH', 'FFFG']"
1,28,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'FHHG']"
1,36,0,1.0,0.9332298921513504,"['SFHF', 'FHHH', 'FFFF', 'HFFG']"
1,87,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'FHHG']"
1,76,0,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'FFHF', 'HHFG']"
1,30,0,1.0,0.9388545698794984,"['SFHH', 'FFFF', 'HFFF', 'HHHG']"
1,36,0,1.0,0.8761671489944468,"['SHFF', 'FHHH', 'FHFF', 'FFFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'HFFG']"
1,21,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FHFG']"
1,29,0,1.0,0.8527925358961662,"['SFFF', 'FHFH', 'FFFF', 'HFHG']"
1,42,0,1.0,0.9056079456455165,"['SHFF', 'FFFH', 'FHFH', 'FFFG']"
1,48,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'HHHG']"
