Temperature,Simulations,Return,Discounted Return,Map
1,83,0,1.0,0.9645880999032158,"['SFFF', 'FFFH', 'HHFF', 'FHHG']"
1,35,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'HHFG']"
1,92,0,1.0,0.9704017769489168,"['SFHH', 'FHFH', 'FFFF', 'HHFG']"
1,7,0,0.0,0.0,"['SFFH', 'FFHF', 'FHFF', 'FFFG']"
1,93,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'HFFF', 'FFHG']"
1,77,0,1.0,0.9502058312852957,"['SFHH', 'FHFF', 'FFFF', 'FHFG']"
1,62,0,1.0,0.9110661429076764,"['SFFH', 'HFFH', 'HHFH', 'FHFG']"
1,2,0,0.0,0.0,"['SFFH', 'FHFF', 'FHFF', 'HHFG']"
1,82,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FHFF', 'HHHG']"
1,53,0,1.0,0.9332298921513504,"['SHFH', 'FHFH', 'FFHF', 'FFFG']"
1,27,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'FFHF', 'HFFG']"
1,57,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HFHF', 'FHFG']"
1,65,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HFFF', 'FHFG']"
1,9,0,0.0,0.0,"['SFHH', 'FFFF', 'FFFF', 'FHFG']"
1,82,0,1.0,0.9530650263643888,"['SFFF', 'FHHF', 'HFHF', 'HHHG']"
1,84,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FHFF', 'FHHG']"
1,38,0,1.0,0.9791880578299021,"['SFFF', 'FHFH', 'HHFF', 'HFFG']"
1,58,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FFFH', 'HHFG']"
1,38,0,1.0,0.9001824484431542,"['SFFH', 'HFHH', 'HFHF', 'HFFG']"
1,91,0,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'FFHF', 'HHHG']"
1,100,0,1.0,0.93603800616986,"['SHHF', 'FFHF', 'HFHH', 'FFFG']"
1,50,0,1.0,0.9762504936564125,"['SHFF', 'FFFH', 'HHFF', 'FHFG']"
1,79,0,1.0,0.985089730404757,"['SHHH', 'FHHF', 'FFFH', 'FFFG']"
1,49,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'HFHG']"
1,21,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'FHHG']"
1,3,0,1.0,0.7792882711929549,"['SFFF', 'HFHF', 'HHFF', 'FHFG']"
1,64,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'FHFH', 'FFFG']"
1,4,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFF', 'HHHG']"
1,68,0,1.0,0.9276389118674717,"['SFFF', 'HFFF', 'HHFH', 'FFFG']"
1,35,0,1.0,0.9388545698794984,"['SFFF', 'HFHF', 'FFHF', 'HHHG']"
1,68,0,1.0,0.9791880578299021,"['SFHH', 'FFHF', 'FFFF', 'FHFG']"
1,26,0,0.0,0.0,"['SFFH', 'FHHH', 'FFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FFFF', 'FFHF', 'HFHG']"
1,53,0,1.0,0.9388545698794984,"['SHFF', 'FFFH', 'FFFH', 'HHFG']"
1,92,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'FHHF', 'FFHG']"
1,74,0,1.0,0.9502058312852957,"['SFFF', 'FHFF', 'HFFH', 'HHFG']"
1,28,0,1.0,0.9473552137914398,"['SFFH', 'HFFF', 'HFHF', 'HHHG']"
1,63,0,1.0,0.9530650263643888,"['SFHF', 'FFFH', 'FHFF', 'FHFG']"
1,58,0,1.0,0.8709180316048211,"['SHFH', 'FFFF', 'HHFF', 'HFHG']"
1,77,0,1.0,0.9704017769489168,"['SFFH', 'FHFH', 'FHHH', 'FFFG']"
1,50,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FFHG']"
1,29,0,1.0,0.7630697687590515,"['SFHH', 'HFFH', 'FFFF', 'FHHG']"
1,10,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'HHHG']"
1,89,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'FHFF', 'FFHG']"
1,7,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'FHFG']"
1,56,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFFF', 'FHFG']"
1,57,0,1.0,0.9704017769489168,"['SHHF', 'FFFF', 'FHFF', 'FFFG']"
1,16,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'HFFF', 'HHHG']"
1,78,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FFFF', 'FFFG']"
1,39,0,1.0,0.9762504936564125,"['SFFF', 'FFHH', 'HFHH', 'FFFG']"
1,96,0,1.0,0.7699788094052729,"['SFHH', 'FHFF', 'FFFH', 'HHFG']"
1,1,0,0.0,0.0,"['SFHF', 'HFFF', 'FFFF', 'FFHG']"
1,64,0,1.0,0.9821344612135428,"['SHFF', 'FHHH', 'FHFF', 'FFFG']"
1,45,0,1.0,0.8921050870283477,"['SHHF', 'FHFF', 'FFFF', 'FFHG']"
1,92,0,1.0,0.8735386475474635,"['SFHH', 'FFHH', 'FFFF', 'HFHG']"
1,44,0,1.0,0.9332298921513504,"['SFFF', 'HHFH', 'HHFH', 'HHFG']"
1,26,0,1.0,0.8527925358961662,"['SFFH', 'FFHF', 'FFFF', 'FFHG']"
1,78,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFFF', 'HHHG']"
1,40,0,1.0,0.985089730404757,"['SHFH', 'FHFF', 'FFFF', 'FFFG']"
1,8,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFH', 'HHFG']"
1,63,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFH', 'HHFG']"
1,87,0,1.0,0.9502058312852957,"['SHHF', 'FFFF', 'FFHF', 'FHHG']"
1,65,0,1.0,0.9733217421754432,"['SFFF', 'FFHH', 'HFFF', 'FHFG']"
1,3,0,0.0,0.0,"['SFFH', 'FFFF', 'HHHF', 'HFFG']"
1,21,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFF', 'FHHG']"
1,29,0,1.0,0.9276389118674717,"['SFFF', 'FHHF', 'FFFF', 'HHHG']"
1,33,0,0.0,0.0,"['SFHF', 'FFHH', 'FFHH', 'HFFG']"
1,93,0,1.0,0.9445131481500655,"['SHFH', 'FFFH', 'FHHH', 'FFFG']"
1,76,0,1.0,0.9304302024748964,"['SFHH', 'FFFF', 'HFHF', 'HHHG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,16,0,0.0,0.0,"['SHHF', 'FHHF', 'FHHH', 'FFFG']"
1,27,0,1.0,0.9674905716180701,"['SFHF', 'FFHH', 'FFFH', 'HFFG']"
1,9,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'FFHG']"
1,88,0,1.0,0.9220814271464737,"['SFFF', 'FHFH', 'FHFF', 'HHHG']"
1,14,0,1.0,0.7816331707050701,"['SFHF', 'HFFF', 'FFFH', 'FFFG']"
1,51,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FFFG']"
1,76,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FHFF', 'FFFG']"
1,39,0,1.0,0.8867604854519608,"['SFHF', 'FFFH', 'HFHH', 'FFFG']"
1,59,0,1.0,0.9332298921513504,"['SFFH', 'HHFF', 'HFFH', 'FFFG']"
1,34,0,1.0,0.8054737627981655,"['SFFH', 'FFHF', 'HFFF', 'HFHG']"
1,53,0,1.0,0.8735386475474635,"['SFFH', 'HHFF', 'FFHF', 'HFHG']"
1,63,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'FFFF', 'FHHG']"
1,66,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'HHFH', 'HHFG']"
1,53,0,0.0,0.0,"['SFHH', 'HFFF', 'FFFH', 'HHFG']"
1,52,0,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HFFF', 'HFHG']"
1,25,0,1.0,0.860513950810667,"['SFFH', 'FFFF', 'FHFH', 'FHFG']"
1,87,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'HFFF', 'FFFG']"
1,13,0,0.0,0.0,"['SFFF', 'FFFH', 'FHFH', 'FHFG']"
1,75,0,1.0,0.9704017769489168,"['SHHH', 'FFFH', 'HHFF', 'HHFG']"
1,45,0,1.0,0.9791880578299021,"['SHFF', 'FHHF', 'FFHH', 'FFFG']"
1,99,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HFFF', 'FFHG']"
1,5,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'FFHG']"
1,32,0,1.0,0.9304302024748964,"['SFFF', 'FFFF', 'HHHF', 'FHFG']"
1,58,0,1.0,0.9473552137914398,"['SFHH', 'FFFH', 'HFFF', 'FHHG']"
1,5,0,0.0,0.0,"['SFFH', 'HHFF', 'FFFH', 'HHFG']"
1,81,0,1.0,0.985089730404757,"['SHFH', 'FHFF', 'FFFH', 'HFFG']"
1,21,0,0.0,0.0,"['SFHF', 'HFFH', 'HFFF', 'HHFG']"
1,46,0,1.0,0.9821344612135428,"['SFFF', 'HFHH', 'HFFF', 'HFFG']"
1,98,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FHHF', 'HHFG']"
1,55,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
1,14,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FFFG']"
1,100,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'FFFF', 'HHFG']"
1,56,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'HHFF', 'FHFG']"
1,42,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'FFFF', 'FFFG']"
1,86,0,1.0,0.9733217421754432,"['SHFH', 'FFFF', 'HHFF', 'FHHG']"
1,12,0,1.0,0.8127667407072335,"['SFFH', 'FFFH', 'FHFF', 'HFHG']"
1,36,0,1.0,0.9332298921513504,"['SFFF', 'HFHF', 'FFHH', 'FFFG']"
1,98,0,1.0,0.9502058312852957,"['SFFF', 'HHFF', 'HHFH', 'HHFG']"
