Temperature,Simulations,Return,Discounted Return,Map
1,1,0,0.0,0.0,"['SFFH', 'FFFH', 'FFFH', 'HFFG']"
1,14,0,1.0,0.8709180316048211,"['SFFF', 'HFHF', 'FHHF', 'HHHG']"
1,83,0,1.0,0.9762504936564125,"['SFFH', 'FFHH', 'FFFH', 'HFFG']"
1,67,0,1.0,0.9473552137914398,"['SHHH', 'FFHF', 'FFHF', 'HFFG']"
1,78,0,1.0,0.8735386475474635,"['SHFH', 'FFFF', 'FHFF', 'HHFG']"
1,83,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FHFF', 'FHHG']"
1,65,0,1.0,0.9502058312852957,"['SHHH', 'FHFH', 'FHHF', 'FFFG']"
1,68,0,1.0,0.9674905716180701,"['SFHH', 'HFHH', 'HFFF', 'HFFG']"
1,74,0,1.0,0.9110661429076764,"['SFHF', 'FHFF', 'FFFH', 'HFFG']"
1,15,0,0.0,0.0,"['SFHH', 'HFFF', 'HHHF', 'HHHG']"
1,93,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FHHF', 'FHHG']"
1,94,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'FFFF', 'HFFG']"
1,92,0,1.0,0.9559328248389055,"['SFHH', 'FFFF', 'FHHF', 'FHFG']"
1,73,0,1.0,0.9704017769489168,"['SFFH', 'HHFF', 'FFFF', 'FFFG']"
1,34,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FHFF', 'FFHG']"
1,55,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HHHF', 'HFFG']"
1,25,0,1.0,0.9276389118674717,"['SFFF', 'HFHF', 'FHFF', 'HFFG']"
1,6,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFFF', 'FHHG']"
1,76,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'FFHF', 'FFHG']"
1,52,0,1.0,0.9588092525966956,"['SHFF', 'FFFF', 'FHFF', 'FHFG']"
1,35,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'FHFF', 'HHFG']"
1,90,0,1.0,0.9304302024748964,"['SFFF', 'FFFF', 'FFHF', 'HFFG']"
1,13,0,0.0,0.0,"['SFHF', 'FFHF', 'HFHH', 'HFFG']"
1,58,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FFFF', 'FHHG']"
1,78,0,1.0,0.8974819010978248,"['SHHF', 'FFFH', 'HFHF', 'HFFG']"
1,10,0,1.0,0.8894287717672626,"['SFFH', 'HHFF', 'HFFF', 'HFFG']"
