Temperature,Simulations,Return,Discounted Return,Map
1,56,0,1.0,0.9220814271464737,"['SFFH', 'FFFH', 'FHFH', 'FHFG']"
1,31,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'HFHG']"
1,92,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'HHFF', 'FFFG']"
1,20,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HFFF', 'HHHG']"
1,96,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHHF', 'HHFG']"
1,79,0,1.0,0.9762504936564125,"['SHHH', 'FFHH', 'FFFF', 'HFFG']"
1,3,0,0.0,0.0,"['SFFH', 'FFFF', 'HFHF', 'HHFG']"
1,48,0,1.0,0.9083329444789534,"['SHFH', 'FFFH', 'HFFH', 'HHFG']"
1,31,0,1.0,0.7494371162085136,"['SHHF', 'FFFF', 'FHFF', 'FFHG']"
1,20,0,1.0,0.7699788094052729,"['SFFH', 'FFHF', 'FFHH', 'HFFG']"
1,64,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HHHG']"
1,88,0,1.0,0.9138075656044898,"['SFHH', 'HFFH', 'FHFF', 'HFHG']"
1,54,0,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'FFHF', 'FFFG']"
1,28,0,1.0,0.9762504936564125,"['SHFF', 'FFFH', 'HFFH', 'HFFG']"
1,42,0,1.0,0.8867604854519608,"['SFFH', 'HFFH', 'HFFH', 'FHFG']"
1,26,0,1.0,0.8735386475474635,"['SFHF', 'FFFF', 'FHHF', 'FFFG']"
1,23,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'HFHG']"
1,44,0,0.0,0.0,"['SHFH', 'FFFF', 'FFFH', 'FHFG']"
1,83,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'HFFF', 'FHFG']"
1,9,0,1.0,0.798246224976786,"['SFFF', 'FHHH', 'FFFH', 'FFFG']"
1,9,0,0.0,0.0,"['SFFH', 'HFHF', 'FFHH', 'HFFG']"
1,29,0,1.0,0.9559328248389055,"['SFFH', 'HHFF', 'FFFF', 'FFFG']"
1,20,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'FFFF', 'HFHG']"
1,14,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFH', 'HFFG']"
1,83,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FHHF', 'FFHG']"
1,61,0,1.0,0.9762504936564125,"['SFHF', 'FFHF', 'FFFF', 'HFFG']"
1,35,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFH', 'HHFG']"
1,57,0,1.0,0.8974819010978248,"['SFHF', 'FFFF', 'FHHF', 'HFHG']"
1,66,0,1.0,0.9733217421754432,"['SFHH', 'HFHF', 'HFFF', 'HFFG']"
1,16,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HFHG']"
1,84,0,1.0,0.9388545698794984,"['SFFH', 'FHFH', 'HFFF', 'HFFG']"
1,45,0,1.0,0.8947894553945313,"['SHHF', 'FFFF', 'FHFF', 'FFHG']"
1,45,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FHHF', 'FHFG']"
1,62,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'FFFF', 'FFFG']"
1,99,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'FHFH', 'HFFG']"
1,52,0,0.0,0.0,"['SFHH', 'FFFH', 'HFHF', 'FFFG']"
1,96,0,1.0,0.9616943356035061,"['SFHH', 'FHFF', 'FFHF', 'FFFG']"
1,49,0,1.0,0.9733217421754432,"['SFHF', 'HFHH', 'FFHF', 'FFFG']"
1,96,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'HFFF', 'FFFG']"
1,34,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'HFHG']"
1,3,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FFFF', 'HHFG']"
1,62,0,1.0,0.9473552137914398,"['SFFH', 'FFHH', 'HFFH', 'FHFG']"
1,66,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'HHHF', 'FHHG']"
1,40,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FHFF', 'FHFG']"
1,36,0,1.0,0.9645880999032158,"['SHFF', 'FFFF', 'FFFF', 'HFFG']"
1,28,0,1.0,0.9388545698794984,"['SFHF', 'HFFH', 'FFFH', 'HFFG']"
1,19,0,1.0,0.8127667407072335,"['SFFH', 'HHFF', 'HFHF', 'HHFG']"
1,2,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'HFFG']"
1,34,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HFHG']"
1,53,0,1.0,0.9056079456455165,"['SFFH', 'FHFH', 'HHFH', 'HHFG']"
1,77,0,1.0,0.9473552137914398,"['SFHF', 'FFFF', 'FHHF', 'HHHG']"
1,18,0,1.0,0.8788035596734672,"['SFFF', 'FHFH', 'HHFF', 'FFFG']"
1,8,0,1.0,0.857932408958235,"['SFHF', 'FFFH', 'FFHH', 'FFFG']"
1,33,0,1.0,0.9588092525966956,"['SHHH', 'FFFF', 'HFFF', 'FFHG']"
1,49,0,1.0,0.8894287717672626,"['SFFH', 'HFHH', 'FFFF', 'FHFG']"
1,76,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FFHF', 'FHFG']"
1,48,0,1.0,0.8683052775100066,"['SFHH', 'FHFF', 'FFHH', 'HFFG']"
1,5,0,0.0,0.0,"['SFFF', 'HHFH', 'FFFH', 'HFFG']"
1,58,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHHF', 'HFHG']"
1,63,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FFFF', 'HHFG']"
1,22,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'HFHF', 'HFHG']"
1,75,0,1.0,0.9762504936564125,"['SFFF', 'FHFH', 'FFFF', 'FFFG']"
1,41,0,1.0,0.9645880999032158,"['SFHH', 'FFHH', 'HFFF', 'FHFG']"
1,30,0,1.0,0.9332298921513504,"['SFFF', 'FFHF', 'FFHF', 'HHHG']"
1,86,0,1.0,0.9791880578299021,"['SHFH', 'FFFH', 'FFHF', 'FFFG']"
