Temperature,Simulations,Return,Discounted Return,Map
1,79,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'FHFH', 'FFFG']"
1,53,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'HHFG']"
1,55,0,1.0,0.9588092525966956,"['SFFH', 'FFFH', 'FHFF', 'HHHG']"
1,32,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FHFG']"
1,86,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'HFFF', 'HFHG']"
1,3,0,0.0,0.0,"['SHFF', 'FFFF', 'HFFH', 'FHFG']"
1,24,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'HHHF', 'HHHG']"
1,45,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFH', 'FHFG']"
1,8,0,0.0,0.0,"['SFFH', 'FHFF', 'HHHF', 'HFFG']"
1,9,0,1.0,0.9530650263643888,"['SHFF', 'FFFF', 'FFFF', 'FHFG']"
1,92,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FFFG']"
1,45,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFH', 'HHFG']"
1,30,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HFFF', 'FHFG']"
1,92,0,1.0,0.9733217421754432,"['SHHH', 'FFFH', 'FFHF', 'HFFG']"
1,46,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'HHHF', 'HFHG']"
1,44,0,1.0,0.8325391341551359,"['SFFH', 'FFFH', 'HHFH', 'HFFG']"
1,85,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'FHFF', 'HHHG']"
1,74,0,1.0,0.9791880578299021,"['SHHF', 'FHHH', 'FHFF', 'FFFG']"
1,31,0,1.0,0.9502058312852957,"['SFHH', 'FFFF', 'HHFF', 'FFHG']"
1,37,0,1.0,0.9193151828650342,"['SHFF', 'FFFH', 'HFFF', 'HFFG']"
1,32,0,1.0,0.9588092525966956,"['SFFF', 'HFHH', 'FFFF', 'FFFG']"
1,85,0,1.0,0.9762504936564125,"['SFFH', 'FFHF', 'FFHH', 'FFFG']"
1,61,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'FFFF', 'HHFG']"
1,67,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'HHFF', 'HHHG']"
1,92,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FFFF', 'FFFG']"
1,48,0,1.0,0.9276389118674717,"['SFFF', 'FFHF', 'FHFF', 'HFFG']"
1,12,0,0.0,0.0,"['SHHF', 'FFHF', 'HFHF', 'FFFG']"
1,94,0,1.0,0.8814479033836181,"['SHHF', 'FFHH', 'HFHF', 'HFFG']"
1,16,0,1.0,0.8735386475474635,"['SFFF', 'FFFH', 'FFFH', 'HHFG']"
1,8,0,1.0,0.8921050870283477,"['SFFF', 'FHFF', 'HFHF', 'HHFG']"
1,17,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'HFHF', 'HHFG']"
1,95,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHHF', 'FFFG']"
1,70,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HFHG']"
1,27,0,1.0,0.9001824484431542,"['SFFF', 'HHFH', 'FHFH', 'HHFG']"
1,86,0,1.0,0.9530650263643888,"['SHFF', 'FFFF', 'HHHF', 'HFFG']"
1,45,0,1.0,0.9056079456455165,"['SFHH', 'FFHF', 'FFHH', 'HFFG']"
1,59,0,1.0,0.776950406379376,"['SHFH', 'FFFH', 'FHFF', 'HHFG']"
1,98,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'FFHF', 'HFHG']"
1,7,0,0.0,0.0,"['SFFF', 'FHFH', 'FHFH', 'FHFG']"
1,88,0,1.0,0.9110661429076764,"['SFHH', 'HFHF', 'FFHF', 'HFFG']"
1,72,0,1.0,0.9502058312852957,"['SFFH', 'HFFH', 'FHFH', 'HFFG']"
1,32,0,0.0,0.0,"['SFHF', 'FFFF', 'FFHF', 'HHHG']"
1,78,0,1.0,0.8152123778407558,"['SHFF', 'FFFH', 'HHFH', 'FHFG']"
1,56,0,1.0,0.9193151828650342,"['SFHH', 'FFFH', 'HHFF', 'FFFG']"
1,38,0,1.0,0.9416796087056153,"['SFFH', 'FFHF', 'HFFF', 'FFFG']"
1,40,0,1.0,0.9559328248389055,"['SFHF', 'FHHF', 'FFFF', 'HFFG']"
1,18,0,0.0,0.0,"['SHHF', 'FHFF', 'FHFF', 'FFFG']"
1,99,0,1.0,0.7792882711929549,"['SFHF', 'HFFF', 'FHFH', 'FHFG']"
1,75,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'HFHF', 'HFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FFFH', 'HFHH', 'HFFG']"
1,21,0,1.0,0.9445131481500655,"['SFFH', 'FFFH', 'HHFH', 'HFFG']"
1,59,0,1.0,0.9332298921513504,"['SHHH', 'FFHH', 'FFFH', 'FHFG']"
1,40,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HHFF', 'FHHG']"
1,70,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'HHFF', 'FFHG']"
1,69,0,1.0,0.9674905716180701,"['SFFH', 'HFHH', 'HFFH', 'FFFG']"
1,8,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'FHFG']"
1,68,0,1.0,0.9791880578299021,"['SFHF', 'HFFF', 'HFFF', 'FHHG']"
1,40,0,1.0,0.9530650263643888,"['SFFF', 'FHFF', 'FHHF', 'FFFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFF', 'FHFG']"
1,16,0,1.0,0.9220814271464737,"['SFFF', 'HFFF', 'HHFF', 'HFFG']"
1,19,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHF', 'HFFG']"
1,63,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'HHHF', 'FFFG']"
1,10,0,0.0,0.0,"['SFFH', 'HHFF', 'HHFH', 'HHFG']"
1,4,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFF', 'HFFG']"
1,61,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'HFFF', 'HHFG']"
1,42,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'HHFF', 'FFFG']"
1,17,0,0.0,0.0,"['SFHF', 'FHFF', 'FFHH', 'HFFG']"
1,35,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'HFHG']"
1,40,0,1.0,0.9791880578299021,"['SFHH', 'FFHH', 'HFFF', 'HFFG']"
1,45,0,1.0,0.9502058312852957,"['SHFF', 'FHFF', 'FHHH', 'FFFG']"
1,82,0,1.0,0.9762504936564125,"['SHHH', 'FHHH', 'FHHH', 'FFFG']"
1,37,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FHFG']"
1,96,0,1.0,0.7539540549517295,"['SFHH', 'FHHH', 'FFHF', 'HFFG']"
1,77,0,1.0,0.9388545698794984,"['SFFH', 'HFHF', 'HFFH', 'FHFG']"
1,58,0,1.0,0.8054737627981655,"['SFHF', 'FFHH', 'FHHH', 'FFFG']"
1,95,0,1.0,0.9502058312852957,"['SFFH', 'FFFF', 'FHFF', 'HFHG']"
1,68,0,1.0,0.9559328248389055,"['SFHF', 'FHHH', 'FFFF', 'HHFG']"
1,78,0,1.0,0.9762504936564125,"['SHFF', 'FFHF', 'HFFF', 'HFHG']"
1,99,0,1.0,0.9416796087056153,"['SFFH', 'HFFH', 'HFFH', 'HHFG']"
1,96,0,1.0,0.8502341582884777,"['SFHF', 'HFHH', 'HFFF', 'FHHG']"
1,61,0,1.0,0.9220814271464737,"['SHHH', 'FFFF', 'FFFH', 'FHFG']"
1,23,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFF', 'HHFG']"
1,53,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FFHF', 'FFHG']"
1,77,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'FFHH', 'FFFG']"
1,25,0,1.0,0.9473552137914398,"['SFFF', 'FFFF', 'HFHF', 'HHFG']"
1,68,0,1.0,0.9502058312852957,"['SHHF', 'FHHH', 'FFFF', 'FHFG']"
1,62,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'FHFF', 'FFFG']"
1,82,0,1.0,0.9502058312852957,"['SFFF', 'HFHH', 'FFFH', 'HFFG']"
1,23,0,0.0,0.0,"['SFHH', 'FFHF', 'FHHH', 'FFFG']"
1,84,0,1.0,0.9559328248389055,"['SHHH', 'FHFH', 'FFHF', 'FFFG']"
1,100,0,1.0,0.9821344612135428,"['SFFF', 'FHFH', 'FFFH', 'FFFG']"
1,49,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFF', 'HFHG']"
1,38,0,1.0,0.9332298921513504,"['SFHF', 'FFFF', 'FHFF', 'FFHG']"
1,32,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFH', 'FHFG']"
1,6,0,1.0,0.8502341582884777,"['SFFF', 'HHHF', 'HFHF', 'FFHG']"
1,89,0,1.0,0.9704017769489168,"['SFFH', 'FHHF', 'FFHF', 'HFFG']"
1,53,0,1.0,0.9645880999032158,"['SHFH', 'FFFF', 'FHFF', 'FHHG']"
