Temperature,Simulations,Return,Discounted Return,Map
1,2,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHH', 'FFFG']"
1,91,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HHFF', 'FFHG']"
1,25,0,1.0,0.9304302024748964,"['SFHF', 'FFHH', 'HFFF', 'FFFG']"
1,91,0,1.0,0.9530650263643888,"['SFFF', 'HHFF', 'HFFH', 'HHFG']"
1,40,0,1.0,0.9083329444789534,"['SFHF', 'HFFH', 'HFHH', 'FFFG']"
1,92,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'HHFF', 'FHFG']"
1,77,0,1.0,0.9165572373164391,"['SFFF', 'HHFH', 'HHFF', 'FHHG']"
1,12,0,0.0,0.0,"['SFFH', 'FHFH', 'FHFF', 'FFHG']"
1,73,0,1.0,0.9588092525966956,"['SHFF', 'FFFF', 'HHFF', 'FHHG']"
1,100,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'FHHG']"
1,91,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'HHFG']"
1,49,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'FFFF', 'HHFG']"
1,76,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHH', 'FFFG']"
1,87,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'FHFF', 'HFHG']"
1,55,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'HHFF', 'FFFG']"
1,73,0,1.0,0.79346393184295,"['SHFF', 'FFFF', 'FHFH', 'HHFG']"
1,98,0,1.0,0.9645880999032158,"['SFFF', 'FFHH', 'HFFF', 'HHFG']"
1,49,0,1.0,0.857932408958235,"['SHHH', 'FFHH', 'FFFF', 'FHFG']"
1,81,0,1.0,0.9588092525966956,"['SHFH', 'FFHF', 'HFFF', 'FFFG']"
1,69,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'HFFF', 'HFHG']"
1,59,0,1.0,0.8176653739626438,"['SFFF', 'FHHH', 'FHFH', 'FFFG']"
1,32,0,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'FHFF', 'FFFG']"
1,93,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'FFHF', 'HFHG']"
1,89,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'HFHF', 'HFFG']"
1,13,0,1.0,0.798246224976786,"['SFFH', 'HHFF', 'HHFF', 'HFHG']"
1,61,0,1.0,0.9733217421754432,"['SFFH', 'FFHF', 'HFFF', 'FFFG']"
1,55,0,1.0,0.9110661429076764,"['SFFH', 'HFHH', 'HFFF', 'FHHG']"
1,15,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHF', 'HFFG']"
1,68,0,1.0,0.8814479033836181,"['SFFH', 'FFFF', 'FHFH', 'HHFG']"
1,10,0,0.0,0.0,"['SFFH', 'FFFF', 'HHFF', 'FHHG']"
1,69,0,1.0,0.9616943356035061,"['SFFH', 'FHHH', 'FFHF', 'FFFG']"
1,38,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'FFHF', 'FFFG']"
1,63,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'HFHG']"
1,50,0,1.0,0.9616943356035061,"['SFHF', 'FHHF', 'FFHH', 'FFFG']"
1,42,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HFFF', 'FFFG']"
1,71,0,1.0,0.7699788094052729,"['SFHF', 'FFFF', 'FHFH', 'HFFG']"
1,49,0,1.0,0.90289112180858,"['SFHF', 'FFFH', 'FHFH', 'FHFG']"
1,3,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'HHFG']"
1,86,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FHFF', 'FFHG']"
1,24,0,0.0,0.0,"['SFFF', 'HHFH', 'HFFH', 'FFFG']"
1,55,0,1.0,0.9674905716180701,"['SHHH', 'FHFF', 'FFHH', 'FFFG']"
1,35,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'HHHG']"
1,9,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFH', 'HFFG']"
1,82,0,1.0,0.9388545698794984,"['SFHH', 'FHHH', 'FHHH', 'FFFG']"
1,36,0,1.0,0.7630697687590515,"['SFFH', 'HHFH', 'HHFF', 'HHHG']"
1,13,0,0.0,0.0,"['SFFH', 'HFFF', 'FHHF', 'HFHG']"
1,4,0,1.0,0.8400771692771434,"['SFFF', 'FFFF', 'HFHF', 'FFFG']"
1,24,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFH', 'HFFG']"
1,36,0,1.0,0.9138075656044898,"['SFFF', 'FHFH', 'HFFH', 'HFFG']"
1,44,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFH', 'HHFG']"
1,49,0,0.0,0.0,"['SHHF', 'FHHH', 'FFHF', 'HFFG']"
1,15,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHHG']"
1,89,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'HFHF', 'HFFG']"
1,88,0,1.0,0.9138075656044898,"['SHHH', 'FFHH', 'HFHF', 'HFFG']"
1,79,0,1.0,0.8867604854519608,"['SFHF', 'FHHF', 'FFFF', 'HHFG']"
1,97,0,1.0,0.9304302024748964,"['SFHH', 'HFHF', 'HFFH', 'HFFG']"
1,73,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'FHFF', 'HFHG']"
1,73,0,1.0,0.9304302024748964,"['SFHH', 'FHHF', 'FFHF', 'HFFG']"
1,64,0,1.0,0.9674905716180701,"['SFFH', 'FFHF', 'FHHH', 'FFFG']"
1,42,0,1.0,0.9165572373164391,"['SFHH', 'HFFF', 'FHHF', 'HFFG']"
1,96,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FFFF', 'HFHG']"
1,96,0,1.0,0.9821344612135428,"['SFHF', 'HFFH', 'FFFF', 'HHFG']"
