Temperature,Simulations,Return,Discounted Return,Map
1,74,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'FHHF', 'HFHG']"
1,55,0,1.0,0.9674905716180701,"['SFHH', 'FFFH', 'FFFF', 'FFFG']"
1,11,0,1.0,0.8103284404851119,"['SFHH', 'FFFF', 'FFHH', 'FFFG']"
1,61,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HHHF', 'HFFG']"
1,13,0,0.0,0.0,"['SFFH', 'FFFF', 'FHHF', 'FFHG']"
1,89,0,1.0,0.9791880578299021,"['SFFH', 'FFFH', 'HFFH', 'FFFG']"
1,95,0,1.0,0.9473552137914398,"['SFFF', 'HFHF', 'HFHF', 'FFHG']"
1,82,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'FFFH', 'HFFG']"
1,92,0,1.0,0.9704017769489168,"['SFFF', 'FFHH', 'FHHF', 'FFFG']"
1,53,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'HHHF', 'HHFG']"
1,28,0,1.0,0.9616943356035061,"['SFHF', 'HFHF', 'HFFF', 'FFFG']"
1,91,0,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'FFHF', 'FHFG']"
1,29,0,1.0,0.776950406379376,"['SFHF', 'HFFF', 'FHHF', 'FFFG']"
1,16,0,1.0,0.8502341582884777,"['SFFH', 'FFFF', 'FHHF', 'FHFG']"
1,55,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHF', 'FFFG']"
1,43,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'HHFG']"
1,28,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHH', 'HFFG']"
1,38,0,1.0,0.9332298921513504,"['SFFF', 'FHHF', 'HFFF', 'HFFG']"
1,30,0,1.0,0.9588092525966956,"['SHHF', 'FFFF', 'HFFF', 'HFFG']"
1,49,0,1.0,0.9674905716180701,"['SFFH', 'FHFF', 'HFFF', 'HHHG']"
1,47,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFH', 'FHFG']"
1,63,0,1.0,0.93603800616986,"['SFHH', 'HFHH', 'HFFF', 'FHFG']"
1,48,0,1.0,0.9674905716180701,"['SFHF', 'FFHH', 'FHFF', 'FFFG']"
1,47,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'HHFH', 'HHFG']"
1,92,0,1.0,0.9645880999032158,"['SHFF', 'FFHF', 'FHHH', 'FFFG']"
1,17,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'FFHG']"
1,74,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HFHF', 'HHHG']"
1,41,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FHHF', 'FFFG']"
1,30,0,0.0,0.0,"['SFHH', 'FFHF', 'FHFF', 'FFFG']"
1,39,0,1.0,0.9791880578299021,"['SHHF', 'FFHH', 'FFHF', 'FFFG']"
1,69,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'FFHG']"
1,19,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFF', 'HHFG']"
1,79,0,1.0,0.8921050870283477,"['SFHF', 'FHHF', 'FHHF', 'FFFG']"
1,88,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'FFHF', 'FFHG']"
1,84,0,1.0,0.9704017769489168,"['SFHH', 'FFFH', 'FHFH', 'HHFG']"
1,84,0,1.0,0.9304302024748964,"['SFFF', 'HFFH', 'HHFF', 'HFHG']"
1,58,0,1.0,0.9388545698794984,"['SFFH', 'FFFF', 'HHHF', 'FHFG']"
1,36,0,0.0,0.0,"['SFHH', 'FFHH', 'HFHH', 'FFFG']"
1,35,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFH', 'HHFG']"
1,81,0,1.0,0.9304302024748964,"['SFFF', 'HHFH', 'HFFH', 'FHFG']"
1,74,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'HFFG']"
1,100,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'FHFH', 'FHFG']"
1,82,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFHF', 'HHFG']"
1,87,0,1.0,0.9645880999032158,"['SFHH', 'HFFH', 'FFFF', 'HHFG']"
1,10,0,0.0,0.0,"['SHFH', 'FHFH', 'FFHF', 'HFFG']"
1,67,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HHFF', 'FFFG']"
1,100,0,1.0,0.9821344612135428,"['SHFH', 'FHHH', 'FFFF', 'HFFG']"
1,97,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HFFF', 'HHHG']"
1,72,0,0.0,0.0,"['SFFF', 'FHFH', 'FFHF', 'HFFG']"
1,96,0,1.0,0.9559328248389055,"['SHHF', 'FFHF', 'FFFH', 'HFFG']"
1,87,0,1.0,0.9645880999032158,"['SHFH', 'FFHH', 'HFFH', 'FFFG']"
1,61,0,1.0,0.803057341509771,"['SHFH', 'FFHH', 'HFFF', 'FHFG']"
1,90,0,1.0,0.985089730404757,"['SHHH', 'FHHH', 'FHFH', 'FFFG']"
1,88,0,1.0,0.9791880578299021,"['SFHH', 'FFFH', 'FFHF', 'FFFG']"
1,14,0,0.0,0.0,"['SFFH', 'HFFH', 'HFHH', 'FFFG']"
1,48,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'FHHF', 'HHHG']"
1,74,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HFFG']"
1,63,0,1.0,0.9165572373164391,"['SHFH', 'FFHH', 'HFFF', 'HFFG']"
1,78,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'HHFF', 'HHHG']"
1,84,0,1.0,0.9530650263643888,"['SFHH', 'FFHF', 'FHFH', 'FFFG']"
1,24,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'FHFG']"
1,5,0,0.0,0.0,"['SFHH', 'HFFF', 'FHFH', 'HFFG']"
1,33,0,0.0,0.0,"['SFFF', 'FHHF', 'FFHH', 'FFFG']"
1,64,0,1.0,0.9248559951318693,"['SFHF', 'HFHH', 'FFFH', 'FHFG']"
1,36,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFHH', 'FHHF', 'FHFF', 'FFFG']"
1,29,0,1.0,0.9304302024748964,"['SFFF', 'FHFF', 'HHHF', 'HHFG']"
1,20,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFH', 'HHFG']"
1,23,0,0.0,0.0,"['SHHF', 'FFHH', 'FFHF', 'HFFG']"
1,62,0,1.0,0.9502058312852957,"['SFFH', 'HHFH', 'HHFF', 'FHFG']"
1,22,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFF', 'FFHG']"
1,90,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FFFH', 'HFFG']"
1,26,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHFG']"
1,16,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFH', 'FFFG']"
1,13,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFH', 'FHFG']"
1,18,0,0.0,0.0,"['SFFH', 'FFFH', 'FHHF', 'FFFG']"
1,61,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHH', 'HFFG']"
1,84,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'HHHG']"
1,89,0,1.0,0.9616943356035061,"['SFFF', 'FFHF', 'HFFF', 'HHFG']"
1,15,0,0.0,0.0,"['SFHH', 'FHFF', 'FHHF', 'FFFG']"
1,24,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FHHG']"
1,62,0,1.0,0.9502058312852957,"['SFFH', 'FHFF', 'HFHF', 'HFHG']"
1,15,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'FFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFF', 'HHHG']"
1,51,0,1.0,0.9588092525966956,"['SFFH', 'FFFF', 'HHFH', 'HHFG']"
1,97,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'FFHF', 'HFFG']"
1,1,0,0.0,0.0,"['SFFH', 'FFFF', 'FHFH', 'HFFG']"
1,95,0,1.0,0.985089730404757,"['SFHF', 'FFHH', 'HFFF', 'FHHG']"
1,63,0,1.0,0.9138075656044898,"['SHFF', 'FFHH', 'FHFF', 'FFFG']"
1,96,0,1.0,0.8553586117313603,"['SHHH', 'FFFF', 'HFHH', 'FFFG']"
1,66,0,1.0,0.8709180316048211,"['SHHH', 'FHHF', 'FFHH', 'HFFG']"
1,12,0,1.0,0.9704017769489168,"['SHHF', 'FFFH', 'HFFF', 'HHFG']"
1,16,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFH', 'FHFG']"
1,11,0,0.0,0.0,"['SHHH', 'FHHH', 'FHHH', 'FFFG']"
1,27,0,1.0,0.7516921927868743,"['SFFF', 'FHHH', 'FFFH', 'HFFG']"
1,80,0,1.0,0.9645880999032158,"['SHFH', 'FHHF', 'FFHF', 'FFFG']"
1,92,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FHHF', 'FHHG']"
1,37,0,1.0,0.90289112180858,"['SFFH', 'HFFF', 'HFHF', 'HHHG']"
1,20,0,1.0,0.9193151828650342,"['SFFH', 'FFFH', 'FHFH', 'FHFG']"
1,51,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'FFHF', 'FHHG']"
1,98,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'FFFH', 'HHFG']"
1,20,0,0.0,0.0,"['SFFF', 'FFHH', 'FHFF', 'FFFG']"
1,83,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'FHFF', 'HHFG']"
1,82,0,1.0,0.9588092525966956,"['SFFH', 'FHFH', 'FHFF', 'FHFG']"
1,83,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'FFFG']"
1,90,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'FHFF', 'HFHG']"
1,39,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'FFHF', 'HFFG']"
1,4,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'FFHG']"
1,3,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFF', 'HFHG']"
1,88,0,1.0,0.9704017769489168,"['SHHH', 'FHHF', 'FHHH', 'FFFG']"
1,33,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FHHF', 'FHFG']"
1,59,0,1.0,0.7910835400474212,"['SHHH', 'FHHH', 'FFFF', 'FHHG']"
1,99,0,1.0,0.8152123778407558,"['SFFH', 'FFHH', 'HFFF', 'FHHG']"
1,19,0,0.0,0.0,"['SFFH', 'HFFH', 'FFFF', 'FHHG']"
1,77,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'FHHF', 'HFHG']"
1,65,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HFFF', 'HHHG']"
1,95,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'HHFF', 'HHHG']"
1,74,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FHHF', 'HFHG']"
1,10,0,0.0,0.0,"['SFHH', 'FHHF', 'FFHF', 'FFFG']"
1,5,0,1.0,0.9502058312852957,"['SFFF', 'HFFF', 'FFHF', 'FHFG']"
1,48,0,1.0,0.9704017769489168,"['SFFH', 'FFFH', 'HHFF', 'FHHG']"
1,21,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'HHFG']"
1,38,0,1.0,0.9791880578299021,"['SFHH', 'HFHH', 'HFFF', 'HFFG']"
1,44,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HHFF', 'FFFG']"
1,97,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'HHHF', 'HHFG']"
1,6,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFH', 'HFFG']"
1,36,0,1.0,0.9138075656044898,"['SFFH', 'FHFH', 'FHFH', 'HFFG']"
1,48,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'HHHG']"
1,88,0,1.0,0.9704017769489168,"['SFHH', 'HFHF', 'HFFF', 'FFFG']"
1,85,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FFFF', 'FHFG']"
1,49,0,1.0,0.8553586117313603,"['SHFF', 'FFFF', 'FHHF', 'FHHG']"
1,93,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFHF', 'FFFG']"
1,37,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHHG']"
1,22,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'HFHG']"
1,8,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFF', 'HHHG']"
1,47,0,1.0,0.7653658663581259,"['SFHH', 'HFHF', 'FFHH', 'HFFG']"
1,17,0,1.0,0.8867604854519608,"['SFHF', 'HFFF', 'FHFF', 'FHFG']"
1,11,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'FFFF', 'HFFG']"
1,4,0,1.0,0.8152123778407558,"['SFFH', 'FFFF', 'FFFH', 'HFFG']"
1,17,0,1.0,0.9473552137914398,"['SFHF', 'FFHF', 'FFFF', 'FFFG']"
1,35,0,1.0,0.9502058312852957,"['SFFF', 'FHFF', 'FHHF', 'FHFG']"
1,27,0,0.0,0.0,"['SFHH', 'HFFH', 'HFFH', 'HHFG']"
1,22,0,1.0,0.9791880578299021,"['SHHF', 'FHFH', 'FFHF', 'FFFG']"
1,33,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'FFFF', 'HFFG']"
1,60,0,1.0,0.8947894553945313,"['SHFH', 'FFHF', 'HFFH', 'HFFG']"
1,43,0,1.0,0.884100203995605,"['SHHF', 'FHFH', 'FFFH', 'HFFG']"
1,61,0,1.0,0.9821344612135428,"['SHHF', 'FFHF', 'FFFF', 'FFFG']"
1,54,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'FFFF', 'HHFG']"
1,11,0,1.0,0.8078974551636565,"['SFHF', 'FHHF', 'FFHH', 'FFFG']"
1,69,0,1.0,0.7863441585589971,"['SHFF', 'FFFF', 'HFHF', 'FFHG']"
1,6,0,0.0,0.0,"['SFFF', 'HFHH', 'HFHH', 'HFFG']"
1,43,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'FFFF', 'HFHG']"
1,14,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFF', 'HHFG']"
1,18,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFH', 'FHFG']"
1,43,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'HHFG']"
1,68,0,1.0,0.9193151828650342,"['SFHF', 'HFFF', 'FHHF', 'FHHG']"
