Temperature,Simulations,Initial State,Return,Discounted Return
1,69,9,1.0,0.994009
1,66,10,1.0,0.997
1,81,0,1.0,0.9502058312852957
1,91,14,1.0,1.0
1,35,10,1.0,0.997
1,23,1,1.0,0.7427123967299725
1,66,2,1.0,0.985089730404757
1,27,4,1.0,0.9559328248389055
1,47,0,1.0,0.9416796087056153
1,42,0,1.0,0.9559328248389055
1,7,2,1.0,0.9502058312852957
1,92,2,1.0,0.9733217421754432
1,95,4,1.0,0.988053892081
1,18,9,1.0,0.994009
1,56,9,1.0,0.994009
1,26,3,1.0,0.9530650263643888
1,40,13,1.0,0.997
1,57,2,1.0,0.9165572373164391
1,21,13,1.0,0.997
1,85,8,1.0,0.991026973
1,58,4,1.0,0.9138075656044898
1,23,14,1.0,1.0
1,72,2,1.0,0.985089730404757
1,40,0,1.0,0.9388545698794984
1,50,4,1.0,0.9645880999032158
1,99,1,1.0,0.9616943356035061
1,18,10,1.0,0.997
1,58,6,1.0,0.994009
1,58,10,1.0,0.997
1,90,10,1.0,0.997
1,75,13,1.0,0.997
1,79,2,1.0,0.9762504936564125
1,99,9,1.0,0.994009
1,57,10,1.0,0.997
1,44,8,1.0,0.9733217421754432
1,17,6,1.0,0.9733217421754432
1,24,1,0.0,0.0
1,6,13,1.0,0.997
1,55,8,1.0,0.991026973
1,93,14,1.0,1.0
1,10,3,1.0,0.8006481694852418
1,84,8,1.0,0.985089730404757
1,24,9,1.0,0.994009
1,65,10,1.0,0.997
1,8,9,0.0,0.0
1,35,4,1.0,0.9083329444789534
1,97,2,1.0,0.991026973
1,16,2,1.0,0.988053892081
1,46,10,1.0,0.997
1,61,14,1.0,1.0
1,84,8,1.0,0.991026973
1,62,9,1.0,0.994009
1,14,14,1.0,1.0
1,94,8,1.0,0.988053892081
1,68,10,1.0,0.997
1,7,4,0.0,0.0
1,37,3,1.0,0.9645880999032158
1,22,4,1.0,0.8451404054461714
