Temperature,Simulations,Return,Discounted Return,Map
1,84,0,1.0,0.9530650263643888,"['SHFH', 'FFHF', 'FFFH', 'HHFG']"
1,85,0,1.0,0.9821344612135428,"['SFHH', 'HFFH', 'HFFF', 'FFHG']"
1,7,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HFHG']"
1,1,0,0.0,0.0,"['SFFF', 'FHHF', 'HHHF', 'HHHG']"
1,91,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FFHF', 'HFFG']"
1,44,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFH', 'HHFG']"
1,70,0,1.0,0.985089730404757,"['SHFF', 'FHHH', 'FFFH', 'HFFG']"
1,28,0,1.0,0.9588092525966956,"['SFFH', 'HFFH', 'HFFH', 'HFFG']"
1,96,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HFFF', 'HFHG']"
1,8,0,1.0,0.8400771692771434,"['SFHH', 'FFFH', 'FFFH', 'HFFG']"
1,71,0,1.0,0.9762504936564125,"['SFFF', 'HFHH', 'FFFH', 'HFFG']"
1,34,0,0.0,0.0,"['SFHH', 'HFFH', 'HFFF', 'HHHG']"
1,82,0,1.0,0.93603800616986,"['SFFH', 'HHFF', 'FHHF', 'HHFG']"
1,55,0,1.0,0.8657003616774767,"['SFFF', 'HFFH', 'FFHH', 'FFFG']"
1,75,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFF', 'FHHG']"
1,56,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HFFH', 'HFFG']"
1,75,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'FFFH', 'FHFG']"
1,70,0,1.0,0.9704017769489168,"['SHFF', 'FFFF', 'HHFF', 'FHHG']"
1,28,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFH', 'HHFG']"
1,29,0,1.0,0.9473552137914398,"['SFHH', 'HFFH', 'FFFF', 'HHFG']"
1,38,0,1.0,0.8788035596734672,"['SFFH', 'FFHF', 'FFHH', 'FFFG']"
1,9,0,0.0,0.0,"['SFFF', 'FFFH', 'FHFF', 'HFHG']"
1,95,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'HFFH', 'FHFG']"
1,80,0,1.0,0.9674905716180701,"['SFFH', 'HHFH', 'FFFH', 'FHFG']"
1,27,0,1.0,0.835044266956004,"['SFFH', 'HHFF', 'HHHF', 'HHHG']"
1,9,0,1.0,0.9821344612135428,"['SFFH', 'FHFH', 'FFFF', 'FFFG']"
1,5,0,1.0,0.837556937769312,"['SFFF', 'HFHF', 'HFHF', 'FFFG']"
1,97,0,1.0,0.9645880999032158,"['SFFH', 'FFFH', 'FFHF', 'FFFG']"
