Temperature,Simulations,Return,Discounted Return,Map
1,47,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HHHG']"
1,58,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'FFFF', 'HFFG']"
1,8,0,0.0,0.0,"['SFFH', 'HFFH', 'HFFH', 'HFFG']"
1,88,0,1.0,0.9733217421754432,"['SHFH', 'FHHF', 'FFFF', 'FHHG']"
1,67,0,1.0,0.9502058312852957,"['SFFH', 'FFFF', 'FHFF', 'HHHG']"
1,51,0,1.0,0.9445131481500655,"['SHFH', 'FFHH', 'FFFH', 'HFFG']"
1,76,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FFFF', 'HFHG']"
1,38,0,1.0,0.9220814271464737,"['SFHH', 'HFHF', 'HFFH', 'HFFG']"
1,65,0,1.0,0.9559328248389055,"['SFFF', 'HFHH', 'FFFF', 'FFHG']"
1,91,0,1.0,0.9791880578299021,"['SFHF', 'FHHF', 'FFHH', 'HFFG']"
1,20,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'FFFG']"
1,61,0,1.0,0.9001824484431542,"['SFFH', 'FHFF', 'FHFH', 'HHFG']"
1,100,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'HFFH', 'HFFG']"
1,93,0,1.0,0.9733217421754432,"['SHFH', 'FFHF', 'FFFH', 'FHFG']"
1,93,0,1.0,0.9332298921513504,"['SFFF', 'FFHH', 'FFFF', 'FHFG']"
1,97,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FFFF', 'FFHG']"
1,11,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'HHFG']"
1,45,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFH', 'HHFG']"
1,94,0,1.0,0.8867604854519608,"['SFFF', 'HHFH', 'FFFF', 'FFHG']"
1,79,0,1.0,0.9138075656044898,"['SFHH', 'FHHH', 'FFFF', 'HHFG']"
1,41,0,1.0,0.8921050870283477,"['SFFH', 'HHFF', 'HFFH', 'FHFG']"
1,25,0,0.0,0.0,"['SFHF', 'FFHF', 'FFFH', 'FHFG']"
1,32,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FFHF', 'FFFG']"
1,93,0,1.0,0.985089730404757,"['SFFH', 'HHFF', 'FHFF', 'HFFG']"
1,89,0,1.0,0.9530650263643888,"['SFHH', 'FFFH', 'FFFH', 'FHFG']"
1,12,0,1.0,0.8631032605924442,"['SFFF', 'HHFF', 'FFFH', 'FFFG']"
1,51,0,0.0,0.0,"['SFFF', 'HFHH', 'FFHH', 'HFFG']"
1,84,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'FFFF', 'HHHG']"
