Temperature,Simulations,Return,Discounted Return,Map
1,61,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'HHHF', 'HFFG']"
1,63,0,1.0,0.8894287717672626,"['SHFH', 'FFHH', 'HFFF', 'HHFG']"
1,83,0,1.0,0.9704017769489168,"['SHFH', 'FHFH', 'FFFF', 'HFFG']"
1,58,0,1.0,0.9588092525966956,"['SHFF', 'FFFH', 'FFFF', 'FHFG']"
1,50,0,1.0,0.9674905716180701,"['SFHF', 'FFFH', 'HFHH', 'FFFG']"
1,93,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'HHHF', 'HFFG']"
1,31,0,0.0,0.0,"['SFFF', 'FHHH', 'FFHF', 'HFFG']"
1,11,0,1.0,0.8735386475474635,"['SFFF', 'FFHH', 'HFFH', 'HFFG']"
1,14,0,1.0,0.8127667407072335,"['SFFH', 'FFFH', 'FHFH', 'HFFG']"
1,73,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'FFFH', 'FFFG']"
1,28,0,1.0,0.9304302024748964,"['SHHF', 'FFHH', 'FHHF', 'FFFG']"
1,61,0,0.0,0.0,"['SFFF', 'FFFF', 'HFHH', 'FFFG']"
1,26,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'HHFG']"
1,57,0,1.0,0.9193151828650342,"['SFHH', 'HFFF', 'HFFH', 'FHFG']"
1,38,0,1.0,0.9821344612135428,"['SFFH', 'FFHH', 'FFFH', 'HFFG']"
1,26,0,1.0,0.9220814271464737,"['SFFH', 'HFFF', 'HHHF', 'HHFG']"
1,91,0,1.0,0.8894287717672626,"['SHFH', 'FFFF', 'HHHF', 'FHFG']"
1,57,0,0.0,0.0,"['SFHH', 'FHFH', 'FFHF', 'HFFG']"
1,2,0,1.0,0.9193151828650342,"['SFFF', 'HHHF', 'FFFF', 'HFHG']"
1,69,0,1.0,0.8709180316048211,"['SFFH', 'HFHF', 'HFHH', 'FFFG']"
1,45,0,1.0,0.857932408958235,"['SFFH', 'FHFH', 'FHFF', 'FFHG']"
1,16,0,1.0,0.7887102894272789,"['SFFF', 'FHFH', 'HFFF', 'FHFG']"
1,55,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'FFHF', 'FFHG']"
1,2,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'FHHG']"
1,49,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FHFF', 'FFHG']"
1,71,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'FFFF', 'FHHG']"
1,6,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'FHHG']"
1,67,0,1.0,0.9502058312852957,"['SFFH', 'FHFF', 'FFHF', 'HFFG']"
1,89,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'FFFH', 'HFFG']"
1,47,0,1.0,0.9001824484431542,"['SFHF', 'FFHH', 'FHHH', 'FFFG']"
1,73,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'FHFF', 'HFFG']"
1,94,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'FFFF', 'FFHG']"
1,12,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'FHFG']"
1,57,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'FHFF', 'FFFG']"
1,50,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'HHFF', 'HHFG']"
1,40,0,1.0,0.9821344612135428,"['SHHH', 'FHFF', 'FFFH', 'FFFG']"
1,52,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HHHF', 'HFHG']"
1,51,0,1.0,0.9616943356035061,"['SHFH', 'FFHH', 'HFFH', 'HFFG']"
1,85,0,1.0,0.9821344612135428,"['SHHH', 'FFHH', 'FFFF', 'HHFG']"
1,27,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'FHHG']"
1,29,0,1.0,0.9388545698794984,"['SFFH', 'FHFH', 'HFFF', 'FHFG']"
1,78,0,1.0,0.8451404054461714,"['SFFH', 'FFFH', 'HFHF', 'FFFG']"
1,81,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'FFFH', 'FFFG']"
1,28,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'HHHG']"
1,41,0,1.0,0.9733217421754432,"['SHHF', 'FHFF', 'FFFH', 'FFFG']"
1,79,0,1.0,0.8300415167526705,"['SFFH', 'HFHH', 'FFFF', 'HFHG']"
1,42,0,1.0,0.9388545698794984,"['SFFH', 'FFFH', 'HFFF', 'HHHG']"
1,6,0,0.0,0.0,"['SFHH', 'FFHH', 'FFFF', 'FFHG']"
1,62,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'HFFG']"
1,9,0,1.0,0.857932408958235,"['SFFF', 'FHHF', 'FHHF', 'HHFG']"
1,78,0,1.0,0.9616943356035061,"['SFHF', 'HFFH', 'FFFF', 'HFHG']"
1,88,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'HFFF', 'FHFG']"
1,7,0,1.0,0.9304302024748964,"['SFFF', 'HFHF', 'HHHF', 'FFFG']"
1,97,0,1.0,0.9762504936564125,"['SFHF', 'FFHH', 'FFHF', 'FFFG']"
1,56,0,1.0,0.9559328248389055,"['SFHF', 'FHHH', 'FFHH', 'HFFG']"
1,68,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'HHFG']"
1,1,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'FHFG']"
1,43,0,1.0,0.9616943356035061,"['SFHH', 'HFHF', 'FFFF', 'FHFG']"
1,57,0,1.0,0.9616943356035061,"['SFHF', 'HFHF', 'FFFF', 'FFHG']"
1,11,0,1.0,0.8735386475474635,"['SFFF', 'HFHF', 'HFFF', 'HHHG']"
