Temperature,Simulations,Return,Discounted Return,Map
1,15,0,1.0,0.9388545698794984,"['SFFF', 'HHHF', 'FFFF', 'HHFG']"
1,31,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
1,40,0,0.0,0.0,"['SHFF', 'FFHF', 'FFHH', 'HFFG']"
1,86,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'HFFH', 'FFFG']"
1,34,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'FFHF', 'FFFG']"
1,9,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'HFFF', 'HHHG']"
1,19,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'FFHG']"
1,70,0,1.0,0.9332298921513504,"['SFHH', 'HFHF', 'HFFF', 'HHHG']"
1,63,0,1.0,0.9193151828650342,"['SFFH', 'FFFF', 'FHFH', 'HHFG']"
1,46,0,1.0,0.798246224976786,"['SFFH', 'FFFH', 'HHFF', 'HHHG']"
1,73,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'FFHF', 'HHHG']"
1,11,0,0.0,0.0,"['SFFH', 'HFFH', 'HFFF', 'HFHG']"
1,91,0,1.0,0.9762504936564125,"['SHHH', 'FHHF', 'FFFF', 'HHHG']"
1,88,0,1.0,0.9791880578299021,"['SHHF', 'FHFF', 'FHHH', 'FFFG']"
1,7,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FFHG']"
1,94,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'FFFF', 'FFFG']"
1,61,0,1.0,0.90289112180858,"['SFFF', 'HFHF', 'HFHH', 'HFFG']"
1,83,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HFHF', 'FFHG']"
1,96,0,1.0,0.9821344612135428,"['SFHF', 'FHFF', 'FFHH', 'FFFG']"
1,70,0,1.0,0.9674905716180701,"['SFHH', 'HFFH', 'FFFF', 'HHHG']"
1,15,0,1.0,0.985089730404757,"['SHHH', 'FFFH', 'FFFH', 'FFFG']"
1,69,0,1.0,0.985089730404757,"['SHFF', 'FFFH', 'FFFF', 'HHFG']"
1,49,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'FHHF', 'HHHG']"
1,92,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFHF', 'HFHG']"
1,1,0,0.0,0.0,"['SFFF', 'HHFF', 'HHFF', 'HFHG']"
1,33,0,0.0,0.0,"['SFFH', 'HFHH', 'FFHF', 'HFFG']"
1,49,0,1.0,0.9445131481500655,"['SFFH', 'HFFF', 'FFHH', 'FFFG']"
1,14,0,1.0,0.776950406379376,"['SFFH', 'FHFH', 'HHFF', 'HFFG']"
1,90,0,1.0,0.9674905716180701,"['SFFH', 'HHFF', 'HHHF', 'FHHG']"
1,14,0,1.0,0.837556937769312,"['SHFH', 'FHFF', 'FFHF', 'FFFG']"
1,93,0,1.0,0.985089730404757,"['SHFH', 'FFHF', 'FFHF', 'FFFG']"
