Temperature,Simulations,Return,Discounted Return,Map
1,10,0,1.0,0.93603800616986,"['SFFF', 'HHHF', 'HFFF', 'HFFG']"
1,58,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'HFFF', 'HFHG']"
1,77,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HHHF', 'HFFG']"
1,48,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'FHHG']"
1,76,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'FFHF', 'HFFG']"
1,53,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FFFH', 'FFFG']"
1,85,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'FHFH', 'HFFG']"
1,90,0,1.0,0.9416796087056153,"['SFFF', 'HFHH', 'FFHF', 'HFFG']"
1,37,0,1.0,0.9276389118674717,"['SFHH', 'FFHH', 'HFFH', 'HFFG']"
1,49,0,1.0,0.9332298921513504,"['SFFH', 'FFHH', 'HFHF', 'FFFG']"
1,27,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'HHHG']"
1,2,0,0.0,0.0,"['SFHF', 'HFHF', 'FFFF', 'HFHG']"
1,6,0,0.0,0.0,"['SFHF', 'FFFH', 'HFHF', 'FFFG']"
1,8,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HHFG']"
1,7,0,1.0,0.860513950810667,"['SFFH', 'HFHF', 'FFFF', 'FFFG']"
1,58,0,1.0,0.9791880578299021,"['SFFF', 'FHHH', 'FFHH', 'FFFG']"
1,82,0,1.0,0.9821344612135428,"['SHFH', 'FHHF', 'FFHH', 'FFFG']"
1,58,0,1.0,0.9559328248389055,"['SFFH', 'HHFH', 'HFFF', 'FFFG']"
1,20,0,1.0,0.9416796087056153,"['SHHH', 'FFHH', 'HFFH', 'HFFG']"
1,7,0,0.0,0.0,"['SFFH', 'FHFF', 'HFFF', 'FFHG']"
1,43,0,1.0,0.8657003616774767,"['SHHF', 'FHFH', 'FHFH', 'FFFG']"
1,10,0,0.0,0.0,"['SFHH', 'FFFH', 'FFHH', 'FFFG']"
1,67,0,1.0,0.8225935318117279,"['SFHF', 'FFHH', 'HFHH', 'HFFG']"
1,10,0,1.0,0.7722956964947572,"['SHFH', 'FHHF', 'FFHH', 'FFFG']"
1,83,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HFHF', 'FFFG']"
