Temperature,Simulations,Return,Discounted Return,Map
1,35,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HFFH', 'FHFG']"
1,40,0,1.0,0.9110661429076764,"['SHFH', 'FFFF', 'HFFF', 'HFHG']"
1,5,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'FFFG']"
1,2,0,1.0,0.9445131481500655,"['SFFF', 'FHFF', 'FHFF', 'HHFG']"
1,24,0,1.0,0.9616943356035061,"['SFHH', 'HFFH', 'HFFF', 'FFHG']"
1,86,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FFHF', 'FFFG']"
1,19,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'FHHG']"
1,23,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'HHHG']"
1,17,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HHFG']"
1,38,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'HFFG']"
1,64,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFH', 'HHFG']"
1,83,0,1.0,0.9821344612135428,"['SHFF', 'FFHF', 'HFFF', 'HHFG']"
1,94,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HHHF', 'HHHG']"
1,63,0,1.0,0.8974819010978248,"['SHHF', 'FFHF', 'FFFF', 'FFHG']"
1,41,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HHFH', 'HHFG']"
1,24,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'FFHG']"
1,24,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'HHFG']"
1,13,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'FFHF', 'FHHG']"
1,72,0,1.0,0.985089730404757,"['SHHH', 'FFHF', 'FFFH', 'FFFG']"
1,16,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HFHF', 'HFHG']"
1,39,0,1.0,0.8814479033836181,"['SFHF', 'FFFF', 'HHHF', 'HHHG']"
1,5,0,0.0,0.0,"['SFFF', 'HHFH', 'HHFH', 'HHFG']"
1,57,0,1.0,0.9616943356035061,"['SFFF', 'HHFH', 'HFFH', 'FFFG']"
1,1,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFH', 'HHFG']"
1,9,0,0.0,0.0,"['SFHH', 'FFFF', 'HFFF', 'HFHG']"
1,46,0,1.0,0.9304302024748964,"['SFHH', 'FFFH', 'HFFF', 'FFFG']"
1,77,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HFHG']"
1,8,0,0.0,0.0,"['SFFF', 'HHFH', 'FHFF', 'HHHG']"
1,18,0,0.0,0.0,"['SHFH', 'FHFH', 'FFHH', 'HFFG']"
1,14,0,1.0,0.9001824484431542,"['SFFF', 'HFFH', 'HHFF', 'HFHG']"
1,56,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HFFF', 'FFFG']"
1,46,0,0.0,0.0,"['SFFH', 'FHFH', 'FHFF', 'FFHG']"
1,83,0,1.0,0.9530650263643888,"['SFHF', 'FFFF', 'FFHF', 'FFHG']"
1,53,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FHFH', 'FFFG']"
1,76,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FHFF', 'FHFG']"
1,53,0,1.0,0.803057341509771,"['SFHH', 'FFFF', 'HFHF', 'FHHG']"
1,42,0,0.0,0.0,"['SFFF', 'HFFH', 'HFHH', 'HFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HFFG']"
1,95,0,1.0,0.9674905716180701,"['SHFF', 'FHFF', 'FFFH', 'FFFG']"
1,50,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'HHFG']"
1,61,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FHHF', 'HFHG']"
1,93,0,1.0,0.9733217421754432,"['SFHF', 'FHHH', 'FHHH', 'FFFG']"
1,74,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'FFFF', 'HFHG']"
1,68,0,1.0,0.9248559951318693,"['SHFH', 'FFFF', 'HFFF', 'HFHG']"
1,18,0,1.0,0.8225935318117279,"['SFFH', 'HHFF', 'HHFH', 'FFFG']"
1,18,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FFHH', 'FFFG']"
1,80,0,1.0,0.9588092525966956,"['SFFF', 'HHFH', 'HFFF', 'FFHG']"
1,70,0,1.0,0.9473552137914398,"['SFHH', 'FFHH', 'HFFF', 'HHFG']"
1,62,0,1.0,0.9733217421754432,"['SFHH', 'FFHH', 'HFFF', 'FFFG']"
1,47,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'FFHF', 'FFFG']"
1,100,0,1.0,0.9704017769489168,"['SFFH', 'HHFF', 'FFFF', 'HHFG']"
1,87,0,1.0,0.9821344612135428,"['SFHH', 'FHFF', 'FFFF', 'HHHG']"
1,63,0,1.0,0.93603800616986,"['SFFH', 'HFHH', 'HFFH', 'FFFG']"
1,57,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HHHG']"
1,65,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'HHFF', 'HFFG']"
1,7,0,0.0,0.0,"['SFFF', 'HFHF', 'FFFH', 'HHFG']"
1,31,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'HFFF', 'HHHG']"
1,31,0,1.0,0.8867604854519608,"['SFFH', 'HFHF', 'HFFF', 'HHFG']"
1,24,0,0.0,0.0,"['SFHH', 'FHHH', 'FFHH', 'HFFG']"
1,31,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'FHFG']"
1,76,0,1.0,0.8300415167526705,"['SHFF', 'FFFH', 'FHFH', 'FHFG']"
1,73,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FHFF', 'HFHG']"
1,72,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'HFFF', 'FHHG']"
1,45,0,1.0,0.860513950810667,"['SHFF', 'FFFH', 'HFFF', 'FFHG']"
1,56,0,1.0,0.8631032605924442,"['SFFH', 'HFHH', 'FFHH', 'HFFG']"
1,57,0,1.0,0.8054737627981655,"['SHFF', 'FFHH', 'FFFF', 'HHHG']"
1,90,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HHHG']"
1,95,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HHFF', 'FFHG']"
1,80,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FHHF', 'HFFG']"
1,31,0,1.0,0.8974819010978248,"['SFHH', 'FFFF', 'HHFF', 'HHHG']"
1,98,0,1.0,0.9645880999032158,"['SHFH', 'FFHH', 'FFFF', 'HHHG']"
1,2,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'FHFG']"
1,8,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFF', 'FHHG']"
1,20,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FFFF', 'FHHG']"
1,68,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'HFFF', 'HHFG']"
1,36,0,1.0,0.8814479033836181,"['SFFH', 'FHFH', 'FHFF', 'FFFG']"
1,36,0,1.0,0.9704017769489168,"['SFFF', 'HHFH', 'FHFF', 'HHFG']"
1,91,0,1.0,0.9588092525966956,"['SFHF', 'FFFH', 'HHFF', 'HHFG']"
1,99,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'HHFF', 'HFFG']"
1,33,0,1.0,0.9674905716180701,"['SFHF', 'FFHH', 'FFHH', 'FFFG']"
1,29,0,1.0,0.8683052775100066,"['SFFF', 'HHFF', 'HFFH', 'HFFG']"
1,49,0,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'FFHF', 'FHFG']"
1,95,0,1.0,0.9791880578299021,"['SFHF', 'HFHF', 'HFHH', 'HFFG']"
1,6,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'HFFG']"
1,30,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'HHFF', 'HHFG']"
1,17,0,0.0,0.0,"['SFFF', 'FFHH', 'HFHF', 'HFFG']"
1,46,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'HHFG']"
1,16,0,0.0,0.0,"['SFFH', 'HHFH', 'FFFH', 'HFFG']"
1,47,0,1.0,0.9733217421754432,"['SHFH', 'FHHF', 'FHFF', 'FFFG']"
1,8,0,1.0,0.860513950810667,"['SFHH', 'FFFF', 'FHFF', 'FHFG']"
1,53,0,1.0,0.9762504936564125,"['SHFH', 'FHFF', 'FFHF', 'FFFG']"
1,34,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFH', 'HHFG']"
1,82,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'FFHF', 'HFHG']"
1,6,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFH', 'FHFG']"
