Temperature,Simulations,Return,Discounted Return,Map
1,31,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFH', 'HHFG']"
1,14,0,1.0,0.9473552137914398,"['SFFF', 'FFFF', 'FHFF', 'FFFG']"
1,100,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'FFFG']"
1,34,0,1.0,0.9193151828650342,"['SFFF', 'FHFH', 'HFFF', 'HFHG']"
1,6,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHH', 'FFFG']"
1,8,0,0.0,0.0,"['SFHH', 'FHHH', 'FHFH', 'FFFG']"
1,70,0,0.0,0.0,"['SHFH', 'FFFH', 'FFHF', 'HFFG']"
1,18,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'FHHG']"
1,73,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFH', 'HFFG']"
1,74,0,1.0,0.9588092525966956,"['SFFH', 'HHFF', 'HFFF', 'HHFG']"
1,36,0,1.0,0.835044266956004,"['SFFH', 'HHFH', 'FHFH', 'HFFG']"
1,44,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'FFHF', 'FHFG']"
1,59,0,1.0,0.90289112180858,"['SFHF', 'HFFH', 'HHFF', 'FHFG']"
1,1,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'FFFF', 'FFFG']"
1,79,0,1.0,0.9704017769489168,"['SFHF', 'FFHH', 'HFHH', 'HFFG']"
1,54,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HHHF', 'FFHG']"
1,27,0,1.0,0.9332298921513504,"['SFFF', 'HHFF', 'HHHF', 'HHHG']"
1,97,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'FHFG']"
1,24,0,0.0,0.0,"['SFFH', 'HFHF', 'FFHF', 'HFFG']"
1,89,0,1.0,0.884100203995605,"['SHHF', 'FFFF', 'HHHF', 'FHFG']"
1,2,0,0.0,0.0,"['SFFF', 'FFHF', 'HHFF', 'HFHG']"
1,7,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'FHFG']"
1,28,0,1.0,0.9248559951318693,"['SFFH', 'HFFF', 'FHHF', 'HHFG']"
1,45,0,1.0,0.9704017769489168,"['SHHH', 'FHHF', 'FFHF', 'FFFG']"
1,31,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFFF', 'HHFG']"
1,32,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FHHG']"
1,58,0,1.0,0.8631032605924442,"['SHFF', 'FFHF', 'FFHH', 'HFFG']"
1,74,0,1.0,0.7863441585589971,"['SFHH', 'HFFF', 'FHFH', 'FFFG']"
1,57,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FHFF', 'HFHG']"
1,46,0,1.0,0.9588092525966956,"['SHFH', 'FHHH', 'FFFF', 'HFFG']"
1,44,0,1.0,0.985089730404757,"['SFFH', 'HFHH', 'FFFF', 'HFFG']"
1,38,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'HFHG']"
1,28,0,1.0,0.8867604854519608,"['SHFF', 'FHHF', 'FFHF', 'FFFG']"
1,69,0,1.0,0.9502058312852957,"['SFFF', 'FFHF', 'HHFF', 'FHFG']"
1,46,0,1.0,0.7910835400474212,"['SFFF', 'FHFH', 'HHFF', 'FHHG']"
1,33,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'HFFF', 'FHFG']"
1,10,0,0.0,0.0,"['SFFH', 'HHFF', 'FHFF', 'FHFG']"
1,46,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFF', 'HFHG']"
1,2,0,0.0,0.0,"['SFFH', 'FFFF', 'FHHF', 'HFHG']"
1,94,0,1.0,0.9733217421754432,"['SFHH', 'HFFH', 'HFFF', 'FHHG']"
1,5,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'HHFG']"
1,88,0,1.0,0.9588092525966956,"['SHHF', 'FFFH', 'HHFF', 'FHFG']"
1,75,0,1.0,0.8921050870283477,"['SFHF', 'FHFH', 'FFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'FFFG']"
1,90,0,1.0,0.9616943356035061,"['SFHF', 'HFHH', 'HFFF', 'FFHG']"
1,99,0,1.0,0.9416796087056153,"['SFFH', 'FHFF', 'HHHF', 'FFFG']"
1,26,0,1.0,0.9388545698794984,"['SFFF', 'FHHF', 'FHHF', 'FFFG']"
1,69,0,1.0,0.9733217421754432,"['SHHF', 'FFHF', 'FFFF', 'HHFG']"
1,10,0,1.0,0.7630697687590515,"['SFHH', 'HFHF', 'HFFH', 'FFFG']"
1,92,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'HHFF', 'HFFG']"
1,86,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'HHFH', 'FHFG']"
1,83,0,1.0,0.9791880578299021,"['SFHH', 'HFFH', 'FFFH', 'HFFG']"
1,34,0,1.0,0.9110661429076764,"['SFHH', 'FHFH', 'FHFH', 'FFFG']"
1,12,0,0.0,0.0,"['SFHH', 'FHHH', 'FFHF', 'HFFG']"
1,10,0,0.0,0.0,"['SFFH', 'FFFF', 'HFHF', 'HHFG']"
1,22,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFH', 'HHFG']"
1,37,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFF', 'FFHG']"
1,47,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'HFHF', 'HFFG']"
1,93,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HFFF', 'HHFG']"
