Temperature,Simulations,Return,Discounted Return,Map
1,11,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFF', 'FHHG']"
1,38,0,1.0,0.8974819010978248,"['SFHF', 'HFFF', 'FFHF', 'FHFG']"
1,65,0,1.0,0.9588092525966956,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,88,0,1.0,0.9473552137914398,"['SFHF', 'HFFH', 'FFFH', 'HHFG']"
1,86,0,1.0,0.9588092525966956,"['SHFF', 'FFFF', 'FHFF', 'HHHG']"
1,78,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'FFHF', 'HHHG']"
1,9,0,0.0,0.0,"['SFFH', 'HHFH', 'FFFH', 'HFFG']"
1,86,0,1.0,0.9056079456455165,"['SHHF', 'FHFF', 'FFFH', 'HFFG']"
1,83,0,1.0,0.9733217421754432,"['SHFH', 'FFFF', 'HFFF', 'HHFG']"
1,56,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'HHFG']"
1,55,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FHHF', 'HFHG']"
1,4,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFF', 'HHHG']"
1,99,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FFFF', 'FHHG']"
1,44,0,1.0,0.9248559951318693,"['SFHH', 'HFFH', 'FFHH', 'FFFG']"
1,40,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'HHFF', 'FFHG']"
1,97,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'FFFF', 'FFHG']"
1,73,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FFHF', 'HFHG']"
1,9,0,1.0,0.9388545698794984,"['SFHF', 'HFFF', 'FFFF', 'HFFG']"
1,32,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'FFHG']"
1,76,0,1.0,0.9056079456455165,"['SFHF', 'FFFH', 'HFFF', 'HHHG']"
1,5,0,0.0,0.0,"['SFHH', 'FHFF', 'FHFF', 'FFFG']"
1,46,0,1.0,0.9473552137914398,"['SFFH', 'FFFF', 'FFHF', 'HFHG']"
1,31,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'FFFH', 'HFFG']"
1,56,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FFFF', 'HFFG']"
1,9,0,0.0,0.0,"['SHFH', 'FFFF', 'FFFH', 'HFFG']"
1,49,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHF', 'HFFG']"
1,28,0,1.0,0.8735386475474635,"['SFFF', 'HHHF', 'HFHF', 'FHHG']"
1,42,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHF', 'FFFG']"
1,8,0,1.0,0.9193151828650342,"['SFFF', 'FHFF', 'FFHF', 'HHFG']"
1,14,0,1.0,0.9388545698794984,"['SFHF', 'FFFH', 'HFFH', 'FFFG']"
1,59,0,1.0,0.985089730404757,"['SHHH', 'FFFF', 'FHHF', 'FFFG']"
1,96,0,1.0,0.9704017769489168,"['SFHF', 'FFFH', 'HFFF', 'HFHG']"
1,70,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'FHFF', 'HFFG']"
1,86,0,1.0,0.9001824484431542,"['SFHF', 'FFFF', 'HHFH', 'HHFG']"
1,78,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'FHFF', 'HHHG']"
1,70,0,1.0,0.857932408958235,"['SFHF', 'HFFF', 'FFHH', 'HFFG']"
1,65,0,1.0,0.985089730404757,"['SFHH', 'FFHH', 'FFFF', 'FHHG']"
1,24,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'HHFF', 'HHFG']"
1,60,0,1.0,0.9445131481500655,"['SFHF', 'HFHF', 'HFHH', 'HFFG']"
1,42,0,1.0,0.8631032605924442,"['SHHH', 'FFHH', 'FFFH', 'FHFG']"
1,84,0,1.0,0.9588092525966956,"['SFFH', 'FHHH', 'FFFH', 'HHFG']"
1,43,0,1.0,0.9473552137914398,"['SFFH', 'HHFH', 'HFFF', 'HHFG']"
1,55,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'FFFH', 'HFFG']"
1,81,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFFH', 'FFFG']"
1,61,0,1.0,0.9248559951318693,"['SFHF', 'FHHF', 'FHHF', 'FFFG']"
1,92,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'FFFF', 'HHHG']"
1,71,0,1.0,0.93603800616986,"['SHHH', 'FFFH', 'HFHF', 'FFFG']"
1,33,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFH', 'FHFG']"
1,12,0,1.0,0.7958514863018556,"['SHFF', 'FHHH', 'FFFH', 'FFFG']"
1,64,0,1.0,0.9502058312852957,"['SFHF', 'FHHH', 'FFHH', 'FFFG']"
1,29,0,1.0,0.798246224976786,"['SFFF', 'HFFH', 'FFHF', 'FFFG']"
1,62,0,1.0,0.9733217421754432,"['SFFF', 'FFFH', 'FHFH', 'FFFG']"
1,19,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'HHHG']"
1,52,0,1.0,0.9473552137914398,"['SFFH', 'FFFH', 'FHFH', 'HFFG']"
1,11,0,1.0,0.9248559951318693,"['SFFF', 'FHFF', 'FFHF', 'HFHG']"
1,27,0,1.0,0.9502058312852957,"['SFFF', 'FFFF', 'HHHF', 'FFHG']"
1,64,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'FFFH', 'FHFG']"
1,61,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'HFHF', 'FFFG']"
1,70,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FFFF', 'FFHG']"
1,54,0,1.0,0.9645880999032158,"['SFFH', 'HFFH', 'FFFF', 'HHFG']"
1,12,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'HHFG']"
1,18,0,1.0,0.9416796087056153,"['SFFH', 'FHFF', 'HFFF', 'HFFG']"
1,82,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'HFFF', 'HFHG']"
1,37,0,1.0,0.9332298921513504,"['SFFF', 'HFFH', 'FHFF', 'FHHG']"
1,21,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFH', 'FFFG']"
1,56,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'FHFF', 'FFFG']"
1,44,0,1.0,0.9674905716180701,"['SHFF', 'FFFF', 'FFFF', 'FFHG']"
1,29,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'HFHF', 'FFHG']"
1,46,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HFHF', 'FHHG']"
1,19,0,1.0,0.9056079456455165,"['SHHH', 'FHFF', 'FFFH', 'FFFG']"
1,17,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'FHFG']"
1,61,0,1.0,0.9220814271464737,"['SHFF', 'FFFF', 'FFHH', 'HFFG']"
1,45,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'HHFF', 'HHFG']"
1,11,0,0.0,0.0,"['SFHH', 'FFFF', 'FFFF', 'FHFG']"
1,76,0,1.0,0.9733217421754432,"['SFHF', 'FFFH', 'HFFF', 'FHFG']"
1,20,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHFF', 'FFFG']"
1,45,0,1.0,0.9821344612135428,"['SFHH', 'HFHF', 'FFFF', 'FFFG']"
1,63,0,1.0,0.8250687380258053,"['SFHH', 'FFHF', 'HFFH', 'HHFG']"
1,81,0,1.0,0.9704017769489168,"['SFHH', 'FHFF', 'FFHH', 'FFFG']"
1,33,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'FFHH', 'FFFG']"
1,2,0,0.0,0.0,"['SFFF', 'FFHF', 'FHFF', 'HFFG']"
1,39,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFH', 'HHFG']"
1,23,0,1.0,0.8451404054461714,"['SFHH', 'FFFF', 'FHHF', 'FFFG']"
1,32,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FFFF', 'FHFG']"
1,55,0,1.0,0.9588092525966956,"['SHFH', 'FFFH', 'HFFF', 'FHFG']"
1,8,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFF', 'FHHG']"
1,52,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FHHF', 'HFHG']"
1,74,0,1.0,0.9791880578299021,"['SHFH', 'FFFH', 'FFHF', 'FFFG']"
1,93,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'HFFF', 'HHFG']"
1,19,0,1.0,0.7746195551602378,"['SFFF', 'FHFF', 'HHFH', 'HHFG']"
1,82,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'HHFF', 'FHHG']"
1,82,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FHFF', 'FFHG']"
1,32,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFH', 'FHFG']"
1,98,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'FFFF', 'HHFG']"
1,31,0,1.0,0.8921050870283477,"['SFHH', 'FFHF', 'HFHF', 'HFFG']"
1,85,0,1.0,0.9530650263643888,"['SFHH', 'FFFF', 'HHFF', 'HHFG']"
1,55,0,1.0,0.9445131481500655,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,9,0,0.0,0.0,"['SHHF', 'FFFH', 'FFFF', 'FHFG']"
1,79,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'FFFF', 'FFHG']"
1,84,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFH', 'FHFG']"
1,14,0,1.0,0.9588092525966956,"['SHFF', 'FFHF', 'FFFF', 'FFFG']"
1,52,0,1.0,0.8400771692771434,"['SFFH', 'HFHH', 'HFFH', 'FHFG']"
1,79,0,1.0,0.9083329444789534,"['SFFH', 'FFFH', 'FHFF', 'HHHG']"
1,58,0,1.0,0.9559328248389055,"['SFFF', 'FHFH', 'HFFF', 'HHHG']"
1,26,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'HHHF', 'FFFG']"
1,31,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'HHFG']"
1,98,0,1.0,0.9276389118674717,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,54,0,1.0,0.9502058312852957,"['SFFF', 'HHFH', 'FFFF', 'FHHG']"
1,34,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'FFFH', 'HHFG']"
1,85,0,1.0,0.9616943356035061,"['SFFH', 'HFHH', 'HFFF', 'HFHG']"
1,95,0,1.0,0.8947894553945313,"['SFFH', 'HFHF', 'HFFF', 'HHFG']"
1,56,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'FFHF', 'HFFG']"
1,6,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHH', 'FFFG']"
1,71,0,1.0,0.9110661429076764,"['SFHH', 'FFHH', 'HFHH', 'FFFG']"
1,77,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FFHG']"
1,97,0,1.0,0.9791880578299021,"['SFHF', 'HFHH', 'FFHH', 'FFFG']"
1,59,0,1.0,0.9056079456455165,"['SFHH', 'FFHF', 'HFHH', 'HFFG']"
1,34,0,1.0,0.9704017769489168,"['SFFH', 'HFHF', 'HFFF', 'HHFG']"
1,74,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FFHF', 'HFFG']"
1,6,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFF', 'FHHG']"
1,19,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'FFFF', 'FFFG']"
1,85,0,1.0,0.9193151828650342,"['SFFH', 'HHFF', 'HFFH', 'FHFG']"
1,98,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'HHHF', 'FFHG']"
1,68,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FFFH', 'FFFG']"
1,3,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'FHFG']"
1,43,0,1.0,0.8735386475474635,"['SFFH', 'HHFF', 'HFHF', 'HHFG']"
1,76,0,1.0,0.9821344612135428,"['SFFH', 'FHHF', 'FHFF', 'FFFG']"
1,34,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'FHHG']"
1,60,0,1.0,0.9791880578299021,"['SFFH', 'FHFH', 'FFFF', 'HFHG']"
1,47,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'FHHG']"
1,41,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'FHFF', 'FFFG']"
1,66,0,1.0,0.8735386475474635,"['SFHH', 'FFFH', 'HFFF', 'FHHG']"
1,80,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HHHG']"
1,76,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'HHFG']"
1,59,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FHFF', 'FHHG']"
1,82,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'HHHF', 'FHHG']"
1,85,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'HHFG']"
1,46,0,1.0,0.9704017769489168,"['SFFH', 'FFHF', 'HFFF', 'FFFG']"
1,62,0,1.0,0.9588092525966956,"['SHHF', 'FFFF', 'HFFF', 'FFHG']"
1,1,0,0.0,0.0,"['SFFF', 'HFFF', 'FHHF', 'FHHG']"
1,93,0,1.0,0.9616943356035061,"['SHHF', 'FFFH', 'HFFF', 'FHFG']"
1,79,0,1.0,0.9821344612135428,"['SFFH', 'FFHF', 'HFFH', 'HFFG']"
1,19,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHH', 'HFFG']"
1,6,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HHHG']"
1,52,0,1.0,0.8006481694852418,"['SFHH', 'HFHH', 'FFFF', 'HFHG']"
1,55,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFHF', 'HFFG']"
1,74,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'HHFF', 'HFFG']"
1,49,0,1.0,0.9704017769489168,"['SHHF', 'FFFF', 'FHHF', 'HFFG']"
1,21,0,1.0,0.8657003616774767,"['SFFF', 'FHFF', 'HFFH', 'HHFG']"
1,61,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'HFHG']"
1,9,0,1.0,0.8894287717672626,"['SFHH', 'HFFH', 'HFFF', 'HFFG']"
1,50,0,1.0,0.9645880999032158,"['SHHH', 'FFHF', 'FHFH', 'FFFG']"
1,73,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HFFF', 'HHFG']"
1,61,0,1.0,0.9559328248389055,"['SFHF', 'FFFH', 'FFFH', 'FHFG']"
1,95,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HFFF', 'HFFG']"
1,100,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FFHH', 'FFFG']"
1,8,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'HHHG']"
1,20,0,1.0,0.9332298921513504,"['SFFF', 'FHHF', 'FFFF', 'FHHG']"
1,16,0,0.0,0.0,"['SFHH', 'FFFF', 'FHFF', 'HFHG']"
1,68,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'HFFF', 'HFFG']"
1,21,0,0.0,0.0,"['SFFH', 'FFFF', 'HFHH', 'HFFG']"
1,98,0,1.0,0.9704017769489168,"['SFFF', 'FFHH', 'FFFF', 'FFHG']"
1,57,0,1.0,0.9559328248389055,"['SHFH', 'FFHF', 'HFFF', 'FFFG']"
1,100,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'HHHF', 'FHFG']"
1,40,0,1.0,0.9388545698794984,"['SFFH', 'HFHH', 'HFFF', 'FHFG']"
1,95,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FFHF', 'HFHG']"
1,75,0,1.0,0.9704017769489168,"['SFHH', 'FHFF', 'FFFH', 'FFFG']"
1,40,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'FHHG']"
1,3,0,0.0,0.0,"['SFHH', 'FFFF', 'HFFF', 'FFFG']"
1,21,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'FHHG']"
1,100,0,1.0,0.985089730404757,"['SHFF', 'FFHF', 'FHFF', 'FFFG']"
1,43,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FFFF', 'FHFG']"
1,97,0,1.0,0.8152123778407558,"['SFHH', 'FFFH', 'FHFF', 'HHHG']"
1,11,0,0.0,0.0,"['SFFH', 'FHFH', 'HHFH', 'HFFG']"
1,53,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFHF', 'HFFG']"
1,79,0,1.0,0.9616943356035061,"['SFHH', 'FFHF', 'FHHF', 'FFFG']"
1,28,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFH', 'HFFG']"
1,63,0,1.0,0.9616943356035061,"['SFFF', 'HHFF', 'FFFH', 'FFFG']"
1,45,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFH', 'FHFG']"
1,54,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'HFFH', 'FFFG']"
1,84,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HHHG']"
1,58,0,1.0,0.9733217421754432,"['SHFH', 'FFFF', 'FFHH', 'FFFG']"
1,23,0,1.0,0.9193151828650342,"['SHHF', 'FFHH', 'FFFH', 'FHFG']"
1,76,0,1.0,0.9762504936564125,"['SHHF', 'FFFH', 'HFFF', 'FHFG']"
1,70,0,1.0,0.9762504936564125,"['SFFF', 'FFHH', 'HFFF', 'FFFG']"
1,92,0,1.0,0.9791880578299021,"['SFFF', 'FFHH', 'FFFF', 'HFFG']"
1,51,0,1.0,0.9733217421754432,"['SFFF', 'FFHH', 'FFFH', 'HFFG']"
1,75,0,1.0,0.9791880578299021,"['SFFH', 'FFHH', 'FFFF', 'FFFG']"
1,99,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HHHF', 'HFHG']"
