Temperature,Simulations,Return,Discounted Return,Map
1,10,0,1.0,0.9588092525966956,"['SFFF', 'HFFF', 'HHHF', 'FHHG']"
1,38,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'FHFG']"
1,81,0,1.0,0.9616943356035061,"['SHFF', 'FFHH', 'FFFF', 'HFFG']"
1,87,0,1.0,0.9388545698794984,"['SFFF', 'HFFF', 'FFFH', 'FHFG']"
1,10,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFF', 'FFHG']"
1,100,0,1.0,0.9588092525966956,"['SHFF', 'FFHH', 'HFFF', 'HFFG']"
1,74,0,1.0,0.9821344612135428,"['SHHH', 'FHFF', 'FHFF', 'FFFG']"
1,18,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHF', 'HFFG']"
1,22,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'FHFF', 'FFFG']"
1,91,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFFF', 'HHHG']"
1,18,0,0.0,0.0,"['SFHH', 'FFFH', 'HFFF', 'FHHG']"
1,99,0,1.0,0.7958514863018556,"['SFHF', 'FFHH', 'HFFF', 'HHHG']"
1,94,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'FFFF', 'FHFG']"
1,10,0,0.0,0.0,"['SFFH', 'FFHF', 'HFHF', 'HFFG']"
1,51,0,1.0,0.9762504936564125,"['SFHH', 'HFHF', 'HFFH', 'FFFG']"
1,1,0,0.0,0.0,"['SFHF', 'FFHH', 'FHHF', 'FFFG']"
1,56,0,1.0,0.9502058312852957,"['SFFF', 'HFHH', 'FFFH', 'HFFG']"
1,32,0,1.0,0.9559328248389055,"['SFFH', 'HFFH', 'HFFH', 'FFFG']"
1,42,0,1.0,0.9473552137914398,"['SFFH', 'FHFH', 'FFFF', 'HHHG']"
1,42,0,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'FHFF', 'HFHG']"
1,34,0,1.0,0.9083329444789534,"['SFHH', 'HFHF', 'HFHF', 'FFFG']"
1,79,0,1.0,0.9762504936564125,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
