Temperature,Simulations,Return,Discounted Return,Map
1,16,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFF', 'HFHG']"
1,68,0,1.0,0.9704017769489168,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,66,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'HFHG']"
1,74,0,1.0,0.9733217421754432,"['SFHH', 'FHFF', 'FFFH', 'FFFG']"
1,56,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'FFHG']"
1,35,0,1.0,0.9304302024748964,"['SFFH', 'HHFH', 'HFFH', 'FHFG']"
1,18,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'FHFG']"
1,30,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'FHHG']"
1,89,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FHFH', 'FFFG']"
1,88,0,1.0,0.8921050870283477,"['SFHH', 'HFHF', 'HFFF', 'HFHG']"
1,100,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HFFF', 'FHFG']"
1,21,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'HFHG']"
1,27,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHF', 'HFFG']"
1,37,0,1.0,0.9388545698794984,"['SFFH', 'FHFF', 'HHFF', 'FHHG']"
1,44,0,1.0,0.9110661429076764,"['SFFH', 'FHFF', 'FHFH', 'HHFG']"
1,21,0,0.0,0.0,"['SFFF', 'HFHF', 'FFHH', 'FFFG']"
1,14,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HHHG']"
1,97,0,1.0,0.9588092525966956,"['SFFF', 'HHHF', 'FFFF', 'HFFG']"
1,54,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'HHHG']"
1,44,0,1.0,0.9762504936564125,"['SFFF', 'HHFH', 'FFFF', 'HFFG']"
1,17,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFF', 'FHHG']"
1,64,0,1.0,0.9530650263643888,"['SHFF', 'FHHH', 'FHHH', 'FFFG']"
1,25,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'HHHF', 'FHFG']"
1,92,0,1.0,0.9276389118674717,"['SHFH', 'FFHH', 'HFFF', 'HFFG']"
1,91,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFFF', 'FFHG']"
1,50,0,1.0,0.9645880999032158,"['SFHF', 'HFHF', 'HFFF', 'HFFG']"
1,21,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'HHFG']"
1,47,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFH', 'FFFG']"
1,69,0,1.0,0.9530650263643888,"['SFFH', 'HFHF', 'FFFF', 'HHFG']"
1,27,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FFFH', 'FFFG']"
1,69,0,1.0,0.9704017769489168,"['SHFH', 'FFHF', 'HFFF', 'FFFG']"
1,66,0,1.0,0.9674905716180701,"['SFHH', 'FHFH', 'FFFF', 'HFFG']"
1,91,0,1.0,0.93603800616986,"['SFHF', 'HFFF', 'FHHF', 'HFFG']"
1,35,0,1.0,0.9193151828650342,"['SHHF', 'FHHF', 'FFFF', 'HFFG']"
1,81,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHHF', 'HHHG']"
1,62,0,1.0,0.9762504936564125,"['SHHH', 'FHFF', 'FFFF', 'FHFG']"
1,2,0,0.0,0.0,"['SFFF', 'HHFF', 'HFFF', 'FFFG']"
1,83,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HFHF', 'HFHG']"
1,8,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'FFFG']"
1,8,0,1.0,0.9001824484431542,"['SFFF', 'HFFF', 'HHHF', 'FHFG']"
1,83,0,1.0,0.9588092525966956,"['SHHH', 'FFHH', 'FFFF', 'HHHG']"
1,66,0,1.0,0.9056079456455165,"['SHHF', 'FHHH', 'FFHH', 'HFFG']"
1,65,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'FHFF', 'HHFG']"
1,27,0,1.0,0.9416796087056153,"['SFFH', 'FHFF', 'FHFF', 'HHFG']"
1,23,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'FHFG']"
1,47,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HHFF', 'FHFG']"
1,84,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHFF', 'HFHG']"
1,95,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'HHFF', 'FHHG']"
1,58,0,1.0,0.9276389118674717,"['SHHH', 'FHHH', 'FFHF', 'HFFG']"
1,57,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HFFH', 'FHFG']"
1,61,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'HFHF', 'HHHG']"
1,34,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFH', 'HHFG']"
1,34,0,1.0,0.9733217421754432,"['SFFF', 'FFFH', 'HHFF', 'FFFG']"
1,91,0,1.0,0.9588092525966956,"['SHHF', 'FFHF', 'FFFH', 'HHFG']"
1,32,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HFHG']"
1,65,0,1.0,0.884100203995605,"['SFHF', 'FFHF', 'FFFH', 'FHFG']"
1,27,0,1.0,0.9733217421754432,"['SFFF', 'HFFH', 'FFFF', 'HFFG']"
1,25,0,1.0,0.9110661429076764,"['SHHH', 'FFHH', 'FFFF', 'HHFG']"
1,62,0,1.0,0.9056079456455165,"['SHHF', 'FHHH', 'FFFF', 'HFFG']"
1,30,0,1.0,0.9001824484431542,"['SFFH', 'FFFF', 'HFHF', 'HHHG']"
1,91,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HFFF', 'FFFG']"
1,19,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'FHFG']"
1,94,0,1.0,0.9332298921513504,"['SFHH', 'HFFH', 'HHFF', 'HHHG']"
1,10,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'HHFG']"
1,71,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'FFFG']"
1,9,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'HHHG']"
