Temperature,Simulations,Return,Discounted Return,Map
1,6,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFF', 'FFFG']"
1,85,0,1.0,0.9588092525966956,"['SFFF', 'FFHH', 'FHHF', 'FFFG']"
1,62,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'FFHF', 'FFFG']"
1,80,0,1.0,0.9821344612135428,"['SFHF', 'HFHF', 'FFFF', 'FFFG']"
1,24,0,1.0,0.8657003616774767,"['SFHH', 'HFHH', 'FFFF', 'FHFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFF', 'FHFG']"
1,13,0,0.0,0.0,"['SFFH', 'FHHH', 'FHFF', 'FFFG']"
1,55,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'HFFF', 'HHFG']"
1,75,0,1.0,0.9674905716180701,"['SFHF', 'HFHF', 'HFFH', 'FFFG']"
1,52,0,1.0,0.9083329444789534,"['SFHF', 'FFFF', 'HFFH', 'FHFG']"
1,90,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'FFHF', 'FHFG']"
1,23,0,1.0,0.9502058312852957,"['SFFH', 'HFHF', 'HFHH', 'FFFG']"
1,38,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'HFHG']"
1,35,0,1.0,0.9001824484431542,"['SHFF', 'FHFF', 'FHHH', 'FFFG']"
1,37,0,1.0,0.8657003616774767,"['SFFF', 'HFFH', 'HHFF', 'FFHG']"
1,76,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FHFF', 'FHHG']"
1,87,0,1.0,0.9733217421754432,"['SFHH', 'FHHF', 'FFFH', 'HFFG']"
1,32,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HFFF', 'HFHG']"
1,55,0,1.0,0.9445131481500655,"['SFFF', 'FHFF', 'HFFH', 'HFFG']"
1,64,0,1.0,0.9704017769489168,"['SFHH', 'FFFH', 'FHHF', 'FFFG']"
1,35,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFHH', 'FFFG']"
1,33,0,1.0,0.8527925358961662,"['SFFH', 'HFFF', 'FHHF', 'HHFG']"
1,91,0,1.0,0.9445131481500655,"['SFFH', 'HFFH', 'FFHH', 'HFFG']"
1,16,0,1.0,0.9645880999032158,"['SFFH', 'HFFH', 'FHFF', 'HFFG']"
1,53,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'HHFF', 'FHFG']"
1,6,0,0.0,0.0,"['SFFH', 'HFFH', 'HHFH', 'HHFG']"
1,95,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'FFFF', 'HFFG']"
1,26,0,1.0,0.9138075656044898,"['SHFH', 'FFFF', 'HFFF', 'FHFG']"
1,69,0,1.0,0.9445131481500655,"['SFFH', 'HFFF', 'HHHF', 'FHHG']"
1,37,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'FHHG']"
1,21,0,1.0,0.860513950810667,"['SFHH', 'HFHF', 'HFFH', 'HFFG']"
1,71,0,1.0,0.8894287717672626,"['SHFH', 'FFFH', 'HFFH', 'FHFG']"
1,2,0,0.0,0.0,"['SFFH', 'HFFH', 'FFFH', 'FFFG']"
1,73,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HHHF', 'HFFG']"
1,63,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FHHF', 'HHFG']"
1,93,0,1.0,0.9473552137914398,"['SFHF', 'FFFH', 'FHFH', 'HHFG']"
1,74,0,1.0,0.9616943356035061,"['SFHF', 'HFFH', 'FHFH', 'FFFG']"
1,2,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'HFHG']"
1,21,0,1.0,0.8657003616774767,"['SFFF', 'FHHF', 'FHFH', 'FFFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFFF', 'FFHF', 'FHHG']"
1,78,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FHHF', 'HHFG']"
1,7,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'HFHG']"
1,67,0,1.0,0.8006481694852418,"['SHFH', 'FHHH', 'FFFF', 'HHFG']"
1,75,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HFHG']"
1,100,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHHF', 'FFHG']"
1,19,0,0.0,0.0,"['SFFH', 'HFFH', 'HFHF', 'HFFG']"
1,23,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFF', 'HFHG']"
1,71,0,1.0,0.9588092525966956,"['SFHF', 'FFHF', 'HFFF', 'FHHG']"
1,11,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFF', 'FHFG']"
1,55,0,1.0,0.8894287717672626,"['SHFF', 'FFFH', 'HFHF', 'HFFG']"
1,97,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFFH', 'FFFG']"
1,50,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'HHHF', 'FFFG']"
1,4,0,1.0,0.9388545698794984,"['SFFF', 'HHFF', 'HFFF', 'FHFG']"
1,66,0,1.0,0.9304302024748964,"['SHFF', 'FFFH', 'FFFF', 'FFHG']"
1,13,0,0.0,0.0,"['SHHF', 'FHFF', 'FFHH', 'HFFG']"
1,99,0,1.0,0.9083329444789534,"['SFFH', 'FFHH', 'HFFH', 'HHFG']"
