Temperature,Simulations,Return,Discounted Return,Map
1,30,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFH', 'HFFG']"
1,76,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HFFF', 'FFHG']"
1,41,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FFHF', 'FFHG']"
1,99,0,1.0,0.9733217421754432,"['SFHF', 'FHHH', 'FFFF', 'FHFG']"
1,22,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FHFF', 'FHFG']"
1,33,0,1.0,0.9138075656044898,"['SFFH', 'HFFF', 'HHHF', 'HHHG']"
1,7,0,0.0,0.0,"['SFHH', 'HFFF', 'FHHF', 'FHFG']"
1,72,0,1.0,0.985089730404757,"['SFFH', 'HHFF', 'FFFF', 'FFHG']"
1,14,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FFHG']"
1,95,0,1.0,0.8127667407072335,"['SHHF', 'FFFH', 'HFFF', 'FHHG']"
1,58,0,1.0,0.8974819010978248,"['SFHF', 'FFFF', 'HHHF', 'FHFG']"
1,60,0,1.0,0.8974819010978248,"['SFFH', 'FHHF', 'FFHF', 'FFFG']"
1,33,0,1.0,0.9559328248389055,"['SFFF', 'FFFF', 'FFFH', 'HHFG']"
1,62,0,1.0,0.9083329444789534,"['SFFH', 'HHFF', 'FFHF', 'HHFG']"
1,66,0,1.0,0.9388545698794984,"['SHFF', 'FFFF', 'HFHF', 'FFFG']"
1,22,0,0.0,0.0,"['SFFH', 'FHFH', 'FFHF', 'HFFG']"
1,30,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFF', 'FHHG']"
1,74,0,1.0,0.9762504936564125,"['SFFF', 'HFFH', 'FHFF', 'FFHG']"
1,79,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'HFFF', 'HFFG']"
1,55,0,1.0,0.8451404054461714,"['SHFF', 'FHFH', 'FFFH', 'FHFG']"
