Temperature,Simulations,Return,Discounted Return,Map
1,75,0,1.0,0.9616943356035061,"['SFHF', 'HFFF', 'HFHF', 'FFFG']"
1,92,0,1.0,0.9248559951318693,"['SFFH', 'FFFH', 'FHHF', 'FFFG']"
1,82,0,1.0,0.9791880578299021,"['SHFF', 'FHFH', 'FHFH', 'FFFG']"
1,88,0,1.0,0.9165572373164391,"['SFFH', 'HHFF', 'HHHF', 'HHHG']"
1,26,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'HHHG']"
1,14,0,1.0,0.8867604854519608,"['SFFF', 'FHHF', 'FFHF', 'HHFG']"
1,64,0,1.0,0.9645880999032158,"['SFHH', 'HFFH', 'FFFH', 'FFFG']"
1,80,0,1.0,0.9645880999032158,"['SFHF', 'HFFH', 'FHFH', 'FHFG']"
1,23,0,1.0,0.9248559951318693,"['SFFF', 'FFFH', 'FHFF', 'FHHG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFFF', 'HHFG']"
1,75,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'FHFF', 'HFFG']"
1,10,0,0.0,0.0,"['SFFF', 'HFFH', 'FHFF', 'FHHG']"
1,36,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'FFFG']"
1,34,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHH', 'HFFG']"
1,50,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'FHFF', 'HFHG']"
1,28,0,1.0,0.8103284404851119,"['SFFH', 'HFHF', 'HFHF', 'FFFG']"
1,42,0,1.0,0.9276389118674717,"['SFHH', 'HFFF', 'HHHF', 'FFHG']"
1,76,0,1.0,0.9616943356035061,"['SFFH', 'HHFF', 'HFFH', 'HHFG']"
1,85,0,1.0,0.9704017769489168,"['SFFF', 'FHFH', 'HFFF', 'HFFG']"
1,32,0,1.0,0.9388545698794984,"['SFHH', 'HFFH', 'HHFF', 'HHFG']"
1,58,0,1.0,0.9733217421754432,"['SHFF', 'FFFH', 'HHFF', 'FHFG']"
1,18,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFH', 'HHFG']"
1,47,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHF', 'FFFG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFF', 'FHHG']"
1,62,0,1.0,0.9645880999032158,"['SFFH', 'FHFH', 'FHFF', 'FFFG']"
1,55,0,1.0,0.985089730404757,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,53,0,1.0,0.9220814271464737,"['SFFH', 'FFHH', 'FFFF', 'HFHG']"
1,46,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFH', 'FFFG']"
1,81,0,1.0,0.8054737627981655,"['SFFH', 'HFHF', 'HFFF', 'FHHG']"
1,87,0,0.0,0.0,"['SFHH', 'FHFH', 'FFHF', 'HFFG']"
1,22,0,0.0,0.0,"['SHHF', 'FHFF', 'FHHF', 'FFFG']"
1,31,0,1.0,0.8974819010978248,"['SHFF', 'FFFH', 'HFFH', 'HFFG']"
1,13,0,0.0,0.0,"['SFFF', 'HFHF', 'HFFH', 'FHFG']"
1,92,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'HHFF', 'HHHG']"
1,97,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HFHF', 'HFFG']"
1,23,0,1.0,0.884100203995605,"['SFFH', 'HHFF', 'HFFF', 'HHHG']"
1,19,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'HHFF', 'FHFG']"
1,12,0,0.0,0.0,"['SFFH', 'FHFH', 'HFFF', 'HFHG']"
1,66,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FHHG']"
1,43,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHH', 'HFFG']"
1,46,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'HFHF', 'HHFG']"
1,7,0,0.0,0.0,"['SFFF', 'HFHF', 'FFFH', 'HHFG']"
1,11,0,1.0,0.9248559951318693,"['SHFH', 'FHHF', 'FFFF', 'HFFG']"
1,83,0,1.0,0.9304302024748964,"['SFFH', 'HHFH', 'FFFF', 'HFHG']"
1,18,0,1.0,0.9165572373164391,"['SFFH', 'FFHF', 'HFFH', 'FFFG']"
1,52,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'HFFF', 'HFFG']"
1,81,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'FHHG']"
1,94,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'FFFH', 'FFFG']"
1,74,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FFFF', 'FFFG']"
1,1,0,0.0,0.0,"['SFFF', 'FFHF', 'FFFF', 'HHFG']"
1,56,0,1.0,0.9445131481500655,"['SFFH', 'HFHH', 'HFHH', 'FFFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFH', 'FFFG']"
1,94,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HFHF', 'FFFG']"
1,91,0,1.0,0.9388545698794984,"['SFFF', 'FHFF', 'HHFH', 'HHFG']"
1,64,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FFFG']"
1,70,0,1.0,0.985089730404757,"['SFFF', 'HHHF', 'HFFF', 'HFHG']"
1,89,0,1.0,0.9733217421754432,"['SFFH', 'HHFF', 'FHFF', 'FFFG']"
1,17,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFH', 'HHFG']"
1,90,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HHHF', 'FFFG']"
1,91,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'HFHF', 'HHFG']"
1,43,0,1.0,0.8788035596734672,"['SFHF', 'FFFF', 'HHHF', 'FHFG']"
1,100,0,1.0,0.9674905716180701,"['SHHF', 'FFFH', 'FHHF', 'FFFG']"
1,86,0,1.0,0.9588092525966956,"['SFFF', 'FFFH', 'FFFH', 'FHFG']"
1,91,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FHHF', 'HHHG']"
1,87,0,0.0,0.0,"['SFFF', 'FHHF', 'FFHH', 'HFFG']"
1,74,0,1.0,0.9193151828650342,"['SFFF', 'HFFF', 'FHFH', 'FHFG']"
1,1,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'FHFG']"
1,62,0,1.0,0.9791880578299021,"['SHHH', 'FHFF', 'FFFH', 'FFFG']"
1,35,0,1.0,0.9616943356035061,"['SFFF', 'HFFH', 'HFFF', 'HHFG']"
1,79,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'FFFH', 'FFFG']"
1,67,0,1.0,0.9248559951318693,"['SHHH', 'FHFH', 'FHHH', 'FFFG']"
1,31,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FHHG']"
1,31,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HFHG']"
1,47,0,1.0,0.9220814271464737,"['SHHF', 'FHHF', 'FFFF', 'FHFG']"
1,88,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'HFFF', 'FFHG']"
1,78,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'FHFH', 'FFFG']"
1,5,0,0.0,0.0,"['SFFF', 'FFFH', 'HHFF', 'HFHG']"
1,69,0,1.0,0.9220814271464737,"['SFFH', 'FHFH', 'FHFF', 'HHHG']"
1,62,0,1.0,0.9588092525966956,"['SHHH', 'FFFH', 'FFFF', 'HFHG']"
1,53,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFF', 'HFHG']"
1,64,0,1.0,0.9762504936564125,"['SFHH', 'FFHF', 'FFFH', 'FFFG']"
1,72,0,1.0,0.9616943356035061,"['SFHH', 'FFHH', 'FFFH', 'FHFG']"
1,94,0,1.0,0.9388545698794984,"['SFHF', 'FFFF', 'FHFH', 'HHFG']"
1,8,0,0.0,0.0,"['SFFF', 'HFFF', 'FFHH', 'HFFG']"
1,86,0,1.0,0.9645880999032158,"['SHHF', 'FFFF', 'FFHF', 'FFHG']"
1,79,0,1.0,0.9193151828650342,"['SFFH', 'FHFH', 'HHFF', 'HHFG']"
1,49,0,1.0,0.8325391341551359,"['SFFH', 'FHFH', 'FFFH', 'FHFG']"
1,84,0,1.0,0.985089730404757,"['SFHH', 'HFHH', 'FFFF', 'HHFG']"
1,10,0,1.0,0.9165572373164391,"['SFFF', 'FHFH', 'FFFH', 'FFFG']"
1,47,0,1.0,0.9616943356035061,"['SFFF', 'HFFF', 'FHFH', 'FFFG']"
1,25,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'HHHG']"
1,37,0,1.0,0.803057341509771,"['SFFF', 'HHFH', 'FFFF', 'HHHG']"
1,75,0,1.0,0.8426049842298329,"['SFFH', 'FFHF', 'HFHH', 'FFFG']"
1,86,0,1.0,0.9559328248389055,"['SHFF', 'FFFH', 'HFFH', 'HFFG']"
1,69,0,1.0,0.9821344612135428,"['SFHH', 'FFHF', 'FHFH', 'FFFG']"
1,24,0,1.0,0.9473552137914398,"['SFFH', 'HFHF', 'HFFF', 'FFFG']"
1,58,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHHF', 'FHHG']"
1,69,0,1.0,0.7494371162085136,"['SFFF', 'FHFH', 'FHFF', 'HHHG']"
1,14,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'HFFG']"
1,56,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'FHFF', 'FFFG']"
1,22,0,1.0,0.9056079456455165,"['SFHF', 'FFFF', 'FHFF', 'HFHG']"
1,13,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HHHG']"
1,15,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HFFF', 'HFHG']"
1,51,0,1.0,0.7584982177744161,"['SFFF', 'HFHH', 'FFFH', 'FHFG']"
1,32,0,1.0,0.9332298921513504,"['SFFH', 'FFFH', 'FFFF', 'HFHG']"
1,100,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HFHF', 'HHHG']"
1,76,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'HFHF', 'FFFG']"
1,74,0,1.0,0.9791880578299021,"['SFFF', 'FHHH', 'FFFF', 'FFFG']"
1,34,0,1.0,0.747188804859888,"['SFFH', 'FFHH', 'FHHH', 'FFFG']"
1,62,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'HFFF', 'FFFG']"
1,48,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'FFHH', 'FFFG']"
1,18,0,1.0,0.9001824484431542,"['SFFF', 'FHFH', 'FHFF', 'FHFG']"
1,53,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'HHHG']"
1,50,0,1.0,0.9388545698794984,"['SHHF', 'FHFH', 'FHFF', 'FFFG']"
1,74,0,1.0,0.9110661429076764,"['SFHF', 'HFHH', 'HFFH', 'FHFG']"
1,71,0,1.0,0.9276389118674717,"['SFHF', 'HFHF', 'FFFH', 'FHFG']"
1,99,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'HFFF', 'FHFG']"
1,65,0,1.0,0.985089730404757,"['SHHH', 'FFHF', 'FFFF', 'FFFG']"
1,29,0,0.0,0.0,"['SFHF', 'HFHH', 'FFHF', 'FFFG']"
1,40,0,1.0,0.9733217421754432,"['SHHH', 'FFFH', 'FFFH', 'FFFG']"
1,53,0,1.0,0.9083329444789534,"['SFFF', 'FFFH', 'FHFH', 'FHFG']"
1,90,0,1.0,0.9588092525966956,"['SHFH', 'FHFF', 'FFFH', 'HFFG']"
1,5,0,0.0,0.0,"['SHFF', 'FHFH', 'FFHH', 'FFFG']"
1,41,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'FFFH', 'HFFG']"
1,42,0,1.0,0.93603800616986,"['SFHH', 'HFFH', 'FFHH', 'FFFG']"
1,86,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'HFFF', 'HHHG']"
1,58,0,1.0,0.9588092525966956,"['SFFF', 'FFFH', 'HFHH', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'FFFF', 'FHFH', 'FHFG']"
1,37,0,1.0,0.9001824484431542,"['SFHH', 'HFHH', 'FFFF', 'FHFG']"
1,1,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFF', 'HFFG']"
1,38,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FFFH', 'FHFG']"
1,96,0,1.0,0.8709180316048211,"['SFFH', 'HFHH', 'HFFF', 'HFHG']"
1,39,0,1.0,0.9332298921513504,"['SFHF', 'HFFF', 'HFFF', 'HFHG']"
1,9,0,1.0,0.8974819010978248,"['SHHH', 'FHFH', 'FFFH', 'FFFG']"
1,69,0,1.0,0.985089730404757,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,55,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FHHG']"
1,82,0,1.0,0.9416796087056153,"['SHFH', 'FFFH', 'HFFF', 'HFHG']"
1,50,0,1.0,0.9388545698794984,"['SFFF', 'FFHF', 'HFFF', 'FHFG']"
1,36,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'FFHF', 'HFFG']"
1,44,0,1.0,0.9473552137914398,"['SHFF', 'FFHH', 'HFFH', 'FFFG']"
1,94,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,72,0,1.0,0.9645880999032158,"['SFHH', 'FHFH', 'FFFH', 'FHFG']"
1,55,0,1.0,0.9276389118674717,"['SFFF', 'FHFH', 'HFFF', 'FFHG']"
1,62,0,1.0,0.9502058312852957,"['SFFF', 'HFFH', 'HHFH', 'HHFG']"
1,62,0,1.0,0.8683052775100066,"['SFFH', 'FHHF', 'FFFF', 'FFHG']"
1,15,0,1.0,0.7746195551602378,"['SFFH', 'HFFH', 'HFFH', 'HHFG']"
1,73,0,1.0,0.9674905716180701,"['SFHH', 'FFHH', 'HFFF', 'FFFG']"
1,64,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'HHHG']"
1,24,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'HHFG']"
1,95,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FHHF', 'HFHG']"
1,50,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFHF', 'FFHG']"
