Temperature,Simulations,Return,Discounted Return,Map
1,51,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'FFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'FFFG']"
1,29,0,1.0,0.9821344612135428,"['SFHH', 'FFHF', 'FFFF', 'FFFG']"
1,84,0,1.0,0.803057341509771,"['SHHF', 'FFHH', 'HFFF', 'FFHG']"
1,45,0,1.0,0.9704017769489168,"['SFFF', 'HHFH', 'HFFF', 'FHFG']"
1,72,0,1.0,0.9416796087056153,"['SHFF', 'FFFH', 'FHFF', 'FHHG']"
1,90,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'FFHH', 'HFFG']"
1,43,0,1.0,0.9616943356035061,"['SFFF', 'FHHF', 'FHHF', 'HHHG']"
1,42,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'HFHG']"
1,73,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FFFH', 'HFFG']"
1,31,0,0.0,0.0,"['SFFH', 'FFHH', 'FHHH', 'FFFG']"
1,51,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HHFF', 'FHFG']"
1,17,0,0.0,0.0,"['SFFH', 'FFFF', 'FHHF', 'FHHG']"
1,48,0,1.0,0.9674905716180701,"['SFHH', 'FFHF', 'FFHF', 'HFFG']"
1,15,0,1.0,0.8300415167526705,"['SFFF', 'HHHF', 'HFFF', 'HHFG']"
1,83,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'HFFH', 'HHFG']"
1,34,0,1.0,0.9388545698794984,"['SFFH', 'FFFF', 'FFHH', 'HFFG']"
1,82,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFHF', 'HHHG']"
1,33,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'FFFF', 'HFFG']"
1,31,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFH', 'HFFG']"
1,40,0,0.0,0.0,"['SFHF', 'FFHF', 'FFFF', 'HFHG']"
1,37,0,1.0,0.9530650263643888,"['SFFH', 'FHFF', 'FFFH', 'FFFG']"
1,81,0,1.0,0.90289112180858,"['SFHH', 'FFHF', 'HFFH', 'HHFG']"
1,19,0,1.0,0.8631032605924442,"['SFHF', 'HFFF', 'HFFF', 'HHHG']"
1,19,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HFHG']"
1,95,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'FFFH', 'FHFG']"
1,28,0,1.0,0.8502341582884777,"['SFFF', 'HFHH', 'HFHF', 'FFFG']"
1,62,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFH', 'HHFG']"
1,62,0,1.0,0.9110661429076764,"['SFFH', 'FHFH', 'HFFF', 'FFHG']"
1,53,0,1.0,0.9332298921513504,"['SFFH', 'HHFH', 'HHFH', 'HFFG']"
1,49,0,1.0,0.9248559951318693,"['SFHH', 'FFFF', 'FFHF', 'HFHG']"
1,88,0,1.0,0.985089730404757,"['SFHH', 'FFHH', 'HFFF', 'FHHG']"
1,3,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'FFHG']"
1,65,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HFHF', 'FFFG']"
1,63,0,1.0,0.9616943356035061,"['SFFH', 'FFFH', 'HFFF', 'HHFG']"
1,41,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FHFG']"
1,86,0,1.0,0.9674905716180701,"['SFFH', 'FFFH', 'FFFF', 'HFHG']"
1,46,0,1.0,0.9473552137914398,"['SFHH', 'FFFH', 'FFFF', 'HHHG']"
1,42,0,1.0,0.9110661429076764,"['SFHH', 'HFFF', 'FHFF', 'FHHG']"
1,56,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'HFFH', 'FFFG']"
