Temperature,Simulations,Return,Discounted Return,Map
1,63,0,1.0,0.9762504936564125,"['SHFH', 'FFFH', 'FHFH', 'FFFG']"
1,44,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFH', 'FHFG']"
1,42,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFF', 'HHFG']"
1,25,0,1.0,0.9645880999032158,"['SFHF', 'FFFH', 'FFFF', 'HHFG']"
1,92,0,1.0,0.9588092525966956,"['SHFH', 'FFHH', 'HFFF', 'HHFG']"
1,57,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FFHF', 'FFFG']"
1,100,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HFHF', 'HFHG']"
1,12,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHH', 'FFFG']"
1,53,0,1.0,0.9220814271464737,"['SFHF', 'HFHF', 'HFFF', 'HFHG']"
1,58,0,1.0,0.9502058312852957,"['SHHF', 'FFHH', 'FFFF', 'HHFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFFF', 'FHFH', 'FHFG']"
1,12,0,0.0,0.0,"['SFFH', 'FHFF', 'HHHF', 'FHHG']"
1,58,0,1.0,0.9733217421754432,"['SFHH', 'HFFH', 'FHFF', 'HFFG']"
1,14,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFH', 'FFFG']"
1,30,0,1.0,0.985089730404757,"['SFHF', 'HFFH', 'FFFH', 'FFFG']"
1,34,0,1.0,0.9821344612135428,"['SHHF', 'FHFF', 'FFFF', 'FFFG']"
1,49,0,1.0,0.78398512608332,"['SHFH', 'FFFF', 'FHFF', 'HHHG']"
1,50,0,1.0,0.985089730404757,"['SFHH', 'FFFF', 'HHFF', 'FHFG']"
1,59,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FHFF', 'FHFG']"
1,84,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,39,0,1.0,0.9762504936564125,"['SFFF', 'FFHH', 'FFFF', 'HHFG']"
1,55,0,1.0,0.9588092525966956,"['SHHF', 'FHFF', 'FHFH', 'FFFG']"
1,67,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFH', 'FHFG']"
1,99,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HFFF', 'HHFG']"
1,74,0,1.0,0.9733217421754432,"['SHHH', 'FFHH', 'HFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FFHH', 'FHHH', 'FFFG']"
1,32,0,0.0,0.0,"['SFFH', 'FHFH', 'HFFF', 'HHHG']"
1,53,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HHHF', 'FHFG']"
1,58,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'HHHF', 'HFFG']"
1,92,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FFHH', 'FFFG']"
1,86,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FFFH', 'FFFG']"
1,44,0,1.0,0.7653658663581259,"['SFFF', 'HFFF', 'HHFH', 'HHFG']"
1,89,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'FHHF', 'FHHG']"
1,60,0,1.0,0.9220814271464737,"['SFHH', 'HFHF', 'HFFF', 'FHFG']"
1,18,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFH', 'HHFG']"
1,89,0,1.0,0.9502058312852957,"['SFFH', 'HHFH', 'FHFF', 'FFHG']"
1,20,0,0.0,0.0,"['SFFH', 'FHFF', 'HFHF', 'HFHG']"
