Temperature,Simulations,Return,Discounted Return,Map
1,50,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'FHFH', 'FHFG']"
1,75,0,1.0,0.8947894553945313,"['SHFF', 'FHFH', 'FHHH', 'FFFG']"
1,51,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'HHFF', 'FHHG']"
1,91,0,1.0,0.9791880578299021,"['SFFH', 'HFFH', 'FFFF', 'HHFG']"
1,78,0,1.0,0.8788035596734672,"['SHFF', 'FFFF', 'FHHF', 'HHFG']"
1,79,0,1.0,0.9791880578299021,"['SHFH', 'FFHH', 'FFFF', 'FFFG']"
1,83,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'FHFF', 'FFFG']"
1,86,0,1.0,0.9276389118674717,"['SHHH', 'FHHH', 'FFFH', 'HFFG']"
1,14,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFH', 'FHFG']"
1,67,0,1.0,0.9416796087056153,"['SFFH', 'FHHF', 'FFFF', 'FHFG']"
1,81,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'HHFF', 'HHFG']"
1,52,0,1.0,0.9388545698794984,"['SFFH', 'FFFF', 'HFHF', 'HHFG']"
1,71,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'FFHF', 'HFFG']"
1,40,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'FFHG']"
1,98,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFH', 'FFFG']"
1,74,0,1.0,0.9588092525966956,"['SFFH', 'FHFF', 'HHHF', 'FHHG']"
1,60,0,1.0,0.9445131481500655,"['SHFH', 'FHFF', 'FFHF', 'HFFG']"
1,33,0,1.0,0.8921050870283477,"['SFHH', 'HFFH', 'FFFH', 'HFFG']"
1,9,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFF', 'HFHG']"
1,68,0,1.0,0.9502058312852957,"['SHHH', 'FFHH', 'FFHF', 'HFFG']"
1,32,0,1.0,0.8127667407072335,"['SFFH', 'HHFF', 'FHHF', 'FFFG']"
1,22,0,1.0,0.7449472384453084,"['SFFH', 'HHFF', 'HHHF', 'HHFG']"
1,86,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HFHF', 'HHHG']"
1,73,0,1.0,0.860513950810667,"['SFHH', 'FFFF', 'FHHF', 'FHFG']"
1,55,0,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHFF', 'HHFG']"
1,82,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FFFG']"
1,85,0,1.0,0.93603800616986,"['SFFH', 'FFHF', 'HFHF', 'FFFG']"
1,57,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FFFH', 'HFFG']"
1,39,0,1.0,0.8201257512162927,"['SFFH', 'FFHF', 'FFFH', 'HHFG']"
1,13,0,1.0,0.9588092525966956,"['SFHF', 'FFHH', 'FFFH', 'FFFG']"
1,46,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HFFF', 'FFFG']"
1,38,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'HFHG']"
1,24,0,1.0,0.9616943356035061,"['SFFH', 'FFFF', 'HHFF', 'HFFG']"
1,15,0,1.0,0.9416796087056153,"['SFHF', 'HFHF', 'HFFF', 'FFFG']"
1,51,0,1.0,0.9502058312852957,"['SFHF', 'FFHH', 'HFFF', 'FHHG']"
1,61,0,1.0,0.9559328248389055,"['SFFH', 'FFHF', 'FFFH', 'HHFG']"
1,44,0,1.0,0.9304302024748964,"['SFFF', 'HHHF', 'FFFF', 'FHHG']"
1,41,0,1.0,0.7539540549517295,"['SFHH', 'HFHH', 'HFFF', 'FFHG']"
1,20,0,1.0,0.8054737627981655,"['SHHF', 'FFHH', 'FFFF', 'FHFG']"
1,70,0,1.0,0.8451404054461714,"['SHFF', 'FHHH', 'FFFH', 'HHFG']"
1,27,0,1.0,0.9248559951318693,"['SFFH', 'HFFH', 'FFFH', 'HFFG']"
1,32,0,1.0,0.7958514863018556,"['SFFH', 'FHFH', 'HFFH', 'HFFG']"
1,37,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFH', 'HHFG']"
1,35,0,1.0,0.9645880999032158,"['SFFH', 'HHFF', 'FHFF', 'HHFG']"
1,37,0,1.0,0.9445131481500655,"['SFHH', 'HFFH', 'HFFF', 'HFHG']"
1,78,0,1.0,0.9762504936564125,"['SHFF', 'FFFH', 'FFFF', 'HFFG']"
1,74,0,1.0,0.9704017769489168,"['SFFH', 'FHHF', 'FFHH', 'FFFG']"
1,24,0,1.0,0.9588092525966956,"['SFFF', 'HFFH', 'HHFH', 'FHFG']"
1,11,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'HHHF', 'HHHG']"
1,1,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FFHG']"
1,18,0,1.0,0.9616943356035061,"['SFFH', 'FFFH', 'HHFF', 'HFFG']"
1,54,0,1.0,0.9733217421754432,"['SHHH', 'FFFH', 'FHFH', 'FFFG']"
1,44,0,1.0,0.9733217421754432,"['SFHH', 'FFHF', 'FFHH', 'FFFG']"
1,51,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'FFFF', 'HFFG']"
1,38,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'HHHG']"
1,77,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFFF', 'HFHG']"
1,71,0,1.0,0.9416796087056153,"['SFFF', 'HFHH', 'FFFF', 'FHHG']"
1,98,0,1.0,0.9733217421754432,"['SHFF', 'FHFF', 'FFFF', 'HHFG']"
1,58,0,1.0,0.9588092525966956,"['SHFH', 'FFFF', 'FHHF', 'FFHG']"
1,21,0,0.0,0.0,"['SFHH', 'HFFF', 'HHHF', 'FFFG']"
1,75,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'HHHF', 'HHFG']"
1,80,0,1.0,0.93603800616986,"['SHFH', 'FFHF', 'HFFF', 'HFHG']"
1,71,0,1.0,0.9473552137914398,"['SFFH', 'HFFH', 'HHFF', 'HFFG']"
1,59,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFFF', 'FFFG']"
1,66,0,1.0,0.9193151828650342,"['SFFH', 'FFHH', 'HFFF', 'FHFG']"
1,99,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'HFFF', 'FHFG']"
1,98,0,1.0,0.9645880999032158,"['SHHH', 'FFHH', 'FFFH', 'HHFG']"
1,33,0,1.0,0.78398512608332,"['SFHF', 'HFFF', 'HFHH', 'HFFG']"
1,65,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHF', 'HFFG']"
1,58,0,1.0,0.9110661429076764,"['SFFH', 'HFHH', 'HFFH', 'HFFG']"
1,62,0,1.0,0.93603800616986,"['SHFH', 'FFFF', 'HHHF', 'HFFG']"
1,63,0,1.0,0.9445131481500655,"['SFFH', 'HFFH', 'HFFF', 'HHHG']"
1,99,0,1.0,0.9530650263643888,"['SHHF', 'FHFF', 'FFFF', 'FFHG']"
1,24,0,0.0,0.0,"['SFFH', 'FHFF', 'HHHF', 'FFHG']"
1,1,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFH', 'HHFG']"
1,100,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HFHF', 'HFFG']"
1,49,0,1.0,0.8502341582884777,"['SFFH', 'FFFF', 'FHFH', 'HHFG']"
1,46,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'FFHF', 'HFFG']"
1,93,0,1.0,0.9332298921513504,"['SFFH', 'HFFF', 'FHHF', 'HFFG']"
1,73,0,1.0,0.9616943356035061,"['SFHF', 'FFHH', 'FFHH', 'FFFG']"
