Temperature,Simulations,Return,Discounted Return,Map
1,51,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHH', 'HFFG']"
1,3,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFF', 'FFHG']"
1,27,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'FFHH', 'FFFG']"
1,79,0,1.0,0.9332298921513504,"['SFHF', 'HFFF', 'FHHF', 'FHHG']"
1,62,0,0.0,0.0,"['SHFF', 'FFHF', 'FHHH', 'FFFG']"
1,12,0,0.0,0.0,"['SFHF', 'FHFF', 'FHFH', 'FFFG']"
1,23,0,1.0,0.8683052775100066,"['SFFH', 'HFHH', 'HFFF', 'FFHG']"
1,67,0,1.0,0.9530650263643888,"['SFHH', 'FFHF', 'HFHF', 'FFFG']"
1,32,0,1.0,0.985089730404757,"['SFFF', 'FFHH', 'HFFH', 'FFFG']"
1,57,0,1.0,0.7722956964947572,"['SFHH', 'FFHH', 'HFFH', 'FHFG']"
1,12,0,1.0,0.8325391341551359,"['SFHH', 'HFFF', 'FHFF', 'FHFG']"
1,82,0,1.0,0.985089730404757,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,69,0,1.0,0.8894287717672626,"['SFHF', 'FHFF', 'FHHF', 'FFFG']"
1,80,0,1.0,0.8947894553945313,"['SFHF', 'HFFH', 'FHFF', 'HHFG']"
1,13,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'HFHG']"
1,84,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'FFHF', 'HFFG']"
1,99,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFF', 'FFFG']"
1,72,0,1.0,0.985089730404757,"['SHHF', 'FFFH', 'FFHH', 'FFFG']"
1,85,0,1.0,0.9559328248389055,"['SFHF', 'HFHF', 'FFFF', 'HHFG']"
1,2,0,0.0,0.0,"['SFHF', 'FHHH', 'FFHF', 'HFFG']"
1,63,0,1.0,0.8788035596734672,"['SFHH', 'FFHH', 'HFFF', 'HFHG']"
1,12,0,1.0,0.9193151828650342,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,96,0,1.0,0.8974819010978248,"['SHFH', 'FFHF', 'HFHF', 'FFFG']"
1,1,0,1.0,0.9704017769489168,"['SHFH', 'FHFH', 'FFFF', 'FFFG']"
1,61,0,1.0,0.8502341582884777,"['SFFF', 'FHHH', 'FHFF', 'FFFG']"
1,16,0,0.0,0.0,"['SHHF', 'FFFF', 'FFFH', 'HHFG']"
1,10,0,0.0,0.0,"['SHHH', 'FHFF', 'FHFF', 'FFFG']"
1,52,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'FFFG']"
1,85,0,1.0,0.9616943356035061,"['SFHH', 'HFFH', 'FFFF', 'HHHG']"
1,30,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HHHF', 'FFHG']"
1,97,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HHHF', 'FFHG']"
1,70,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'HFHF', 'HFHG']"
1,21,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'HFHG']"
1,99,0,1.0,0.9762504936564125,"['SFHH', 'FHHF', 'FFFF', 'FHFG']"
1,38,0,1.0,0.8867604854519608,"['SHHH', 'FHFF', 'FHFF', 'FFFG']"
1,42,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'HHHG']"
1,100,0,1.0,0.9445131481500655,"['SHFH', 'FFHF', 'FFFH', 'FHFG']"
1,91,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'FFFH', 'HFFG']"
1,98,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHFF', 'HHHG']"
1,17,0,1.0,0.8814479033836181,"['SHFF', 'FFFF', 'HHFF', 'HFHG']"
1,74,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFH', 'FHFG']"
1,24,0,1.0,0.7958514863018556,"['SFHF', 'FHHH', 'FFFF', 'FHFG']"
1,63,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'FHFF', 'HHFG']"
1,51,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FFHF', 'FHHG']"
1,95,0,1.0,0.9674905716180701,"['SHFH', 'FHFF', 'FHHH', 'FFFG']"
1,7,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFF', 'HFHG']"
1,79,0,1.0,0.9616943356035061,"['SFHH', 'HFFH', 'FFFF', 'HFFG']"
