Temperature,Simulations,Return,Discounted Return,Map
1,30,0,1.0,0.8867604854519608,"['SFFH', 'HHFF', 'HFHF', 'HFFG']"
1,99,0,1.0,0.9616943356035061,"['SFFH', 'HFFF', 'HHHF', 'HHFG']"
1,17,0,1.0,0.857932408958235,"['SFHH', 'FFHH', 'HFFF', 'HHFG']"
1,81,0,1.0,0.884100203995605,"['SFFH', 'FHFH', 'FFFF', 'HFHG']"
1,24,0,0.0,0.0,"['SFHF', 'FFFF', 'FHFH', 'HFFG']"
1,30,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'HHFF', 'HHFG']"
1,100,0,1.0,0.8974819010978248,"['SFHF', 'FFFH', 'FHFF', 'HHHG']"
1,90,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'HFFF', 'HFFG']"
1,32,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FHFF', 'HFHG']"
1,32,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HHFG']"
1,45,0,1.0,0.9704017769489168,"['SHFF', 'FFFH', 'HFFH', 'HFFG']"
1,15,0,0.0,0.0,"['SFFF', 'FFFH', 'HFFF', 'HHHG']"
1,100,0,1.0,0.9674905716180701,"['SHHH', 'FHFH', 'FFHH', 'FFFG']"
1,61,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'FHFF', 'FHFG']"
1,56,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'HHFG']"
1,28,0,0.0,0.0,"['SHHF', 'FFFH', 'FFFH', 'HHFG']"
1,80,0,1.0,0.9704017769489168,"['SHHH', 'FFHF', 'FFFF', 'HFHG']"
1,91,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'FHHF', 'FHFG']"
1,12,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'HFHG']"
1,93,0,1.0,0.9056079456455165,"['SHHH', 'FHHH', 'FFHH', 'HFFG']"
1,32,0,1.0,0.8006481694852418,"['SHFH', 'FHHH', 'FFHH', 'FFFG']"
1,19,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HFFG']"
1,23,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFH', 'FHFG']"
1,39,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HFHG']"
1,9,0,1.0,0.8921050870283477,"['SFHF', 'HFHH', 'FFHF', 'FFFG']"
