Temperature,Simulations,Return,Discounted Return,Map
1,17,0,1.0,0.9473552137914398,"['SFHF', 'FFFF', 'HHFF', 'HFFG']"
1,63,0,1.0,0.9473552137914398,"['SFHF', 'HFHH', 'HFHF', 'FFFG']"
1,25,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'HFFF', 'HHHG']"
1,82,0,1.0,0.985089730404757,"['SFHH', 'FHFF', 'FFFH', 'FFFG']"
1,38,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'HFFF', 'FFFG']"
1,51,0,1.0,0.860513950810667,"['SFHF', 'FFFF', 'FHHF', 'FFHG']"
1,6,0,0.0,0.0,"['SFHF', 'FFHF', 'HFHH', 'HFFG']"
1,78,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FHHF', 'FHHG']"
1,57,0,1.0,0.9821344612135428,"['SFHH', 'FFHF', 'HFFF', 'HHHG']"
1,91,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FFFF', 'FHHG']"
1,83,0,1.0,0.8201257512162927,"['SHFH', 'FFFH', 'HHFF', 'FHFG']"
1,3,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'FFHG']"
1,71,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'HFHG']"
1,29,0,0.0,0.0,"['SFFF', 'HFFF', 'HFHH', 'HFFG']"
1,99,0,1.0,0.9821344612135428,"['SHHF', 'FFHH', 'FFFH', 'FFFG']"
1,63,0,1.0,0.9473552137914398,"['SFHH', 'HFHH', 'FFFF', 'HFHG']"
1,7,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFH', 'HFFG']"
1,59,0,1.0,0.985089730404757,"['SFFH', 'FHHF', 'FFFF', 'FFFG']"
1,37,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HHFG']"
1,24,0,1.0,0.8476834558136123,"['SFHF', 'FFHH', 'FHFH', 'FFFG']"
1,63,0,1.0,0.9304302024748964,"['SFHH', 'HFHH', 'FFFF', 'HHFG']"
1,79,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FHHF', 'FHFG']"
1,9,0,1.0,0.9276389118674717,"['SFFF', 'FFFH', 'HFFF', 'FHHG']"
1,76,0,1.0,0.9821344612135428,"['SFFH', 'FHFF', 'FFFF', 'FFFG']"
1,22,0,1.0,0.90289112180858,"['SFFF', 'HHFF', 'HHFH', 'HHFG']"
1,40,0,1.0,0.8250687380258053,"['SHFF', 'FFHF', 'HFFF', 'HFFG']"
1,69,0,1.0,0.7910835400474212,"['SHFF', 'FFFH', 'FHFH', 'HHFG']"
1,51,0,1.0,0.93603800616986,"['SFHF', 'FFFH', 'HHFF', 'FFFG']"
1,6,0,0.0,0.0,"['SFFH', 'HHFF', 'HHHF', 'FFFG']"
1,2,0,0.0,0.0,"['SFFH', 'HHFH', 'FFFF', 'FFFG']"
1,51,0,1.0,0.9445131481500655,"['SFFH', 'HHFH', 'FFFH', 'HFFG']"
1,97,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,53,0,0.0,0.0,"['SFHH', 'HFHH', 'HFHH', 'HFFG']"
1,24,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFF', 'FHHG']"
1,72,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FFHF', 'HFHG']"
1,54,0,1.0,0.9704017769489168,"['SFHF', 'FFHH', 'FFFH', 'HHFG']"
1,100,0,1.0,0.9530650263643888,"['SFHF', 'FFFF', 'FHFH', 'FHFG']"
1,62,0,1.0,0.9791880578299021,"['SHHF', 'FFHF', 'HFFF', 'FFFG']"
1,30,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'FFFF', 'HFHG']"
1,88,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'FFFH', 'FHFG']"
1,86,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHHF', 'HHHG']"
1,51,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHFF', 'HFFG']"
1,82,0,1.0,0.93603800616986,"['SFHH', 'FFHF', 'FFFF', 'FFHG']"
1,64,0,1.0,0.9473552137914398,"['SFFH', 'FFHH', 'FFFF', 'HFHG']"
1,7,0,1.0,0.8400771692771434,"['SFHF', 'FFHF', 'FFFF', 'FFFG']"
1,18,0,1.0,0.8451404054461714,"['SFHH', 'HFFF', 'FFFF', 'FHHG']"
1,96,0,1.0,0.8788035596734672,"['SHHF', 'FFHF', 'FFFF', 'HHHG']"
1,50,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'FFFF', 'HFFG']"
1,90,0,1.0,0.9821344612135428,"['SHFH', 'FFFH', 'FHHF', 'FFFG']"
1,84,0,1.0,0.9674905716180701,"['SFFH', 'FHHF', 'FFFH', 'HFFG']"
1,41,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FFHF', 'FFFG']"
1,20,0,1.0,0.7958514863018556,"['SFHH', 'FFFH', 'HFFF', 'HFHG']"
1,13,0,1.0,0.9276389118674717,"['SFHH', 'HFFF', 'FFFF', 'FFFG']"
1,81,0,1.0,0.9733217421754432,"['SFFH', 'FHHH', 'FHFF', 'FFFG']"
1,60,0,1.0,0.8867604854519608,"['SFFF', 'HHFF', 'HHFH', 'FHFG']"
1,14,0,1.0,0.9165572373164391,"['SFHF', 'FFFH', 'FFFF', 'HFFG']"
1,68,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'HHFG']"
1,80,0,1.0,0.9821344612135428,"['SFFH', 'FFHF', 'FFFH', 'HFFG']"
1,26,0,1.0,0.8947894553945313,"['SFFH', 'HFFH', 'FFFF', 'HHHG']"
1,32,0,1.0,0.9588092525966956,"['SFFH', 'HFFH', 'HFFH', 'FFFG']"
1,60,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'HHHF', 'HFHG']"
1,10,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFH', 'HFFG']"
1,12,0,0.0,0.0,"['SFFH', 'FFHF', 'FFFH', 'FHFG']"
1,38,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'HHFH', 'HFFG']"
1,96,0,1.0,0.8894287717672626,"['SHHH', 'FFFF', 'HFHF', 'HHHG']"
1,5,0,0.0,0.0,"['SFHF', 'FFFH', 'FHHF', 'FFFG']"
1,99,0,1.0,0.9416796087056153,"['SHFH', 'FFFF', 'HFFF', 'HFHG']"
1,12,0,1.0,0.8451404054461714,"['SFFF', 'HHHF', 'HFHF', 'FFHG']"
1,88,0,1.0,0.9674905716180701,"['SHFH', 'FHFH', 'FHFH', 'FFFG']"
1,69,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'FFHF', 'FHFG']"
1,4,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHF', 'HHFG']"
1,25,0,0.0,0.0,"['SFFF', 'FFFH', 'HHFH', 'FFFG']"
1,37,0,1.0,0.9248559951318693,"['SFFH', 'FFFF', 'FHHH', 'FFFG']"
1,67,0,1.0,0.9821344612135428,"['SFFF', 'FFHH', 'FFFF', 'HFFG']"
1,39,0,1.0,0.7863441585589971,"['SHHF', 'FFFH', 'HHFF', 'FFFG']"
1,1,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'FHHG']"
1,2,0,0.0,0.0,"['SFFF', 'HFFH', 'FFFF', 'FFHG']"
1,14,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFH', 'FHFG']"
1,69,0,1.0,0.8657003616774767,"['SFFH', 'HFHH', 'HFHH', 'HFFG']"
1,38,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HHHG']"
1,17,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'HHFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'HHHG']"
