Temperature,Simulations,Return,Discounted Return,Map
1,3,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFF', 'FHHG']"
1,51,0,1.0,0.8921050870283477,"['SFFF', 'FHFH', 'FFFH', 'HHFG']"
1,74,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'FHHF', 'HFHG']"
1,38,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'FFHG']"
1,93,0,1.0,0.9821344612135428,"['SFFF', 'HHFH', 'HHFH', 'FHFG']"
1,55,0,1.0,0.8657003616774767,"['SFHF', 'FFHF', 'HFHH', 'HFFG']"
1,41,0,1.0,0.7887102894272789,"['SHHF', 'FHFH', 'FHHF', 'FFFG']"
1,14,0,1.0,0.8788035596734672,"['SFFH', 'HHFH', 'HFFF', 'FHFG']"
1,60,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'FFFF', 'HHFG']"
1,28,0,0.0,0.0,"['SFHH', 'HFFF', 'HHHF', 'FFHG']"
1,45,0,0.0,0.0,"['SFHF', 'HFHF', 'HFHF', 'HFFG']"
1,94,0,1.0,0.985089730404757,"['SHHH', 'FFHF', 'FFHF', 'FFFG']"
1,51,0,1.0,0.9416796087056153,"['SFFH', 'FHFF', 'FHFF', 'HFHG']"
1,8,0,0.0,0.0,"['SFHH', 'FFFF', 'HFFF', 'HHHG']"
1,92,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FHHF', 'FHHG']"
1,36,0,1.0,0.8553586117313603,"['SFFF', 'HFFH', 'HHFF', 'FFHG']"
1,73,0,1.0,0.9733217421754432,"['SFFH', 'FHHH', 'FFHF', 'FFFG']"
1,73,0,1.0,0.9821344612135428,"['SFHH', 'FHHH', 'FHFH', 'FFFG']"
1,69,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HHHF', 'FHHG']"
1,23,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFF', 'HFHG']"
1,10,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFH', 'FFFG']"
1,45,0,1.0,0.9165572373164391,"['SFHH', 'HFFF', 'HFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SHHF', 'FHHH', 'FHHF', 'FFFG']"
1,68,0,1.0,0.9762504936564125,"['SFHF', 'FFHH', 'HFFF', 'FFFG']"
1,28,0,1.0,0.7449472384453084,"['SHFF', 'FFFF', 'HFFH', 'HHFG']"
1,54,0,1.0,0.9304302024748964,"['SFFF', 'FHHF', 'FHHF', 'FFFG']"
1,78,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'HHFH', 'HFFG']"
1,46,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'FFHG']"
1,27,0,1.0,0.9138075656044898,"['SFFF', 'FFFH', 'HHFF', 'HHFG']"
1,17,0,1.0,0.9616943356035061,"['SHFF', 'FFFF', 'FFFF', 'FHHG']"
1,77,0,1.0,0.9616943356035061,"['SFFH', 'HFHH', 'HFHH', 'FFFG']"
1,9,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFH', 'HFFG']"
1,84,0,1.0,0.7449472384453084,"['SHFH', 'FFFF', 'FFHF', 'FHHG']"
1,32,0,1.0,0.9276389118674717,"['SFFF', 'FHFH', 'HHFH', 'FHFG']"
1,86,0,1.0,0.9704017769489168,"['SFFH', 'FHFH', 'FHFH', 'FFFG']"
1,75,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FHHF', 'HHFG']"
1,39,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'FHFF', 'FHFG']"
1,72,0,1.0,0.9616943356035061,"['SHHH', 'FFFH', 'FFHH', 'FFFG']"
1,26,0,1.0,0.9388545698794984,"['SFFF', 'HHFF', 'HHFH', 'HFFG']"
1,27,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'FFFH', 'FFFG']"
1,35,0,1.0,0.9083329444789534,"['SFFH', 'HFFF', 'FFHH', 'FFFG']"
1,11,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFH', 'HFFG']"
1,25,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'FHHG']"
1,83,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'HFHH', 'HFFG']"
1,50,0,1.0,0.8225935318117279,"['SFHH', 'HFHH', 'HFHH', 'HFFG']"
1,50,0,1.0,0.9559328248389055,"['SFHH', 'FFFF', 'FFFH', 'HFFG']"
1,60,0,1.0,0.9502058312852957,"['SFFF', 'HHFH', 'HHFF', 'FHHG']"
1,53,0,1.0,0.8054737627981655,"['SHHF', 'FHHF', 'FFFF', 'HHHG']"
1,60,0,1.0,0.9416796087056153,"['SFFH', 'FHFH', 'FHFF', 'FFHG']"
1,49,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'HHHG']"
1,36,0,1.0,0.9056079456455165,"['SFFF', 'FHHH', 'FHFF', 'FFFG']"
1,56,0,1.0,0.9762504936564125,"['SHFH', 'FFHH', 'FFHF', 'FFFG']"
1,66,0,1.0,0.9502058312852957,"['SFFF', 'FFHF', 'HHHF', 'HHFG']"
1,91,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HFFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFH', 'FHFH', 'HHFF', 'HHHG']"
1,71,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'HFHG']"
1,28,0,1.0,0.8201257512162927,"['SHFH', 'FHFH', 'FFFF', 'HHFG']"
1,14,0,1.0,0.8735386475474635,"['SFHH', 'FFFF', 'HHFF', 'HFHG']"
1,33,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'FFHG']"
1,41,0,1.0,0.9762504936564125,"['SFFH', 'HFFH', 'FFFF', 'HFFG']"
1,27,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'HHHG']"
1,53,0,1.0,0.8683052775100066,"['SFFH', 'FHFF', 'HHHF', 'HFHG']"
1,1,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HHHG']"
1,41,0,1.0,0.8683052775100066,"['SHFH', 'FFFF', 'HHFF', 'HHFG']"
1,39,0,1.0,0.9530650263643888,"['SHFF', 'FFHH', 'FFFH', 'FHFG']"
1,81,0,1.0,0.9733217421754432,"['SFHF', 'FFHH', 'FFFF', 'HHFG']"
1,57,0,1.0,0.9388545698794984,"['SFFF', 'FFHF', 'HHHF', 'FHHG']"
1,78,0,1.0,0.9821344612135428,"['SFFH', 'FFHF', 'FFFH', 'HFFG']"
1,70,0,1.0,0.9502058312852957,"['SFFH', 'HHFF', 'HHFF', 'HHHG']"
1,70,0,1.0,0.9332298921513504,"['SFHH', 'FFFH', 'FFFF', 'HFHG']"
1,100,0,1.0,0.9616943356035061,"['SHHF', 'FHHH', 'FFHH', 'FFFG']"
1,83,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HHHG']"
1,95,0,1.0,0.9588092525966956,"['SFFF', 'FHFH', 'HHFH', 'FHFG']"
1,37,0,1.0,0.9193151828650342,"['SFHF', 'FFFH', 'HFHH', 'FFFG']"
1,52,0,1.0,0.9530650263643888,"['SHHH', 'FHHF', 'FHHH', 'FFFG']"
1,94,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'FFFF', 'HHHG']"
1,5,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFH', 'FHFG']"
1,22,0,1.0,0.9001824484431542,"['SFHH', 'FFHF', 'FFFF', 'HFFG']"
1,16,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'HHHG']"
1,32,0,1.0,0.9530650263643888,"['SFFF', 'FHHF', 'HFFF', 'HFFG']"
1,67,0,1.0,0.9616943356035061,"['SFFH', 'HFFH', 'FFFH', 'HHFG']"
1,46,0,1.0,0.9821344612135428,"['SFFH', 'FHHF', 'FFFF', 'FFFG']"
1,19,0,1.0,0.9559328248389055,"['SFFF', 'HHHF', 'HFHF', 'HFFG']"
1,29,0,1.0,0.7449472384453084,"['SFHF', 'HFFF', 'FHHF', 'HFFG']"
1,83,0,1.0,0.9388545698794984,"['SHFF', 'FHFF', 'FHHF', 'FFFG']"
1,51,0,1.0,0.9502058312852957,"['SFFF', 'HFFH', 'FHFF', 'HHFG']"
1,94,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'FHFG']"
1,20,0,1.0,0.8974819010978248,"['SFFF', 'HHHF', 'FHHF', 'HFFG']"
1,67,0,1.0,0.9704017769489168,"['SFFF', 'HFHH', 'HFFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFFH', 'FHFH', 'HFFF', 'HFFG']"
1,46,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'FHFF', 'FHFG']"
1,75,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFH', 'FHFG']"
1,10,0,0.0,0.0,"['SFFF', 'HFHH', 'FFFF', 'HHFG']"
1,90,0,1.0,0.8788035596734672,"['SFFF', 'HFHH', 'HFHH', 'FFFG']"
1,22,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HFHF', 'HFFG']"
1,69,0,1.0,0.9083329444789534,"['SHHF', 'FFHF', 'FFFH', 'HHFG']"
1,14,0,1.0,0.9276389118674717,"['SHFH', 'FFFH', 'HFFF', 'FFFG']"
1,29,0,1.0,0.9248559951318693,"['SFFH', 'FFFH', 'FHFF', 'FHHG']"
1,68,0,1.0,0.767668872977057,"['SHFF', 'FFFF', 'HFHH', 'FFFG']"
1,1,0,0.0,0.0,"['SHFF', 'FHFH', 'FHHH', 'FFFG']"
1,97,0,1.0,0.8631032605924442,"['SFHF', 'HFHF', 'FFFH', 'FHFG']"
1,80,0,1.0,0.9733217421754432,"['SHFH', 'FFFH', 'FHHH', 'FFFG']"
1,83,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HHHG']"
1,13,0,0.0,0.0,"['SHHF', 'FFFF', 'HFFF', 'HHFG']"
1,23,0,1.0,0.8735386475474635,"['SHHF', 'FHFH', 'FHFF', 'FFFG']"
1,51,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HHFH', 'HHFG']"
1,59,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'HFFH', 'FHFG']"
1,64,0,1.0,0.985089730404757,"['SFHF', 'FFHH', 'FFFF', 'FFFG']"
1,30,0,1.0,0.9083329444789534,"['SFFH', 'FFFH', 'FHFH', 'FFFG']"
1,38,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HHHG']"
1,85,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HFFF', 'HFFG']"
1,73,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HHFG']"
1,100,0,1.0,0.9704017769489168,"['SFFH', 'HHFH', 'FFFF', 'FHFG']"
1,52,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FFFF', 'HHHG']"
1,13,0,0.0,0.0,"['SFFF', 'HFFH', 'FFFF', 'HFHG']"
1,59,0,1.0,0.78398512608332,"['SFFF', 'HFHH', 'HFFF', 'FHHG']"
1,48,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFH', 'FHFG']"
1,35,0,0.0,0.0,"['SFHH', 'FHHH', 'FFHH', 'HFFG']"
1,22,0,1.0,0.90289112180858,"['SFFH', 'HHFH', 'HHFH', 'FHFG']"
1,84,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'FHHF', 'FHFG']"
1,66,0,1.0,0.9821344612135428,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,99,0,1.0,0.985089730404757,"['SHFF', 'FFHF', 'FFFF', 'FFFG']"
1,11,0,0.0,0.0,"['SFFH', 'FHFF', 'HFHF', 'HHHG']"
1,34,0,1.0,0.7887102894272789,"['SFHH', 'HFFF', 'HFHF', 'HHHG']"
1,9,0,1.0,0.9138075656044898,"['SFFF', 'FFFH', 'FHFF', 'HHFG']"
1,87,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HFFF', 'FHHG']"
1,85,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HFFF', 'FFHG']"
1,18,0,0.0,0.0,"['SFHH', 'HFHH', 'FFHF', 'HFFG']"
1,59,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'HHFF', 'FHFG']"
1,52,0,1.0,0.9762504936564125,"['SHFH', 'FHFH', 'FFFH', 'FFFG']"
1,71,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'FHFF', 'HHHG']"
1,88,0,1.0,0.9193151828650342,"['SHHH', 'FFFF', 'HFFF', 'FHHG']"
1,45,0,1.0,0.9193151828650342,"['SFFH', 'FHFF', 'FFFF', 'HHHG']"
1,23,0,0.0,0.0,"['SHHF', 'FFFF', 'FHFH', 'HHFG']"
1,76,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFHF', 'FFHG']"
1,43,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HFHG']"
1,59,0,1.0,0.90289112180858,"['SFHH', 'HFFF', 'FHHF', 'FHFG']"
1,72,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FFHF', 'HHHG']"
1,32,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFH', 'HHFG']"
1,13,0,1.0,0.8683052775100066,"['SFFF', 'FHHF', 'FHHF', 'FHHG']"
1,9,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'HFFG']"
1,40,0,1.0,0.7722956964947572,"['SFFH', 'HHFH', 'FFFH', 'HFFG']"
1,39,0,1.0,0.9704017769489168,"['SFHH', 'FHHF', 'FFFH', 'FHFG']"
1,32,0,1.0,0.8426049842298329,"['SHFH', 'FFFF', 'FFHF', 'FHFG']"
1,4,0,0.0,0.0,"['SFFF', 'HHFH', 'FFFF', 'FFHG']"
1,58,0,1.0,0.9762504936564125,"['SFHH', 'FHFH', 'FHHH', 'FFFG']"
1,3,0,0.0,0.0,"['SFHF', 'FFFH', 'FFFH', 'FHFG']"
1,55,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FFFF', 'FFHG']"
1,23,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'HHFG']"
1,15,0,0.0,0.0,"['SHFH', 'FFHF', 'FFHH', 'FFFG']"
1,88,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FHFF', 'HFHG']"
1,46,0,1.0,0.7746195551602378,"['SFFF', 'FFHH', 'FHHF', 'FFFG']"
1,92,0,0.0,0.0,"['SHFH', 'FFHH', 'FHFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFF', 'HHHG']"
1,44,0,1.0,0.9821344612135428,"['SFHF', 'FFHH', 'HFFH', 'HFFG']"
1,82,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HHHG']"
1,58,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FFHG']"
1,80,0,1.0,0.9502058312852957,"['SFHF', 'FFFF', 'FHHF', 'HHHG']"
1,88,0,1.0,0.985089730404757,"['SHFF', 'FHHF', 'FFFF', 'FFFG']"
1,22,0,1.0,0.7427123967299725,"['SFFF', 'FHFH', 'HFFH', 'HHFG']"
1,15,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'HHFG']"
1,64,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'HHFF', 'FHFG']"
1,2,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFF', 'HFHG']"
1,86,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'HHFF', 'FHFG']"
1,99,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'HFFF', 'FHFG']"
1,75,0,1.0,0.9332298921513504,"['SFHF', 'HFFF', 'HFHF', 'FHHG']"
