Temperature,Simulations,Return,Discounted Return,Map
1,67,0,1.0,0.9733217421754432,"['SFFH', 'HFFH', 'HHFF', 'HFHG']"
1,56,0,1.0,0.9821344612135428,"['SFFH', 'FFHH', 'HFFF', 'FFFG']"
1,82,0,1.0,0.9762504936564125,"['SHFF', 'FFFH', 'HFFF', 'HHFG']"
1,41,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'FHFG']"
1,96,0,1.0,0.9733217421754432,"['SFFF', 'FFFH', 'FFHH', 'FFFG']"
1,26,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFH', 'HFFG']"
1,20,0,1.0,0.9304302024748964,"['SFFH', 'FHFF', 'FFFH', 'FFFG']"
1,68,0,1.0,0.9821344612135428,"['SFHF', 'FFHF', 'FFFH', 'HFFG']"
1,94,0,1.0,0.9304302024748964,"['SFFH', 'FHFF', 'HHFH', 'FHFG']"
1,38,0,1.0,0.9110661429076764,"['SFHH', 'HFFF', 'HFHF', 'FFFG']"
1,31,0,1.0,0.8709180316048211,"['SHHH', 'FFFF', 'HFHF', 'HHFG']"
1,71,0,1.0,0.767668872977057,"['SHHF', 'FFFH', 'HHFF', 'FHHG']"
1,85,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFFH', 'HFFG']"
1,63,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'FHFH', 'FHFG']"
1,47,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFFF', 'HFHG']"
1,77,0,1.0,0.9791880578299021,"['SHHF', 'FFHF', 'FFFF', 'HHHG']"
1,83,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'FHHF', 'FHFG']"
1,17,0,0.0,0.0,"['SFFH', 'FFFF', 'FHHF', 'FHFG']"
1,72,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HHFF', 'HHHG']"
1,84,0,1.0,0.9588092525966956,"['SFFF', 'HHFH', 'HFFF', 'FFHG']"
1,52,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFFH', 'FFFG']"
1,29,0,0.0,0.0,"['SFFH', 'FFFH', 'HHFH', 'HFFG']"
1,45,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFH', 'HHFG']"
1,61,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'FHFG']"
1,69,0,1.0,0.9733217421754432,"['SFHF', 'FHHF', 'FFFF', 'HHFG']"
1,91,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FHFF', 'HHFG']"
1,31,0,1.0,0.9674905716180701,"['SHHH', 'FFHH', 'FFHF', 'FFFG']"
1,22,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HFHG']"
1,94,0,1.0,0.9559328248389055,"['SFFH', 'FFFH', 'HFFF', 'FHHG']"
1,4,0,1.0,0.9645880999032158,"['SFFH', 'FHFH', 'HFFF', 'HHFG']"
1,96,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'FFHF', 'HHFG']"
1,1,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFF', 'FHFG']"
1,96,0,1.0,0.9056079456455165,"['SFHF', 'HFFF', 'HHFH', 'HFFG']"
1,55,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FHFF', 'HFFG']"
1,75,0,1.0,0.7863441585589971,"['SFHH', 'FHHF', 'FFFF', 'HHHG']"
1,59,0,1.0,0.9445131481500655,"['SFHF', 'HFHF', 'FFFF', 'HHFG']"
1,5,0,0.0,0.0,"['SFHH', 'FFFF', 'HFHF', 'FFFG']"
1,62,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'FFHF', 'FHHG']"
1,62,0,0.0,0.0,"['SFFF', 'FHHF', 'FFHH', 'HFFG']"
1,62,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'HHHF', 'FHHG']"
1,96,0,1.0,0.9445131481500655,"['SFFH', 'FHFF', 'HHHF', 'HHHG']"
1,47,0,0.0,0.0,"['SFHF', 'FFHH', 'FHHF', 'FFFG']"
1,65,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'FHHF', 'FFFG']"
1,25,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'HFFG']"
1,62,0,1.0,0.9791880578299021,"['SFFH', 'HFFH', 'FFFF', 'FFFG']"
1,70,0,1.0,0.9473552137914398,"['SFHF', 'HFHH', 'HFFH', 'HFFG']"
1,86,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'HFFF', 'HFHG']"
1,86,0,1.0,0.8814479033836181,"['SFHF', 'FFHH', 'FHFF', 'FFFG']"
1,20,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HFFG']"
1,66,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HHFF', 'FHHG']"
1,74,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'HHHG']"
1,82,0,1.0,0.9645880999032158,"['SHHF', 'FHHF', 'FHHF', 'FFFG']"
1,7,0,0.0,0.0,"['SFHF', 'FHFH', 'FHHH', 'FFFG']"
1,62,0,1.0,0.9388545698794984,"['SHFH', 'FFHF', 'FFFF', 'HHHG']"
1,42,0,1.0,0.9616943356035061,"['SHFF', 'FFFF', 'HFFF', 'HFFG']"
1,63,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FFHG']"
1,12,0,1.0,0.9445131481500655,"['SFFH', 'FHFF', 'FFFF', 'FFFG']"
1,100,0,1.0,0.9445131481500655,"['SHFH', 'FFFH', 'FHFF', 'FHFG']"
1,38,0,1.0,0.9821344612135428,"['SHHF', 'FHFH', 'FHFF', 'FFFG']"
1,24,0,1.0,0.7958514863018556,"['SFHH', 'FFFF', 'FHHF', 'FHFG']"
1,39,0,0.0,0.0,"['SFHF', 'FFFH', 'HFHH', 'HFFG']"
1,64,0,1.0,0.9332298921513504,"['SFFF', 'FHFH', 'FHFF', 'FFHG']"
1,52,0,1.0,0.857932408958235,"['SFFF', 'HFHH', 'HFFF', 'FHFG']"
1,55,0,1.0,0.9588092525966956,"['SFHF', 'FHHH', 'FFHF', 'FFFG']"
1,9,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFF', 'FHFG']"
1,59,0,1.0,0.9588092525966956,"['SHHF', 'FFFH', 'HFFF', 'HFFG']"
