Temperature,Simulations,Return,Discounted Return,Map
1,74,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HHFF', 'FFFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'FHFG']"
1,66,0,1.0,0.8947894553945313,"['SFHF', 'FFHH', 'HFHF', 'FFFG']"
1,51,0,1.0,0.9645880999032158,"['SFHH', 'FFHH', 'FFHH', 'HFFG']"
1,49,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFH', 'HHFG']"
1,40,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFF', 'HHHG']"
1,37,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'HHFG']"
1,7,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHF', 'FFFG']"
1,2,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFF', 'HFHG']"
1,90,0,0.0,0.0,"['SFFF', 'HFHH', 'HFHF', 'HFFG']"
1,82,0,1.0,0.9616943356035061,"['SFHH', 'HFFH', 'FFFH', 'FHFG']"
1,13,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFH', 'HHFG']"
1,74,0,1.0,0.9821344612135428,"['SFFH', 'FHHF', 'FFHH', 'FFFG']"
1,11,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'HFFG']"
1,29,0,0.0,0.0,"['SFHH', 'FHFH', 'FFFF', 'HFHG']"
1,91,0,1.0,0.8476834558136123,"['SFFF', 'HFHF', 'HFHH', 'HFFG']"
1,9,0,0.0,0.0,"['SFHH', 'HFHF', 'FFHF', 'FFFG']"
1,60,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'HHHG']"
1,80,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HHFF', 'HFHG']"
1,77,0,1.0,0.9674905716180701,"['SHFF', 'FFFF', 'HFFH', 'FFFG']"
1,32,0,1.0,0.9530650263643888,"['SFFF', 'HFFF', 'HHFF', 'HFHG']"
1,5,0,1.0,0.9110661429076764,"['SFFF', 'FFFF', 'HFHF', 'HFFG']"
1,52,0,1.0,0.8761671489944468,"['SFHF', 'HFFF', 'FHFH', 'HFFG']"
1,75,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFF', 'HFHG']"
1,77,0,1.0,0.9616943356035061,"['SFHF', 'HFFF', 'FHFF', 'HHFG']"
1,57,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'HFFF', 'HHHG']"
1,68,0,1.0,0.8502341582884777,"['SHFH', 'FFFF', 'HFHH', 'FFFG']"
1,61,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'FFHG']"
1,17,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'HFHG']"
1,73,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FHHF', 'FHFG']"
1,99,0,1.0,0.9733217421754432,"['SHHF', 'FHHF', 'FHFH', 'FFFG']"
1,25,0,1.0,0.9276389118674717,"['SHHH', 'FFHF', 'FFFF', 'FHFG']"
1,62,0,1.0,0.9473552137914398,"['SFFH', 'HHFH', 'HHFF', 'FHFG']"
1,63,0,1.0,0.985089730404757,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,75,0,1.0,0.9791880578299021,"['SHHF', 'FFHH', 'FFFH', 'HFFG']"
1,42,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'FFHH', 'FFFG']"
1,42,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'FHHG']"
1,6,0,0.0,0.0,"['SFFH', 'HFFH', 'HHFF', 'HFFG']"
1,55,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FHHF', 'FFFG']"
1,29,0,1.0,0.798246224976786,"['SFHF', 'FFHH', 'FFFF', 'HHFG']"
1,19,0,1.0,0.9791880578299021,"['SHFF', 'FFFH', 'HFFF', 'FFFG']"
1,93,0,1.0,0.8275513922024125,"['SHHH', 'FFFF', 'FFHF', 'FHFG']"
1,9,0,0.0,0.0,"['SHHH', 'FHFH', 'FHHF', 'FFFG']"
1,98,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FHFF', 'FFFG']"
