Temperature,Simulations,Return,Discounted Return,Map
1,55,0,1.0,0.9821344612135428,"['SHHF', 'FFHF', 'FFHH', 'FFFG']"
1,79,0,1.0,0.985089730404757,"['SHFH', 'FHHF', 'FFHH', 'FFFG']"
1,6,0,1.0,0.9083329444789534,"['SFFH', 'FFFF', 'HHHF', 'HHFG']"
1,35,0,1.0,0.90289112180858,"['SHHH', 'FHHH', 'FFFF', 'FHHG']"
1,58,0,1.0,0.9001824484431542,"['SHFF', 'FHFH', 'FFFH', 'FHFG']"
1,44,0,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HFFF', 'HFFG']"
1,79,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'FFFF', 'FFHG']"
1,4,0,0.0,0.0,"['SFFH', 'HHFF', 'FHHF', 'HHFG']"
1,46,0,1.0,0.9530650263643888,"['SFHH', 'FHFH', 'FFFF', 'FFHG']"
1,76,0,1.0,0.9276389118674717,"['SFFF', 'FHFH', 'HFFF', 'FHHG']"
1,46,0,1.0,0.9791880578299021,"['SHHF', 'FFFF', 'FFFF', 'FFFG']"
1,53,0,1.0,0.9276389118674717,"['SFHF', 'HFHF', 'FFFF', 'HHFG']"
1,40,0,1.0,0.9473552137914398,"['SHFF', 'FFFF', 'FFHF', 'FFHG']"
1,23,0,0.0,0.0,"['SHFH', 'FFFF', 'FFFF', 'FFHG']"
1,13,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HHHG']"
1,25,0,0.0,0.0,"['SFHH', 'HFFH', 'FFHH', 'HFFG']"
1,76,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FFHF', 'FHHG']"
1,7,0,1.0,0.8761671489944468,"['SFFF', 'HHFF', 'FHHF', 'FFHG']"
1,90,0,1.0,0.7539540549517295,"['SHHF', 'FFHH', 'HFHH', 'FFFG']"
1,88,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'HFFF', 'FHHG']"
1,13,0,1.0,0.9304302024748964,"['SFFF', 'HFFF', 'HFHF', 'HFFG']"
1,26,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'FHFG']"
1,72,0,1.0,0.9530650263643888,"['SHHH', 'FHFF', 'FFFF', 'FHFG']"
1,99,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHF', 'HFFG']"
1,92,0,1.0,0.9083329444789534,"['SFHH', 'HFHH', 'HFFF', 'HHHG']"
1,25,0,0.0,0.0,"['SHFH', 'FFHH', 'FFFF', 'FHFG']"
1,86,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'HHHF', 'HFHG']"
1,9,0,0.0,0.0,"['SHFH', 'FFFH', 'HFHF', 'HFFG']"
1,66,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'FFFH', 'HFFG']"
1,40,0,1.0,0.9733217421754432,"['SFHH', 'FFHF', 'FFFF', 'HHHG']"
1,20,0,0.0,0.0,"['SFFH', 'FFHF', 'HFFF', 'FHHG']"
1,5,0,0.0,0.0,"['SFHH', 'HFFH', 'HFFF', 'FHFG']"
1,27,0,1.0,0.8400771692771434,"['SFHF', 'HFFF', 'HFHH', 'HFFG']"
1,70,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'HHHG']"
1,66,0,1.0,0.9733217421754432,"['SFFH', 'FFHF', 'HFFH', 'HHFG']"
1,7,0,1.0,0.7792882711929549,"['SHHH', 'FFFF', 'HHFF', 'FFFG']"
1,98,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FFFF', 'FFFG']"
1,3,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'HHFG']"
1,84,0,1.0,0.9645880999032158,"['SFHH', 'FHHF', 'FFFH', 'HFFG']"
1,38,0,1.0,0.9332298921513504,"['SFFH', 'FFHH', 'FFFH', 'FHFG']"
1,38,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FFFF', 'HFFG']"
1,84,0,1.0,0.9445131481500655,"['SFHH', 'FFFF', 'HFHF', 'FHHG']"
1,65,0,1.0,0.78398512608332,"['SHHF', 'FHFH', 'FFFF', 'HHHG']"
1,90,0,1.0,0.8788035596734672,"['SHFH', 'FFFH', 'HHFH', 'HFFG']"
1,5,0,1.0,0.8250687380258053,"['SFFH', 'FHFF', 'FFHF', 'HFFG']"
1,36,0,1.0,0.9616943356035061,"['SFFF', 'HFHF', 'FFHF', 'HFHG']"
1,31,0,1.0,0.9193151828650342,"['SHFH', 'FHHF', 'FHHF', 'FFFG']"
1,94,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'FHFG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HFFF', 'HHFG']"
1,92,0,1.0,0.8250687380258053,"['SHHH', 'FFHF', 'FFFH', 'HHFG']"
1,93,0,1.0,0.9502058312852957,"['SFFH', 'FHFF', 'FFFF', 'FFHG']"
1,95,0,1.0,0.9616943356035061,"['SFFH', 'FHFH', 'FFHF', 'FFFG']"
1,44,0,1.0,0.9821344612135428,"['SFHH', 'HFHH', 'FFFF', 'HFFG']"
1,20,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'FHHG']"
1,43,0,1.0,0.9220814271464737,"['SFHH', 'FFFH', 'FFFF', 'HFHG']"
1,58,0,1.0,0.9248559951318693,"['SFHH', 'FFFH', 'HHFF', 'HFFG']"
1,85,0,1.0,0.9502058312852957,"['SFFF', 'FHFH', 'FFHH', 'FFFG']"
1,56,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FFFF', 'FHHG']"
1,89,0,1.0,0.8476834558136123,"['SFHF', 'HFFH', 'HFHH', 'HFFG']"
1,98,0,1.0,0.9473552137914398,"['SFHH', 'HFFH', 'FHFH', 'FHFG']"
1,90,0,1.0,0.9674905716180701,"['SFHF', 'FHFF', 'FHFF', 'FFFG']"
1,87,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'FFHF', 'HHHG']"
1,40,0,1.0,0.7584982177744161,"['SFHH', 'FFHF', 'HFHH', 'FFFG']"
1,36,0,0.0,0.0,"['SFHH', 'HFFF', 'HHHF', 'HHFG']"
1,6,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFF', 'HHFG']"
1,51,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FFHG']"
1,38,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'FFFF', 'FHHG']"
1,87,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'HFHG']"
1,48,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'FFFF', 'FHHG']"
1,28,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'FHHF', 'HHHG']"
1,48,0,1.0,0.9332298921513504,"['SFFF', 'HFHF', 'HHHF', 'FFHG']"
1,99,0,1.0,0.9616943356035061,"['SFHF', 'FFFF', 'HFFH', 'HHFG']"
1,65,0,0.0,0.0,"['SHFH', 'FHFF', 'FFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFF', 'FFFG']"
1,79,0,1.0,0.9791880578299021,"['SFFH', 'FHFH', 'HHFF', 'FFFG']"
1,56,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'HHFF', 'HHFG']"
1,19,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'FHFG']"
1,59,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'HFHF', 'FHHG']"
1,12,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'FHFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFF', 'FFFH', 'HHFG']"
1,16,0,1.0,0.9762504936564125,"['SHFF', 'FFHF', 'FFFF', 'FFFG']"
1,22,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'FHFG']"
1,23,0,1.0,0.9304302024748964,"['SFFF', 'FFHH', 'FHFF', 'FFFG']"
1,12,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHH', 'FFFG']"
1,90,0,1.0,0.985089730404757,"['SHFH', 'FHFF', 'FFHF', 'FFFG']"
1,48,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFH', 'FFFG']"
1,80,0,1.0,0.9762504936564125,"['SFFH', 'FFHH', 'FFFH', 'FHFG']"
1,64,0,1.0,0.9473552137914398,"['SFFH', 'HFHF', 'FFFH', 'HFFG']"
1,100,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'FHFH', 'HFFG']"
1,20,0,1.0,0.9791880578299021,"['SFHH', 'FFHF', 'FFFF', 'FFFG']"
1,28,0,1.0,0.747188804859888,"['SFFF', 'HFHH', 'HFFH', 'FFFG']"
1,77,0,1.0,0.9733217421754432,"['SHHF', 'FFFF', 'FFHF', 'HFFG']"
1,93,0,1.0,0.9762504936564125,"['SFFH', 'HFFH', 'FFFH', 'FFFG']"
1,29,0,1.0,0.7910835400474212,"['SFFH', 'HFFF', 'HHHF', 'HFHG']"
1,46,0,1.0,0.9645880999032158,"['SFHF', 'FFHH', 'FHFF', 'FFFG']"
1,60,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'FFFH', 'HFFG']"
1,2,0,0.0,0.0,"['SFHH', 'HFFF', 'FHFF', 'HHFG']"
1,70,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'FFFH', 'FFFG']"
1,46,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFH', 'HHFG']"
1,53,0,1.0,0.8814479033836181,"['SFFH', 'HFHH', 'FFFF', 'FFHG']"
1,87,0,1.0,0.9704017769489168,"['SFFH', 'FFHF', 'FFFF', 'FHHG']"
1,54,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'FFHG']"
1,7,0,0.0,0.0,"['SFFF', 'FHFF', 'HFFH', 'HFFG']"
1,70,0,1.0,0.9445131481500655,"['SFFH', 'FFFF', 'HFFH', 'HHFG']"
1,59,0,1.0,0.9704017769489168,"['SFHF', 'HFFF', 'HHFF', 'FFFG']"
1,20,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'FFHG']"
1,71,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'FFFF', 'HHHG']"
1,18,0,1.0,0.9165572373164391,"['SFHF', 'HFFF', 'HHFF', 'HFFG']"
1,82,0,1.0,0.9674905716180701,"['SFFH', 'HFFH', 'FHFF', 'FHFG']"
1,6,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHF', 'HFFG']"
1,77,0,1.0,0.9502058312852957,"['SFHH', 'HFHF', 'HFFF', 'FHHG']"
