Temperature,Simulations,Return,Discounted Return,Map
1,53,0,1.0,0.7630697687590515,"['SFHF', 'HFFH', 'HHFH', 'FHFG']"
1,76,0,1.0,0.9645880999032158,"['SHFH', 'FFHF', 'FFFF', 'FFHG']"
1,45,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'FHFF', 'FFHG']"
1,27,0,1.0,0.8894287717672626,"['SFHH', 'HFFF', 'HFFH', 'HFFG']"
1,95,0,1.0,0.9762504936564125,"['SHFF', 'FFHH', 'HFFH', 'FFFG']"
1,96,0,1.0,0.9762504936564125,"['SFFF', 'HFHH', 'HFFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HHHF', 'HHFF', 'HFFG']"
1,74,0,0.0,0.0,"['SFFF', 'HFHH', 'FFHH', 'HFFG']"
1,93,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HFHF', 'HFFG']"
1,32,0,1.0,0.9762504936564125,"['SFHH', 'FFHH', 'HFHH', 'FFFG']"
1,96,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'HHFF', 'FHHG']"
1,61,0,1.0,0.9559328248389055,"['SFFF', 'FHFF', 'HFFH', 'HHFG']"
1,99,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'HHFH', 'FHFG']"
1,75,0,1.0,0.9559328248389055,"['SFFF', 'FFHF', 'HHHF', 'HHFG']"
1,65,0,1.0,0.9138075656044898,"['SFFH', 'HHFF', 'FFHF', 'FFHG']"
1,33,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'FFFF', 'HHHG']"
1,17,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFF', 'HHFG']"
1,86,0,1.0,0.985089730404757,"['SHHH', 'FHHH', 'FFFH', 'FFFG']"
1,9,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'FFHF', 'HHHG']"
1,53,0,1.0,0.9138075656044898,"['SFHH', 'HFFF', 'FFFH', 'FHFG']"
1,87,0,1.0,0.9616943356035061,"['SFHF', 'FFHF', 'FHFH', 'FFFG']"
1,64,0,0.0,0.0,"['SHFF', 'FHHF', 'FFHH', 'HFFG']"
1,74,0,1.0,0.9791880578299021,"['SHHF', 'FFHH', 'FFFF', 'HHFG']"
1,92,0,1.0,0.9388545698794984,"['SFFF', 'FHFF', 'HHFH', 'HFFG']"
1,16,0,1.0,0.9733217421754432,"['SFFF', 'FHFH', 'HHFF', 'HFFG']"
1,29,0,1.0,0.7653658663581259,"['SHFF', 'FFFF', 'FFHF', 'HFHG']"
1,98,0,1.0,0.9248559951318693,"['SFHF', 'HFHF', 'HFFH', 'HHFG']"
1,8,0,0.0,0.0,"['SFHF', 'HFFH', 'FFFH', 'HFFG']"
1,58,0,1.0,0.9193151828650342,"['SFHH', 'HFFH', 'FHFF', 'HFFG']"
1,68,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FHFF', 'HFFG']"
1,54,0,1.0,0.9762504936564125,"['SHHH', 'FHFH', 'FFHF', 'FFFG']"
