Temperature,Simulations,Return,Discounted Return,Map
1,36,0,1.0,0.9220814271464737,"['SFFH', 'FFFH', 'FFFF', 'FFHG']"
1,100,0,1.0,0.985089730404757,"['SFHH', 'HFFH', 'HFFH', 'FFFG']"
1,55,0,1.0,0.9733217421754432,"['SFFH', 'HFHH', 'FFHH', 'FFFG']"
1,39,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFF', 'HFHG']"
1,39,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFH', 'FHFG']"
1,46,0,1.0,0.9165572373164391,"['SFFF', 'FFHH', 'FFFH', 'FHFG']"
1,34,0,1.0,0.9220814271464737,"['SFHF', 'FFFF', 'FHFH', 'FHFG']"
1,72,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'FHFF', 'HHFG']"
1,91,0,1.0,0.985089730404757,"['SFFH', 'FHFH', 'FFFH', 'FFFG']"
1,98,0,1.0,0.9616943356035061,"['SFFF', 'HHFF', 'HHFH', 'HFFG']"
1,42,0,1.0,0.8788035596734672,"['SFHH', 'FFHF', 'HFFH', 'HFFG']"
1,82,0,1.0,0.93603800616986,"['SFFF', 'HHHF', 'FFHF', 'HFHG']"
1,91,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'FHHF', 'HHFG']"
1,28,0,1.0,0.9304302024748964,"['SFHF', 'HFFF', 'HFHH', 'FFFG']"
1,76,0,1.0,0.9762504936564125,"['SFHH', 'FHHH', 'FHHF', 'FFFG']"
1,80,0,1.0,0.884100203995605,"['SFHH', 'HFHH', 'FFFF', 'FFHG']"
1,73,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'HHHG']"
1,85,0,1.0,0.9733217421754432,"['SFFH', 'HHFF', 'FHHF', 'FHFG']"
1,86,0,1.0,0.9559328248389055,"['SFHH', 'HFFH', 'HFFF', 'HFHG']"
1,72,0,1.0,0.9276389118674717,"['SFHH', 'FFFH', 'FFHH', 'HFFG']"
1,86,0,1.0,0.9138075656044898,"['SFHH', 'HFHH', 'FFFF', 'HFHG']"
1,67,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHF', 'FHHG']"
1,77,0,1.0,0.8054737627981655,"['SFHF', 'FHHF', 'FFHH', 'HFFG']"
1,87,0,1.0,0.8683052775100066,"['SFFH', 'FHFF', 'HHFH', 'FHFG']"
1,6,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'HHHG']"
1,34,0,0.0,0.0,"['SFFH', 'HFFH', 'HFHF', 'HFFG']"
1,58,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'HHFF', 'HHFG']"
1,83,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HHFF', 'HFHG']"
1,55,0,1.0,0.9530650263643888,"['SFFF', 'FHHF', 'HHHF', 'FFHG']"
1,28,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,13,0,0.0,0.0,"['SFHH', 'HFHH', 'FFHF', 'HFFG']"
1,92,0,1.0,0.9821344612135428,"['SHHF', 'FFHF', 'FFHH', 'FFFG']"
1,97,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'FFFF', 'HHHG']"
1,31,0,1.0,0.9530650263643888,"['SFFH', 'HHFH', 'HFFF', 'HFFG']"
1,98,0,1.0,0.985089730404757,"['SHHF', 'FFHF', 'FFFF', 'FHFG']"
1,8,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'HHFG']"
1,24,0,0.0,0.0,"['SFHH', 'HFFH', 'HFHF', 'HFFG']"
1,63,0,1.0,0.9762504936564125,"['SFFH', 'FHFH', 'FFFH', 'FHFG']"
1,74,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'HHHF', 'HFFG']"
1,87,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HHFF', 'HFFG']"
1,65,0,1.0,0.9276389118674717,"['SFHF', 'FHHF', 'FFFF', 'FHHG']"
1,25,0,1.0,0.9559328248389055,"['SFFH', 'FFFH', 'FFFF', 'HHFG']"
1,92,0,1.0,0.9645880999032158,"['SFHH', 'FHHH', 'FHFF', 'FFFG']"
1,4,0,0.0,0.0,"['SFHH', 'FFFH', 'FHFH', 'FHFG']"
1,28,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFF', 'HFHG']"
1,13,0,1.0,0.7562227231210928,"['SFFH', 'FFFH', 'HHFH', 'HFFG']"
1,92,0,1.0,0.9559328248389055,"['SFFH', 'HHFF', 'FFHF', 'HFFG']"
1,73,0,1.0,0.985089730404757,"['SHHH', 'FFHF', 'FFFF', 'FFHG']"
1,54,0,1.0,0.8947894553945313,"['SFFF', 'FHFF', 'HFFH', 'FHFG']"
1,14,0,0.0,0.0,"['SHHF', 'FFHF', 'FFHH', 'HFFG']"
1,81,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'FFFG']"
1,25,0,1.0,0.8176653739626438,"['SFFH', 'FHHH', 'FFFF', 'HFFG']"
1,93,0,1.0,0.9502058312852957,"['SFHF', 'FHHH', 'FHFH', 'FFFG']"
1,70,0,1.0,0.9674905716180701,"['SFHH', 'FFFH', 'FFFF', 'HFHG']"
1,99,0,1.0,0.9762504936564125,"['SFFH', 'HFFH', 'FFFH', 'HHFG']"
1,37,0,1.0,0.9248559951318693,"['SFFF', 'FFFF', 'FHFH', 'HFFG']"
1,65,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HFFG']"
1,6,0,1.0,0.884100203995605,"['SFFF', 'FHFF', 'FFHF', 'HFFG']"
1,41,0,1.0,0.8921050870283477,"['SFHH', 'FFHH', 'HFHF', 'FFFG']"
1,43,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFH', 'FHFG']"
1,78,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HFFH', 'HHFG']"
1,55,0,1.0,0.93603800616986,"['SFHF', 'FFHH', 'HFFH', 'HFFG']"
