Temperature,Simulations,Return,Discounted Return,Map
1,9,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HHFF', 'HHFG']"
1,18,0,1.0,0.7887102894272789,"['SFFH', 'HFFH', 'HHFF', 'HHHG']"
1,30,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'FHFF', 'FHFG']"
1,88,0,1.0,0.9791880578299021,"['SFHF', 'FHFH', 'FFHH', 'HFFG']"
1,62,0,1.0,0.8631032605924442,"['SFHF', 'HFFF', 'HHHF', 'HFHG']"
1,89,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'FFFF', 'HFFG']"
1,17,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FFFG']"
1,52,0,1.0,0.9193151828650342,"['SFHF', 'FFHF', 'HFFH', 'HHFG']"
1,39,0,0.0,0.0,"['SHHF', 'FFFH', 'FFHH', 'HFFG']"
1,3,0,0.0,0.0,"['SHFH', 'FFHF', 'HFFH', 'FHFG']"
1,60,0,1.0,0.9674905716180701,"['SHFH', 'FHHH', 'FFFH', 'FFFG']"
1,89,0,1.0,0.9530650263643888,"['SFFF', 'FFHH', 'FHFF', 'FFFG']"
1,24,0,1.0,0.9165572373164391,"['SFFF', 'HFFH', 'HHFH', 'HHFG']"
1,79,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'HFFF', 'HHHG']"
1,6,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'HHFG']"
1,78,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFF', 'HHHG']"
1,66,0,1.0,0.884100203995605,"['SFFH', 'HHFH', 'HFFH', 'FFFG']"
1,5,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFF', 'HHFG']"
1,31,0,1.0,0.9616943356035061,"['SHHH', 'FFHH', 'FFFF', 'HFFG']"
1,4,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFH', 'HFFG']"
1,55,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'HHFF', 'HFFG']"
1,76,0,1.0,0.9388545698794984,"['SFFF', 'FFHF', 'HFFH', 'FHFG']"
1,95,0,1.0,0.985089730404757,"['SFHH', 'HFHH', 'FFHF', 'HFFG']"
1,37,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'FHHF', 'FHHG']"
1,60,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'FHHF', 'FHHG']"
1,2,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFH', 'HFFG']"
1,37,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FHHF', 'FHFG']"
1,36,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'HFHF', 'HFFG']"
1,68,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFFF', 'HHFG']"
1,67,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'HHFG']"
1,62,0,1.0,0.9473552137914398,"['SHFF', 'FFHF', 'FFFH', 'FHFG']"
