Temperature,Simulations,Return,Discounted Return,Map
1,57,0,1.0,0.9762504936564125,"['SHHH', 'FHFH', 'FFFH', 'HFFG']"
1,11,0,1.0,0.8867604854519608,"['SFFH', 'HFHH', 'FFFH', 'HFFG']"
1,61,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'HHFF', 'HFHG']"
1,3,0,1.0,0.9332298921513504,"['SFFF', 'FFHF', 'HFFF', 'FHHG']"
1,66,0,1.0,0.8103284404851119,"['SFHH', 'HFFF', 'FHFH', 'HFFG']"
1,73,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFH', 'HHFG']"
1,69,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'FFFH', 'FFFG']"
1,7,0,1.0,0.9645880999032158,"['SHFH', 'FHHF', 'FFHF', 'FFFG']"
1,73,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'HHFF', 'HFFG']"
1,9,0,0.0,0.0,"['SFFF', 'FFHF', 'HFFH', 'FHFG']"
1,61,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'FHFF', 'HFFG']"
1,51,0,1.0,0.8527925358961662,"['SHHH', 'FFFH', 'FFHF', 'HFFG']"
1,100,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'FFHG']"
1,91,0,1.0,0.9733217421754432,"['SFFH', 'FHFH', 'HHFF', 'HHHG']"
1,82,0,1.0,0.8974819010978248,"['SFHH', 'HFFF', 'FFFH', 'HHFG']"
1,10,0,1.0,0.9502058312852957,"['SHHF', 'FFHH', 'FFHH', 'FFFG']"
1,81,0,1.0,0.9304302024748964,"['SFHH', 'FHHH', 'FFFF', 'HHFG']"
1,30,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHHF', 'HHHG']"
1,24,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'HFFG']"
1,89,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FFHG']"
1,5,0,0.0,0.0,"['SHFF', 'FHFH', 'FHFF', 'FFFG']"
1,86,0,1.0,0.9791880578299021,"['SFHH', 'FFFH', 'FFFF', 'FHHG']"
1,79,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FFFF', 'HFHG']"
1,91,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'HFFH', 'HFFG']"
1,13,0,1.0,0.9530650263643888,"['SFFF', 'HHFF', 'FFHF', 'HHHG']"
1,63,0,1.0,0.9248559951318693,"['SHHF', 'FFFH', 'FFFH', 'HHFG']"
1,36,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FHHF', 'FHHG']"
1,74,0,1.0,0.860513950810667,"['SFHF', 'FHHF', 'FFHH', 'HFFG']"
1,26,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'HHFG']"
1,66,0,1.0,0.9445131481500655,"['SFHF', 'FFFH', 'HFFH', 'HHFG']"
1,64,0,1.0,0.9220814271464737,"['SHFH', 'FFHF', 'HFFF', 'HFFG']"
1,8,0,0.0,0.0,"['SFFH', 'FHFF', 'FFHF', 'HHFG']"
1,77,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'FFFF', 'FFFG']"
1,37,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'FFHF', 'FFFG']"
1,62,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFF', 'HFHG']"
1,19,0,1.0,0.8894287717672626,"['SHHF', 'FFFF', 'HFFF', 'HHFG']"
1,6,0,0.0,0.0,"['SFHH', 'FHHH', 'FFHH', 'HFFG']"
1,77,0,1.0,0.9645880999032158,"['SFHF', 'FFFH', 'FHFF', 'HFFG']"
1,56,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFH', 'FHFG']"
1,92,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'FHHF', 'FHFG']"
1,37,0,1.0,0.9616943356035061,"['SFFF', 'FFFF', 'HHFF', 'HFHG']"
1,79,0,1.0,0.9821344612135428,"['SHFF', 'FFHH', 'HFFF', 'HHHG']"
1,19,0,1.0,0.9083329444789534,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,16,0,1.0,0.8325391341551359,"['SHHF', 'FFFF', 'HFFF', 'FHHG']"
1,39,0,1.0,0.9193151828650342,"['SFHH', 'HFFF', 'HHHF', 'FFHG']"
1,89,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FHFF', 'HHHG']"
1,4,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFH', 'FHFG']"
1,23,0,1.0,0.9304302024748964,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,35,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'FHHG']"
1,81,0,1.0,0.985089730404757,"['SHHF', 'FFFH', 'FFFH', 'FFFG']"
1,97,0,1.0,0.9220814271464737,"['SFFF', 'FHFH', 'HFFH', 'FFFG']"
1,61,0,1.0,0.9674905716180701,"['SFFF', 'HHFH', 'HHFF', 'FFFG']"
1,57,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFH', 'HHFG']"
1,1,0,0.0,0.0,"['SFFH', 'FHFH', 'FFFF', 'FHFG']"
1,41,0,1.0,0.985089730404757,"['SHHH', 'FHFF', 'FFFH', 'FFFG']"
1,95,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FFHF', 'FFHG']"
1,4,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'HHHG']"
1,97,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FHHG']"
1,83,0,1.0,0.9733217421754432,"['SFFF', 'HHFH', 'FFFF', 'FFFG']"
1,51,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHF', 'FFFG']"
1,21,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'HFHG']"
1,10,0,0.0,0.0,"['SFHH', 'FFFF', 'HFFF', 'HHHG']"
1,30,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HFHG']"
1,19,0,1.0,0.9110661429076764,"['SFHF', 'HFFH', 'HFFH', 'HFFG']"
