Temperature,Simulations,Return,Discounted Return,Map
1,16,0,1.0,0.9110661429076764,"['SFFH', 'FHFF', 'FHHF', 'FFHG']"
1,89,0,1.0,0.9530650263643888,"['SFFH', 'FFHF', 'HFFF', 'HFFG']"
1,50,0,1.0,0.985089730404757,"['SHFF', 'FHFF', 'FFHH', 'FFFG']"
1,64,0,1.0,0.9733217421754432,"['SHHF', 'FHFH', 'FFFF', 'HFFG']"
1,74,0,1.0,0.9674905716180701,"['SHHH', 'FFFF', 'FFFF', 'FFHG']"
1,47,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FHFF', 'FFFG']"
1,35,0,1.0,0.9791880578299021,"['SFHH', 'FFHF', 'FFFF', 'HFFG']"
1,18,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HFFG']"
1,25,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'FFFF', 'FHHG']"
1,31,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HFHF', 'HFFG']"
1,26,0,1.0,0.9559328248389055,"['SFFH', 'FHFF', 'FFFF', 'HHHG']"
1,1,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFH', 'FHFG']"
1,81,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'HFFF', 'FHFG']"
1,32,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFFF', 'FHHG']"
1,97,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'HFFF', 'HHHG']"
1,89,0,1.0,0.9791880578299021,"['SFHF', 'HFHF', 'HFFH', 'HFFG']"
1,16,0,0.0,0.0,"['SHFF', 'FHFH', 'FFHH', 'HFFG']"
1,22,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'HHHG']"
1,13,0,0.0,0.0,"['SFFF', 'HHFH', 'FFFH', 'HHFG']"
1,47,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'FHFF', 'FFFG']"
1,55,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFF', 'FFHG']"
1,97,0,1.0,0.9416796087056153,"['SHHF', 'FHFH', 'FFFF', 'HHHG']"
1,37,0,1.0,0.9416796087056153,"['SFHF', 'FHHH', 'FFFH', 'FFFG']"
1,4,0,0.0,0.0,"['SFFH', 'FHFF', 'HFHF', 'HFHG']"
1,68,0,1.0,0.9704017769489168,"['SFHF', 'FFHH', 'FHHH', 'FFFG']"
