Temperature,Simulations,Return,Discounted Return,Map
1,49,0,1.0,0.7722956964947572,"['SFFH', 'FFFF', 'HFHF', 'HFHG']"
1,52,0,1.0,0.9616943356035061,"['SFHF', 'FHHF', 'FFFF', 'HFFG']"
1,66,0,1.0,0.9388545698794984,"['SFHF', 'HFFF', 'FFHF', 'HHHG']"
1,98,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HFHF', 'HHHG']"
1,59,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,11,0,0.0,0.0,"['SFFH', 'FHHF', 'FHHF', 'FFFG']"
1,90,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'FHFF', 'FHFG']"
1,33,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'FHHF', 'FHFG']"
1,94,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'FHHG']"
1,66,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HFHF', 'FHFG']"
1,54,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHHG']"
1,41,0,1.0,0.9674905716180701,"['SHFH', 'FFFF', 'FHFF', 'FFFG']"
1,16,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFH', 'HFFG']"
1,54,0,1.0,0.9083329444789534,"['SFHH', 'HFHF', 'FFFF', 'FHHG']"
1,67,0,1.0,0.9083329444789534,"['SFFH', 'FHFH', 'HHFH', 'FFFG']"
1,24,0,0.0,0.0,"['SFFH', 'HHFF', 'FFFH', 'HHFG']"
1,25,0,0.0,0.0,"['SFHH', 'FFHH', 'FHHH', 'FFFG']"
1,60,0,1.0,0.9193151828650342,"['SFHF', 'HFFH', 'FFFH', 'HHFG']"
1,94,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'FFFF', 'HHFG']"
1,35,0,1.0,0.9645880999032158,"['SHFF', 'FFHH', 'FFFF', 'FFFG']"
1,12,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'FFFF', 'FHFG']"
1,24,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFH', 'HFFG']"
1,23,0,1.0,0.8709180316048211,"['SFFH', 'FHHF', 'FFHH', 'FFFG']"
1,88,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FFFH', 'FHFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFF', 'FHHG']"
1,33,0,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHFF', 'HHFG']"
1,34,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'HFFH', 'HFFG']"
1,95,0,1.0,0.9645880999032158,"['SFFF', 'HHFH', 'HHFF', 'FFHG']"
1,27,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'HHFG']"
1,20,0,0.0,0.0,"['SHFH', 'FFFH', 'HFHH', 'FFFG']"
1,33,0,1.0,0.78398512608332,"['SFFH', 'FHHH', 'FHFH', 'FFFG']"
1,7,0,0.0,0.0,"['SHHF', 'FFHH', 'FFFF', 'HHHG']"
1,78,0,1.0,0.9416796087056153,"['SHFH', 'FHHF', 'FFFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFHF', 'FFFF', 'FFHF', 'FHHG']"
1,24,0,1.0,0.7653658663581259,"['SFHF', 'HFFF', 'FHHF', 'FHFG']"
1,5,0,0.0,0.0,"['SFFF', 'HFHF', 'FFHH', 'FFFG']"
1,30,0,1.0,0.884100203995605,"['SFFF', 'FHFF', 'FFFH', 'HHFG']"
1,5,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFF', 'FFHG']"
1,35,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'HFFG']"
1,59,0,1.0,0.9791880578299021,"['SFFH', 'HFHH', 'FFHF', 'FFFG']"
1,52,0,1.0,0.9445131481500655,"['SFHF', 'FHHH', 'FFHF', 'FFFG']"
1,27,0,1.0,0.9645880999032158,"['SFHH', 'HFHF', 'HFHH', 'HFFG']"
1,40,0,1.0,0.9056079456455165,"['SHFF', 'FFHF', 'FHFH', 'FFFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'HHFG']"
1,4,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'HHFG']"
1,67,0,1.0,0.9388545698794984,"['SFFH', 'HHFF', 'FFHF', 'HHFG']"
1,10,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FHHF', 'HHHG']"
1,27,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHFF', 'HFHG']"
1,32,0,1.0,0.7584982177744161,"['SHHF', 'FHHH', 'FHHH', 'FFFG']"
1,31,0,1.0,0.9762504936564125,"['SFHF', 'FFFH', 'FHFF', 'FHFG']"
1,85,0,1.0,0.9645880999032158,"['SFFH', 'HFFF', 'FHHF', 'HFFG']"
