Temperature,Simulations,Return,Discounted Return,Map
1,50,0,1.0,0.9388545698794984,"['SFFF', 'FFFH', 'FHHF', 'FFFG']"
1,29,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'FFHG']"
1,18,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHH', 'HFFG']"
1,81,0,1.0,0.9645880999032158,"['SFHH', 'FHHH', 'FHHF', 'FFFG']"
1,35,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'HHFF', 'FHHG']"
1,10,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFH', 'FFFG']"
1,23,0,1.0,0.798246224976786,"['SHFF', 'FHFH', 'FHFH', 'FFFG']"
1,50,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'HHHF', 'HHHG']"
1,6,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'HFHG']"
1,89,0,1.0,0.93603800616986,"['SFHF', 'HFHF', 'HFFH', 'FHFG']"
1,87,0,1.0,0.9083329444789534,"['SFHH', 'HFFF', 'HHFF', 'HHHG']"
1,86,0,1.0,0.8947894553945313,"['SFFH', 'FFHF', 'HFHH', 'FFFG']"
1,50,0,1.0,0.985089730404757,"['SFFF', 'HFFH', 'FFHF', 'FFFG']"
1,73,0,1.0,0.9733217421754432,"['SFFF', 'FFHH', 'FFFH', 'FFFG']"
1,63,0,1.0,0.8657003616774767,"['SFFH', 'HHFH', 'FHFF', 'FFHG']"
1,17,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HFHG']"
1,53,0,1.0,0.9530650263643888,"['SFFH', 'FFFH', 'FHFF', 'HFHG']"
1,47,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'FHFF', 'FHHG']"
1,100,0,1.0,0.9674905716180701,"['SFHH', 'HFFH', 'HFFF', 'FHFG']"
1,86,0,1.0,0.9733217421754432,"['SFHH', 'FFFH', 'FFHH', 'HFFG']"
1,21,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'HHHG']"
1,69,0,1.0,0.9445131481500655,"['SFHH', 'FHHF', 'FFFF', 'FFHG']"
1,32,0,1.0,0.7910835400474212,"['SFFH', 'FFHF', 'HFFF', 'HFHG']"
1,38,0,1.0,0.9110661429076764,"['SFFF', 'HFFH', 'HFHF', 'FFFG']"
1,44,0,1.0,0.9733217421754432,"['SFFF', 'HFHF', 'HHHF', 'FHFG']"
