Temperature,Simulations,Return,Discounted Return,Map
1,76,0,1.0,0.9791880578299021,"['SFFF', 'FHFH', 'HFFH', 'HFFG']"
1,90,0,1.0,0.9416796087056153,"['SFHF', 'FFFH', 'HFHF', 'FFFG']"
1,58,0,1.0,0.8947894553945313,"['SFFF', 'FHHF', 'FHFH', 'FFFG']"
1,88,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'FFFF', 'FHHG']"
1,54,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FFFF', 'FHHG']"
1,16,0,1.0,0.93603800616986,"['SFFF', 'FHHF', 'HFHF', 'HFFG']"
1,44,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'HFFF', 'FFFG']"
1,89,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FFHG']"
1,99,0,1.0,0.9616943356035061,"['SHHH', 'FFFF', 'FFFF', 'HFHG']"
1,28,0,1.0,0.8250687380258053,"['SFFH', 'HFHF', 'HFFH', 'FFFG']"
1,18,0,1.0,0.78398512608332,"['SFHF', 'HFFH', 'FFHF', 'HFFG']"
1,75,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'FFHF', 'HFFG']"
1,90,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'FFFF', 'HFFG']"
1,78,0,1.0,0.9332298921513504,"['SHHF', 'FFHH', 'HFFH', 'HHFG']"
1,23,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HHFG']"
1,67,0,1.0,0.9821344612135428,"['SFHF', 'FHHH', 'FFHF', 'FFFG']"
1,89,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'FHFG']"
1,29,0,1.0,0.8894287717672626,"['SFFH', 'FFFF', 'HHFH', 'HHFG']"
1,21,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'HFHG']"
1,7,0,0.0,0.0,"['SFFH', 'FFHF', 'HFHH', 'HFFG']"
1,48,0,1.0,0.8006481694852418,"['SFFH', 'HFHH', 'FFFH', 'FHFG']"
1,33,0,1.0,0.8894287717672626,"['SFFH', 'HHFF', 'HFFH', 'HHFG']"
1,100,0,1.0,0.9733217421754432,"['SFFF', 'FHHH', 'FHFF', 'FFFG']"
1,93,0,1.0,0.9304302024748964,"['SHHF', 'FHFH', 'FFHH', 'HFFG']"
1,26,0,0.0,0.0,"['SHHF', 'FFFF', 'HHHF', 'FFHG']"
1,94,0,1.0,0.9588092525966956,"['SHHH', 'FFFH', 'HFHH', 'HFFG']"
1,52,0,1.0,0.9559328248389055,"['SFFH', 'HHFH', 'HFFF', 'HHFG']"
1,15,0,1.0,0.8814479033836181,"['SFHH', 'FFHF', 'HFFH', 'FFFG']"
1,39,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HFHF', 'FFHG']"
1,36,0,1.0,0.9616943356035061,"['SFFF', 'FFHH', 'HFFF', 'HFFG']"
1,8,0,0.0,0.0,"['SFHH', 'FFFH', 'FFFF', 'HFHG']"
1,16,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HHHG']"
1,92,0,1.0,0.9791880578299021,"['SHFH', 'FHFF', 'FFHF', 'FFFG']"
1,78,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HFFH', 'FFFG']"
1,61,0,1.0,0.9332298921513504,"['SFHF', 'HFHF', 'HFFF', 'FHHG']"
1,42,0,1.0,0.9733217421754432,"['SFHH', 'FFHF', 'HFHH', 'FFFG']"
1,88,0,1.0,0.985089730404757,"['SFHF', 'FHFF', 'FFFF', 'HFFG']"
1,38,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'HHFH', 'FHFG']"
1,42,0,1.0,0.9304302024748964,"['SFHH', 'FHHH', 'FFFF', 'FHFG']"
1,69,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'HHHF', 'FFFG']"
1,88,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FFHF', 'FFFG']"
1,24,0,1.0,0.9645880999032158,"['SHFF', 'FFFH', 'HFFH', 'FFFG']"
1,6,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FFFG']"
1,70,0,1.0,0.8502341582884777,"['SHFF', 'FFFH', 'HHFH', 'HHFG']"
1,68,0,1.0,0.9193151828650342,"['SFFH', 'HHFH', 'HFFF', 'FHHG']"
1,96,0,1.0,0.9762504936564125,"['SFFH', 'HFHH', 'FFFF', 'HHFG']"
1,27,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'FFFH', 'FFFG']"
1,95,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFF', 'FFHG']"
1,90,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FHFF', 'FHHG']"
1,16,0,0.0,0.0,"['SFHF', 'FHFF', 'FHFF', 'FFFG']"
1,69,0,1.0,0.9704017769489168,"['SHHH', 'FHHH', 'FFHH', 'FFFG']"
1,74,0,1.0,0.9674905716180701,"['SFHF', 'HFHH', 'FFHF', 'FFFG']"
1,48,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FFHG']"
1,51,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'HHFF', 'FFFG']"
1,94,0,1.0,0.985089730404757,"['SFFH', 'HHFF', 'FFFF', 'HHHG']"
1,87,0,1.0,0.9165572373164391,"['SFFF', 'FFFH', 'FHHH', 'FFFG']"
1,15,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'FHHG']"
1,10,0,0.0,0.0,"['SHHF', 'FFFH', 'FHHH', 'FFFG']"
1,19,0,1.0,0.9388545698794984,"['SFHF', 'HFHH', 'FFHF', 'FFFG']"
1,55,0,1.0,0.9645880999032158,"['SFFF', 'FFFF', 'FFFF', 'FHHG']"
1,26,0,1.0,0.9083329444789534,"['SFHF', 'HFFF', 'FHHF', 'FFFG']"
1,65,0,1.0,0.9416796087056153,"['SFFH', 'HFFH', 'HFFH', 'HHFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'FHHG']"
1,66,0,1.0,0.9304302024748964,"['SFFH', 'HFHF', 'HFFF', 'HHFG']"
1,48,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FFHH', 'FFFG']"
1,20,0,0.0,0.0,"['SFHH', 'HFFF', 'HFFH', 'FHFG']"
1,38,0,1.0,0.9388545698794984,"['SFHF', 'HFFH', 'FFFF', 'HHFG']"
1,43,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FHFG']"
1,72,0,1.0,0.9762504936564125,"['SFFH', 'HFFH', 'HFFF', 'FFFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FHFG']"
