Temperature,Simulations,Return,Discounted Return,Map
1,78,0,1.0,0.93603800616986,"['SFHH', 'FHHH', 'FFFF', 'HFFG']"
1,37,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'FHHF', 'FFFG']"
1,88,0,1.0,0.9530650263643888,"['SHHF', 'FHHH', 'FFFF', 'HHFG']"
1,59,0,1.0,0.985089730404757,"['SFHF', 'FHHF', 'FFFH', 'FFFG']"
1,67,0,1.0,0.8867604854519608,"['SFFH', 'HHFF', 'FHHF', 'FHHG']"
1,60,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'HHFF', 'FFFG']"
1,24,0,1.0,0.9473552137914398,"['SFFF', 'HHFF', 'FFHF', 'FFHG']"
1,22,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFFF', 'HHHG']"
1,59,0,1.0,0.767668872977057,"['SFHF', 'HFFF', 'FFHF', 'HHFG']"
1,47,0,1.0,0.9248559951318693,"['SFFH', 'HHFF', 'HHFH', 'FFFG']"
1,30,0,1.0,0.8103284404851119,"['SFFH', 'FHFH', 'HHFF', 'FFHG']"
1,67,0,1.0,0.9704017769489168,"['SHFF', 'FFHF', 'FHFF', 'FFFG']"
1,77,0,1.0,0.8683052775100066,"['SFHF', 'FHHF', 'FFFH', 'HHFG']"
1,92,0,1.0,0.9645880999032158,"['SFFH', 'FFFH', 'HHFF', 'FHHG']"
1,78,0,1.0,0.9083329444789534,"['SFHH', 'HFHF', 'FFHH', 'FFFG']"
1,34,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FHFF', 'HFHG']"
1,24,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FFHH', 'FFFG']"
1,15,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFH', 'FHFG']"
1,73,0,1.0,0.9733217421754432,"['SFHH', 'FHFH', 'FHHH', 'FFFG']"
1,35,0,0.0,0.0,"['SHFF', 'FHFF', 'FFHF', 'HFFG']"
1,15,0,1.0,0.884100203995605,"['SFHH', 'HFFH', 'FFFH', 'FFFG']"
1,54,0,0.0,0.0,"['SHHF', 'FFFH', 'HFHH', 'FFFG']"
1,89,0,1.0,0.9704017769489168,"['SHHH', 'FFHF', 'FFFH', 'FFFG']"
1,40,0,1.0,0.9704017769489168,"['SFFF', 'FHFF', 'HFFH', 'FFFG']"
1,71,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FFFF', 'FFHG']"
1,97,0,1.0,0.9304302024748964,"['SFFH', 'FFFH', 'FHFH', 'FHFG']"
1,10,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFH', 'HFFG']"
1,58,0,1.0,0.9733217421754432,"['SFHF', 'HFFF', 'HFFF', 'HFHG']"
1,77,0,1.0,0.9762504936564125,"['SHFH', 'FFHH', 'FHFH', 'FFFG']"
1,9,0,0.0,0.0,"['SFHF', 'FFFF', 'FHFH', 'FHFG']"
1,16,0,1.0,0.8867604854519608,"['SFHF', 'FFFH', 'HFFF', 'FHFG']"
1,11,0,1.0,0.7816331707050701,"['SFFH', 'HHFF', 'HFFH', 'HHFG']"
1,85,0,1.0,0.9530650263643888,"['SHHH', 'FHFF', 'FHFH', 'FFFG']"
1,76,0,1.0,0.9733217421754432,"['SHFF', 'FFHF', 'HFHF', 'FFFG']"
1,54,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FFFF', 'HFFG']"
1,99,0,1.0,0.8683052775100066,"['SFHF', 'HFHF', 'FFFH', 'HHFG']"
1,92,0,1.0,0.9645880999032158,"['SFFF', 'FFFH', 'FFFF', 'HFHG']"
1,94,0,1.0,0.9733217421754432,"['SFFF', 'FFHH', 'FFHF', 'HFFG']"
1,78,0,1.0,0.9674905716180701,"['SFFH', 'HFHF', 'FFFF', 'HHHG']"
1,96,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFHF', 'HHFG']"
1,96,0,1.0,0.9530650263643888,"['SHHH', 'FFFH', 'HFFF', 'HFHG']"
1,57,0,1.0,0.9821344612135428,"['SHFF', 'FHHH', 'FHFH', 'FFFG']"
1,10,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'FHHF', 'FFHG']"
1,34,0,1.0,0.9332298921513504,"['SFHF', 'HFHH', 'FFHF', 'FFFG']"
1,67,0,1.0,0.776950406379376,"['SFHH', 'HFHH', 'FFHF', 'HFFG']"
1,47,0,1.0,0.9388545698794984,"['SHFF', 'FFFH', 'HFFF', 'HFFG']"
1,35,0,1.0,0.884100203995605,"['SFHH', 'HFHF', 'FFFF', 'HFFG']"
1,76,0,1.0,0.985089730404757,"['SFHF', 'HFFH', 'HFFH', 'HFFG']"
1,93,0,1.0,0.9674905716180701,"['SFFF', 'HFHH', 'HFHH', 'FFFG']"
1,43,0,1.0,0.9645880999032158,"['SHHH', 'FHFH', 'FFFF', 'HFFG']"
