Temperature,Simulations,Return,Discounted Return,Map
1,92,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HHFF', 'FFFG']"
1,9,0,1.0,0.9530650263643888,"['SFFF', 'FFHF', 'FHHF', 'HHFG']"
1,81,0,1.0,0.9588092525966956,"['SFFH', 'HFFH', 'FFFF', 'FFHG']"
1,96,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HHFF', 'HFFG']"
1,83,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HFFF', 'FFFG']"
1,17,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'FHFG']"
1,4,0,0.0,0.0,"['SFHF', 'FFFF', 'FHHF', 'HHFG']"
1,54,0,1.0,0.9645880999032158,"['SFFH', 'FFHH', 'HFFH', 'HFFG']"
1,44,0,1.0,0.8006481694852418,"['SHHF', 'FFFF', 'HFHF', 'FFHG']"
1,15,0,0.0,0.0,"['SHHH', 'FFFF', 'HFFF', 'FFFG']"
1,57,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FHFF', 'HHHG']"
1,55,0,1.0,0.9588092525966956,"['SHFH', 'FFFF', 'HFFF', 'HHFG']"
1,69,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FHFF', 'HFFG']"
1,68,0,1.0,0.9645880999032158,"['SFFH', 'FHFH', 'HHFF', 'HFFG']"
1,79,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'HHHF', 'FFHG']"
1,75,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HFHG']"
1,52,0,1.0,0.9733217421754432,"['SHFF', 'FFHF', 'HFFH', 'HFFG']"
1,1,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHF', 'HHFG']"
1,81,0,1.0,0.7607805594527743,"['SHFF', 'FFFH', 'HHFF', 'FHHG']"
1,19,0,1.0,0.9248559951318693,"['SFHH', 'FFHH', 'FFHH', 'FFFG']"
1,61,0,1.0,0.9416796087056153,"['SFHH', 'HFFH', 'FFHH', 'FFFG']"
1,10,0,1.0,0.93603800616986,"['SFFH', 'HHFF', 'HFFF', 'FFFG']"
1,49,0,1.0,0.9083329444789534,"['SFHH', 'FHHF', 'FFHH', 'FFFG']"
1,69,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HHHF', 'FFHG']"
1,75,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFF', 'HHFG']"
1,23,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFF', 'HHFG']"
1,5,0,0.0,0.0,"['SFHH', 'FHHF', 'FHHH', 'FFFG']"
1,97,0,1.0,0.9733217421754432,"['SFHH', 'HFFH', 'HHFF', 'FFFG']"
1,64,0,1.0,0.9416796087056153,"['SFFF', 'HHHF', 'HHHF', 'FFFG']"
1,95,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'FFHF', 'HHHG']"
1,77,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'HFHF', 'HFHG']"
1,52,0,1.0,0.860513950810667,"['SFFH', 'HHFF', 'FFHF', 'FFHG']"
1,87,0,1.0,0.9473552137914398,"['SFFH', 'HHFH', 'HFFH', 'FFFG']"
1,66,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFHF', 'HHHG']"
1,4,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HFHG']"
1,61,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'FFFG']"
1,33,0,1.0,0.9056079456455165,"['SFFF', 'HFFH', 'HHFF', 'FHFG']"
1,40,0,1.0,0.9304302024748964,"['SFFF', 'FHFH', 'HFFF', 'HHFG']"
1,69,0,1.0,0.9220814271464737,"['SHHH', 'FFFF', 'HFHF', 'FHHG']"
1,99,0,1.0,0.9416796087056153,"['SFFF', 'HFFF', 'FFHH', 'FFFG']"
1,22,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHF', 'FFFG']"
1,73,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'HFFH', 'HHFG']"
1,67,0,1.0,0.8502341582884777,"['SFHF', 'HFHF', 'FFFF', 'HHHG']"
1,59,0,1.0,0.9332298921513504,"['SFFF', 'FHFH', 'FFFH', 'FHFG']"
1,75,0,1.0,0.8867604854519608,"['SFHH', 'FHHH', 'FFFF', 'FFHG']"
1,1,0,0.0,0.0,"['SFFF', 'FHFH', 'FHFF', 'HHFG']"
1,84,0,1.0,0.9332298921513504,"['SFHH', 'FFHH', 'FFFH', 'FHFG']"
1,78,0,1.0,0.9530650263643888,"['SHFH', 'FHFH', 'FFFH', 'FHFG']"
1,62,0,1.0,0.9559328248389055,"['SFHH', 'HFFH', 'FFFF', 'HHHG']"
1,29,0,0.0,0.0,"['SFHF', 'HFFH', 'HHFH', 'FHFG']"
1,32,0,1.0,0.9588092525966956,"['SFFH', 'HFHF', 'HFFF', 'HHFG']"
1,19,0,0.0,0.0,"['SFHH', 'HFFF', 'FHHF', 'HHHG']"
1,72,0,1.0,0.9762504936564125,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,79,0,1.0,0.9588092525966956,"['SHHH', 'FHFH', 'FHFH', 'FFFG']"
1,8,0,0.0,0.0,"['SFFH', 'FFFH', 'FHFF', 'FFHG']"
1,60,0,1.0,0.7562227231210928,"['SFHF', 'FFFF', 'HHFH', 'FHFG']"
1,99,0,1.0,0.9762504936564125,"['SFHH', 'FHHH', 'FHFF', 'FFFG']"
1,6,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'HFHG']"
1,86,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'HFFF', 'FFHG']"
1,52,0,1.0,0.9220814271464737,"['SFHF', 'HFFH', 'FFFF', 'FHFG']"
1,42,0,1.0,0.8921050870283477,"['SFFF', 'HFFH', 'HFHH', 'FFFG']"
1,86,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FFFH', 'FHFG']"
1,84,0,1.0,0.9733217421754432,"['SFHH', 'FFHF', 'FFFF', 'FHFG']"
1,15,0,0.0,0.0,"['SFHH', 'FHHF', 'FFHF', 'HFFG']"
1,71,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FHFH', 'FFFG']"
1,31,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'HFHG']"
1,86,0,1.0,0.9762504936564125,"['SFFH', 'FFHH', 'FFFH', 'FFFG']"
1,12,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFF', 'HHFG']"
1,58,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'HHFG']"
1,84,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFH', 'FFFG']"
1,85,0,1.0,0.9332298921513504,"['SFFF', 'FHHH', 'FFFH', 'HFFG']"
1,10,0,0.0,0.0,"['SFFH', 'HFFF', 'FHFF', 'FFFG']"
1,44,0,1.0,0.9502058312852957,"['SFFH', 'FFFH', 'FHHH', 'FFFG']"
1,58,0,1.0,0.9502058312852957,"['SFFH', 'HFHH', 'HFFF', 'HFFG']"
1,26,0,1.0,0.9165572373164391,"['SFFH', 'FHFH', 'HFFF', 'HHFG']"
1,42,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFF', 'HHHG']"
1,76,0,1.0,0.9821344612135428,"['SHFF', 'FHFH', 'FFFH', 'FFFG']"
1,44,0,1.0,0.93603800616986,"['SFHH', 'FFHH', 'FFFF', 'FHHG']"
1,98,0,1.0,0.9821344612135428,"['SFHF', 'FHFF', 'FFFF', 'HFFG']"
1,81,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HHHG']"
1,86,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'FFFH', 'HHFG']"
1,55,0,1.0,0.9473552137914398,"['SFFH', 'FHFF', 'FFFF', 'HFHG']"
1,86,0,1.0,0.9332298921513504,"['SFFH', 'FFFF', 'HFHF', 'HHHG']"
1,64,0,1.0,0.9530650263643888,"['SFFH', 'HHFF', 'FHHF', 'HHHG']"
