Temperature,Simulations,Return,Discounted Return,Map
1,8,0,1.0,0.7910835400474212,"['SFFF', 'FFHF', 'FHFF', 'HFHG']"
1,3,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'FHFG']"
1,50,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'FFHH', 'FFFG']"
1,40,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHH', 'HFFG']"
1,99,0,1.0,0.8894287717672626,"['SHHH', 'FFFH', 'HFFF', 'FHHG']"
1,29,0,0.0,0.0,"['SFHF', 'HFFH', 'FFFF', 'HFHG']"
1,69,0,1.0,0.9276389118674717,"['SFFH', 'FHHF', 'FFFF', 'HFFG']"
1,56,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'HFFF', 'HFFG']"
1,48,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'HHHF', 'HFFG']"
1,28,0,1.0,0.9674905716180701,"['SFFH', 'HFFF', 'FHFF', 'FFFG']"
1,49,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'FFFF', 'HHHG']"
1,63,0,1.0,0.9220814271464737,"['SFHF', 'HFFH', 'FFFH', 'HHFG']"
1,34,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FFHF', 'HHHG']"
1,13,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'FHFG']"
1,19,0,1.0,0.9791880578299021,"['SFFF', 'FFHH', 'FFHF', 'FFFG']"
1,84,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FFFF', 'HHFG']"
1,19,0,1.0,0.8947894553945313,"['SFHH', 'HFFH', 'FFFF', 'FHFG']"
1,77,0,1.0,0.9110661429076764,"['SFFH', 'FHFF', 'FFFH', 'HHFG']"
1,10,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHF', 'FFFG']"
1,24,0,1.0,0.9220814271464737,"['SFFH', 'HHFH', 'FHFF', 'FFFG']"
1,36,0,1.0,0.7449472384453084,"['SFHH', 'HFFF', 'FHFH', 'FFFG']"
1,25,0,1.0,0.776950406379376,"['SFHF', 'HFHH', 'FFHF', 'FFFG']"
1,7,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFH', 'HFFG']"
1,47,0,1.0,0.8735386475474635,"['SFHF', 'FFFF', 'HHHF', 'HHHG']"
1,6,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHF', 'FFFG']"
1,51,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FFFF', 'FFFG']"
1,78,0,1.0,0.9704017769489168,"['SHHF', 'FFFH', 'FFFF', 'HHHG']"
1,14,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFF', 'FFHG']"
1,98,0,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'FHHF', 'HFFG']"
1,16,0,0.0,0.0,"['SFHH', 'HFHH', 'FFHF', 'FFFG']"
1,38,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'FHHF', 'FHHG']"
1,18,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'HHFF', 'FFHG']"
1,82,0,1.0,0.9762504936564125,"['SHHF', 'FFHH', 'HFFF', 'HFFG']"
1,64,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFH', 'HHFG']"
