Temperature,Simulations,Return,Discounted Return,Map
1,41,0,1.0,0.78398512608332,"['SFFH', 'FFFH', 'FHFF', 'HFHG']"
1,29,0,1.0,0.9220814271464737,"['SHHF', 'FFFH', 'FFFF', 'FFHG']"
1,68,0,1.0,0.9704017769489168,"['SFFF', 'HHHF', 'HHHF', 'FFHG']"
1,48,0,1.0,0.9083329444789534,"['SFFH', 'FHFH', 'HFFF', 'FHHG']"
1,6,0,0.0,0.0,"['SFFH', 'FFFF', 'HFFH', 'FFFG']"
1,82,0,1.0,0.9791880578299021,"['SFHF', 'FHFF', 'FFFF', 'FHFG']"
1,71,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFH', 'HHFG']"
1,27,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFH', 'HHFG']"
1,2,0,0.0,0.0,"['SFFH', 'FFHH', 'HFFF', 'HFHG']"
1,57,0,1.0,0.9502058312852957,"['SFFH', 'FHFF', 'FHHH', 'FFFG']"
1,12,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'HHFG']"
1,66,0,1.0,0.9674905716180701,"['SFFH', 'HFHF', 'HFFF', 'FHFG']"
1,76,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFH', 'HHFG']"
1,30,0,1.0,0.9791880578299021,"['SHFF', 'FFFF', 'FFFF', 'FHHG']"
1,79,0,1.0,0.9445131481500655,"['SHFH', 'FFHF', 'FFFF', 'FFHG']"
1,70,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'HHFF', 'FHHG']"
1,9,0,1.0,0.8867604854519608,"['SFFF', 'HFHF', 'HFFF', 'HFFG']"
1,10,0,1.0,0.9733217421754432,"['SFFH', 'HHFF', 'HFFF', 'HFHG']"
1,66,0,1.0,0.9276389118674717,"['SFHH', 'HFHH', 'HFFH', 'FHFG']"
1,76,0,1.0,0.8974819010978248,"['SHFH', 'FHFF', 'FFFH', 'HHFG']"
1,67,0,1.0,0.9762504936564125,"['SHFF', 'FHFH', 'FFFF', 'HFFG']"
1,16,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFH', 'HFFG']"
1,9,0,0.0,0.0,"['SFFF', 'FHHH', 'FHHH', 'FFFG']"
1,7,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FFFG']"
