Temperature,Simulations,Return,Discounted Return,Map
1,25,0,1.0,0.8176653739626438,"['SHFF', 'FFHF', 'FHFH', 'FFFG']"
1,22,0,1.0,0.9588092525966956,"['SFFF', 'HHFF', 'HHHF', 'FHFG']"
1,73,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HFHF', 'FFFG']"
1,49,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHFH', 'HFFG']"
1,90,0,1.0,0.985089730404757,"['SFHF', 'FHFH', 'FHHH', 'FFFG']"
1,5,0,0.0,0.0,"['SFFF', 'FFFH', 'FHFF', 'FHHG']"
1,66,0,1.0,0.9733217421754432,"['SFFF', 'HHFF', 'HFHF', 'FFFG']"
1,68,0,1.0,0.9616943356035061,"['SFHF', 'FFFF', 'HFHF', 'HFFG']"
1,64,0,1.0,0.9704017769489168,"['SHHH', 'FFFH', 'HFFF', 'FFFG']"
1,61,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'FFFF', 'HFHG']"
1,54,0,1.0,0.9762504936564125,"['SHHF', 'FHFF', 'FFHH', 'FFFG']"
1,86,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FFFH', 'HFFG']"
1,34,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'HHFF', 'FHFG']"
1,40,0,1.0,0.8974819010978248,"['SFHF', 'HFHH', 'FFFF', 'HHHG']"
1,98,0,1.0,0.9704017769489168,"['SHHF', 'FHHH', 'FHHF', 'FFFG']"
1,48,0,1.0,0.9445131481500655,"['SFFH', 'HFFF', 'HHHF', 'HFHG']"
1,72,0,1.0,0.9674905716180701,"['SHFF', 'FHHF', 'FFHF', 'FFFG']"
1,91,0,1.0,0.9502058312852957,"['SFFH', 'HFFF', 'HHHF', 'HHHG']"
1,10,0,0.0,0.0,"['SFHF', 'FFFH', 'HFFF', 'FHHG']"
1,44,0,0.0,0.0,"['SFHH', 'HFFF', 'FFHF', 'HHFG']"
1,74,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'FFFH', 'HFFG']"
1,74,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FHFF', 'HHHG']"
1,92,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'FHHF', 'HFFG']"
1,19,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'FFFH', 'FFFG']"
1,66,0,1.0,0.9762504936564125,"['SFHH', 'FHHF', 'FFFH', 'FFFG']"
1,90,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'HHHF', 'FHFG']"
1,96,0,1.0,0.9616943356035061,"['SFFH', 'FFFH', 'HFFF', 'FHHG']"
1,91,0,1.0,0.9473552137914398,"['SFFF', 'FFFH', 'HHFF', 'FHFG']"
1,33,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFF', 'FFHG']"
1,1,0,0.0,0.0,"['SFFF', 'FHFF', 'FFFF', 'FHHG']"
1,72,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'FHHF', 'HFHG']"
1,40,0,0.0,0.0,"['SHFH', 'FHHF', 'FHFF', 'FFFG']"
1,46,0,1.0,0.8761671489944468,"['SFFH', 'HHFF', 'HHHF', 'HHHG']"
1,58,0,1.0,0.9791880578299021,"['SHFF', 'FHHF', 'FFFF', 'FFFG']"
1,83,0,1.0,0.9248559951318693,"['SFHF', 'HFFF', 'HFFH', 'FHFG']"
1,83,0,1.0,0.985089730404757,"['SFHF', 'HFFH', 'FFFF', 'FFFG']"
1,64,0,1.0,0.9733217421754432,"['SFFH', 'HFHH', 'FFHF', 'FFFG']"
1,40,0,1.0,0.9388545698794984,"['SFHH', 'HFHF', 'HFFF', 'HHFG']"
1,5,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHF', 'FFHG']"
1,61,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'FFHF', 'FFHG']"
1,61,0,1.0,0.8921050870283477,"['SFFH', 'HHFH', 'HHFF', 'FFFG']"
1,98,0,1.0,0.9791880578299021,"['SHHF', 'FHHF', 'FHFF', 'FFFG']"
1,38,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'HHHG']"
1,84,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'HHHF', 'FFFG']"
1,58,0,1.0,0.8921050870283477,"['SFFF', 'FHFF', 'FHFH', 'HFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FHFH', 'FHFF', 'FFHG']"
1,98,0,1.0,0.9473552137914398,"['SFFH', 'FFHH', 'FHHF', 'FFFG']"
1,36,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'FHFH', 'HHFG']"
1,57,0,1.0,0.9645880999032158,"['SFHH', 'FFHH', 'HFFF', 'FFFG']"
1,27,0,1.0,0.8709180316048211,"['SHHH', 'FHFH', 'FFHF', 'FFFG']"
1,69,0,1.0,0.9138075656044898,"['SHHF', 'FFFH', 'HFFH', 'HHFG']"
1,35,0,1.0,0.9821344612135428,"['SFFF', 'HFHH', 'FFFH', 'HFFG']"
1,64,0,1.0,0.9674905716180701,"['SFFH', 'HHFH', 'HHFF', 'HHFG']"
1,74,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HFFH', 'HFFG']"
1,47,0,0.0,0.0,"['SFFF', 'FFHH', 'HFHH', 'FFFG']"
1,10,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'FFFF', 'FFFG']"
1,34,0,1.0,0.8735386475474635,"['SFFH', 'HFHF', 'HFFF', 'FHHG']"
1,47,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'FFFF', 'FHFG']"
1,50,0,1.0,0.9332298921513504,"['SHFF', 'FFFF', 'FHFH', 'FHFG']"
1,14,0,0.0,0.0,"['SFHF', 'HFHH', 'HFHH', 'HFFG']"
1,60,0,1.0,0.9674905716180701,"['SFHH', 'FHFH', 'FFFH', 'FFFG']"
1,38,0,1.0,0.9248559951318693,"['SFFF', 'FFFH', 'FFFF', 'FHFG']"
1,60,0,1.0,0.985089730404757,"['SFHF', 'HFFH', 'HFFH', 'FFFG']"
1,60,0,1.0,0.9559328248389055,"['SFHF', 'FFFH', 'HFHF', 'FFFG']"
1,77,0,1.0,0.9502058312852957,"['SFFF', 'FHHF', 'HHHF', 'FHHG']"
1,63,0,1.0,0.860513950810667,"['SFHF', 'HFHH', 'FFFF', 'HHHG']"
1,56,0,0.0,0.0,"['SHFF', 'FHHH', 'FFHH', 'HFFG']"
1,100,0,1.0,0.9821344612135428,"['SHHF', 'FFFF', 'HFFH', 'FHFG']"
1,4,0,1.0,0.8054737627981655,"['SFFF', 'FHHF', 'HHFF', 'HFHG']"
1,61,0,1.0,0.9332298921513504,"['SFFF', 'HHFH', 'HHFF', 'FFFG']"
1,98,0,1.0,0.9473552137914398,"['SFFF', 'FHFH', 'FHFF', 'HHHG']"
1,10,0,0.0,0.0,"['SFHH', 'FFHF', 'FFFH', 'HFFG']"
1,43,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FHHF', 'FHFG']"
1,52,0,1.0,0.9445131481500655,"['SHFH', 'FHFF', 'FFFF', 'FFHG']"
1,100,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'FFFH', 'FHFG']"
1,50,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FFFG']"
1,53,0,1.0,0.9733217421754432,"['SFHH', 'HFFH', 'FFFF', 'FFFG']"
1,22,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHH', 'FFFG']"
1,82,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'HFHF', 'FHFG']"
1,8,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHF', 'FFHG']"
1,95,0,1.0,0.9791880578299021,"['SHFH', 'FFFH', 'FHFH', 'FFFG']"
1,89,0,1.0,0.9473552137914398,"['SHHF', 'FFFH', 'HFFF', 'HHFG']"
1,90,0,1.0,0.860513950810667,"['SHFF', 'FFFH', 'HFFF', 'HFHG']"
1,41,0,1.0,0.9502058312852957,"['SFFH', 'FHFF', 'HHHF', 'FHFG']"
1,28,0,0.0,0.0,"['SFHH', 'FFFF', 'HFHF', 'FFHG']"
1,23,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'FHFG']"
1,47,0,1.0,0.9138075656044898,"['SHHF', 'FHFF', 'FHHF', 'FFFG']"
1,24,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFH', 'HHFG']"
1,49,0,1.0,0.9110661429076764,"['SFFH', 'HHFH', 'HHFF', 'HFHG']"
1,4,0,0.0,0.0,"['SFFH', 'FFHH', 'HFHH', 'HFFG']"
1,18,0,1.0,0.9704017769489168,"['SHFF', 'FHHH', 'FFFH', 'FFFG']"
1,59,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HFFF', 'HHFG']"
1,87,0,1.0,0.9791880578299021,"['SFHF', 'HFFH', 'HHFH', 'HFFG']"
1,15,0,1.0,0.8921050870283477,"['SFFF', 'FFFF', 'HFFF', 'FFHG']"
1,9,0,0.0,0.0,"['SHFH', 'FFFF', 'FFFH', 'HFFG']"
1,72,0,1.0,0.9220814271464737,"['SFHF', 'FFHF', 'FFHH', 'HFFG']"
1,51,0,1.0,0.93603800616986,"['SFFH', 'HHFH', 'HHFH', 'FHFG']"
1,7,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'HHHG']"
1,3,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,39,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'FFHG']"
1,3,0,0.0,0.0,"['SFHH', 'HFFH', 'FFHF', 'FFFG']"
1,61,0,1.0,0.8502341582884777,"['SFFH', 'FFHF', 'HFFF', 'FHHG']"
1,9,0,1.0,0.8300415167526705,"['SFFF', 'HHHF', 'HFFF', 'FFHG']"
1,85,0,1.0,0.9791880578299021,"['SFFH', 'FHHH', 'FFFF', 'FFFG']"
1,46,0,1.0,0.9110661429076764,"['SFHF', 'FFHH', 'HFFF', 'FHFG']"
1,38,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'FFFH', 'FHFG']"
1,41,0,1.0,0.8735386475474635,"['SHFF', 'FHHF', 'FHHH', 'FFFG']"
1,24,0,1.0,0.9388545698794984,"['SFHH', 'HFHH', 'FFFF', 'FFFG']"
1,85,0,1.0,0.9674905716180701,"['SFFF', 'HFHF', 'HHHF', 'HHFG']"
1,100,0,1.0,0.9674905716180701,"['SFFH', 'HHFF', 'FFFH', 'FFFG']"
1,27,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'FHFG']"
1,99,0,1.0,0.9110661429076764,"['SFFH', 'HFHH', 'HFFF', 'FHHG']"
