Temperature,Simulations,Return,Discounted Return,Map
1,5,0,0.0,0.0,"['SFHF', 'FFFF', 'HFHF', 'FFFG']"
1,4,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFH', 'FFFG']"
1,22,0,1.0,0.9616943356035061,"['SFFH', 'FFHH', 'FFFF', 'HFFG']"
1,50,0,1.0,0.8201257512162927,"['SHHH', 'FFFH', 'FHFH', 'HHFG']"
1,94,0,1.0,0.9138075656044898,"['SHFF', 'FFFF', 'HHHF', 'FFHG']"
1,94,0,1.0,0.9674905716180701,"['SFHH', 'HFHH', 'HFFF', 'HFFG']"
1,34,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FHFH', 'FHFG']"
1,67,0,1.0,0.9762504936564125,"['SFFF', 'FHHF', 'FHFF', 'FHHG']"
1,96,0,1.0,0.9791880578299021,"['SFFH', 'HFHF', 'FFFH', 'FFFG']"
1,25,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'HHFG']"
1,47,0,1.0,0.9616943356035061,"['SFFH', 'FFFH', 'HHFF', 'HFFG']"
1,7,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HFHG']"
1,19,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'HHHG']"
1,8,0,1.0,0.8553586117313603,"['SFHF', 'FHFH', 'FFFF', 'HFFG']"
1,71,0,0.0,0.0,"['SHHF', 'FFHF', 'HFHF', 'FFFG']"
1,39,0,1.0,0.9001824484431542,"['SHFF', 'FFFH', 'HFFF', 'HHHG']"
1,85,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HFHF', 'FHFG']"
1,20,0,0.0,0.0,"['SFFF', 'HFFH', 'HFHF', 'FFFG']"
1,56,0,1.0,0.985089730404757,"['SHFF', 'FHHF', 'FFFF', 'FFFG']"
1,91,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'HHHF', 'HHHG']"
1,94,0,0.0,0.0,"['SHFF', 'FFHF', 'FHFF', 'FFFG']"
1,13,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFH', 'HFFG']"
1,51,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHH', 'HFFG']"
1,9,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'FHFG']"
1,56,0,1.0,0.9388545698794984,"['SFFH', 'HFHH', 'FFHH', 'FFFG']"
1,14,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'FFHG']"
1,53,0,1.0,0.8921050870283477,"['SHFH', 'FHHF', 'FHHF', 'FFFG']"
1,8,0,1.0,0.9559328248389055,"['SFFF', 'FFFF', 'FFHF', 'HHFG']"
1,99,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FFFH', 'FFFG']"
1,100,0,1.0,0.9001824484431542,"['SHFH', 'FFFH', 'HHFF', 'FHFG']"
1,81,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'FFFH', 'HFFG']"
1,10,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'FHFG']"
1,54,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'FHFF', 'HFHG']"
1,22,0,1.0,0.9530650263643888,"['SFHF', 'FHHH', 'FFFH', 'FFFG']"
1,77,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'FFFH', 'HFFG']"
1,23,0,0.0,0.0,"['SFFH', 'HFHF', 'HFFH', 'FHFG']"
1,75,0,1.0,0.8275513922024125,"['SHFF', 'FFHH', 'HFHH', 'HFFG']"
1,74,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'HHHF', 'FHHG']"
1,9,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'FHFF', 'HHFG']"
1,77,0,1.0,0.9588092525966956,"['SFHH', 'HFHH', 'HFHF', 'HFFG']"
1,42,0,0.0,0.0,"['SHHF', 'FFFH', 'HFFH', 'FHFG']"
1,14,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'FFHG']"
1,90,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'HFFH', 'HHFG']"
1,100,0,1.0,0.90289112180858,"['SFFH', 'HFFF', 'FFHH', 'HFFG']"
1,88,0,1.0,0.9821344612135428,"['SFHH', 'FHFH', 'FFFF', 'HHFG']"
1,18,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'FFFF', 'HFHG']"
1,66,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FHHF', 'FFFG']"
1,26,0,0.0,0.0,"['SFFF', 'FHHH', 'FFHH', 'HFFG']"
1,3,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'HHFG']"
1,71,0,1.0,0.9388545698794984,"['SFFF', 'HFFH', 'FFHF', 'HFFG']"
1,18,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'HFFF', 'FHFG']"
1,88,0,1.0,0.9733217421754432,"['SFFH', 'HHFF', 'HHFH', 'FHFG']"
1,73,0,1.0,0.9762504936564125,"['SFFH', 'HFHF', 'FFFF', 'FFFG']"
1,54,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HHHG']"
1,97,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'HHHG']"
1,95,0,1.0,0.8947894553945313,"['SFFH', 'FHFF', 'FHHF', 'FHFG']"
1,44,0,1.0,0.9704017769489168,"['SFHF', 'FFHH', 'FFHH', 'HFFG']"
1,40,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HFFF', 'FFHG']"
1,24,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFH', 'HHFG']"
1,95,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFHF', 'FFHG']"
1,91,0,1.0,0.9304302024748964,"['SFHH', 'HFFF', 'HHHF', 'HHFG']"
1,27,0,1.0,0.9473552137914398,"['SFFF', 'HFFH', 'FFFF', 'FFHG']"
1,16,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'HFHG']"
1,2,0,1.0,0.9588092525966956,"['SFFF', 'HFHF', 'FHHF', 'FFHG']"
1,91,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'HFHF', 'HHHG']"
1,49,0,0.0,0.0,"['SFHH', 'HFFF', 'FHHF', 'HFFG']"
1,14,0,0.0,0.0,"['SFHF', 'HFHF', 'HFFF', 'FFHG']"
1,38,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'HHHF', 'FHHG']"
1,2,0,0.0,0.0,"['SFHF', 'FFHF', 'FFFF', 'HFHG']"
1,14,0,0.0,0.0,"['SFFF', 'FHFH', 'HHFH', 'FFFG']"
1,99,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HFHF', 'FFFG']"
1,50,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'HFFF', 'HHFG']"
1,63,0,1.0,0.9502058312852957,"['SFFF', 'FFFH', 'HFFF', 'FFHG']"
1,9,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFH', 'HFFG']"
1,66,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'HFFH', 'FFFG']"
1,32,0,1.0,0.9083329444789534,"['SFFH', 'HFHF', 'HFFF', 'HFHG']"
1,96,0,1.0,0.9791880578299021,"['SFFF', 'HHFH', 'FHFF', 'HFFG']"
