Temperature,Simulations,Return,Discounted Return,Map
1,45,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFH', 'HHFG']"
1,55,0,1.0,0.985089730404757,"['SFFH', 'HFFF', 'FHFF', 'FFHG']"
1,2,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFF', 'FHFG']"
1,72,0,1.0,0.9791880578299021,"['SFFF', 'HHFH', 'HFFF', 'FFFG']"
1,57,0,1.0,0.8867604854519608,"['SFHF', 'FFFF', 'HHFH', 'HFFG']"
1,49,0,1.0,0.9704017769489168,"['SFFF', 'HFFH', 'HFFH', 'HFFG']"
1,80,0,1.0,0.9445131481500655,"['SFFH', 'FHFH', 'FFFF', 'FFHG']"
1,61,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'HFFF', 'HFHG']"
1,68,0,1.0,0.8709180316048211,"['SFFH', 'HFHH', 'HFFF', 'FHFG']"
1,69,0,1.0,0.9502058312852957,"['SFHF', 'FFFF', 'HFFH', 'HFFG']"
1,28,0,0.0,0.0,"['SHHH', 'FHFF', 'FFFF', 'FHHG']"
1,79,0,1.0,0.8894287717672626,"['SFHF', 'FFFH', 'HFHH', 'HFFG']"
1,32,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFH', 'HHFG']"
1,21,0,1.0,0.8814479033836181,"['SFFF', 'FFFH', 'HHFH', 'FHFG']"
1,19,0,0.0,0.0,"['SFHH', 'FHFH', 'FHHH', 'FFFG']"
1,55,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'HHFF', 'HFHG']"
1,39,0,1.0,0.9704017769489168,"['SFHF', 'FFHH', 'FFHH', 'FFFG']"
1,33,0,1.0,0.884100203995605,"['SFFH', 'FHFF', 'HHFH', 'HFFG']"
1,12,0,0.0,0.0,"['SFFF', 'HHFF', 'HFFH', 'FHFG']"
1,75,0,1.0,0.8683052775100066,"['SHHH', 'FFFH', 'HHFF', 'FHHG']"
1,63,0,1.0,0.9704017769489168,"['SHHH', 'FFHH', 'HFFF', 'HFFG']"
1,25,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FFHG']"
1,93,0,1.0,0.9674905716180701,"['SHHH', 'FFFF', 'HHFF', 'HHHG']"
1,5,0,0.0,0.0,"['SHHH', 'FFFH', 'FFHH', 'FFFG']"
1,45,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'HFHF', 'FFHG']"
1,88,0,1.0,0.8709180316048211,"['SHFF', 'FFHF', 'FFFH', 'HHFG']"
1,95,0,1.0,0.985089730404757,"['SHFF', 'FFHH', 'FFHF', 'FFFG']"
1,60,0,1.0,0.9733217421754432,"['SFHF', 'FFFF', 'FFHF', 'FHHG']"
1,88,0,1.0,0.9332298921513504,"['SHHH', 'FHHF', 'FFFF', 'FFHG']"
1,75,0,1.0,0.9193151828650342,"['SFFH', 'FFHH', 'HFHF', 'HFFG']"
1,48,0,1.0,0.9165572373164391,"['SFHF', 'FFFF', 'FFFH', 'FHFG']"
1,20,0,1.0,0.9559328248389055,"['SFHF', 'FHFH', 'FFFF', 'FFFG']"
1,57,0,1.0,0.9193151828650342,"['SFFH', 'FHFH', 'FHFH', 'HFFG']"
1,69,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'FFFF', 'FFFG']"
1,74,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'HFFF', 'HFFG']"
1,80,0,1.0,0.985089730404757,"['SHHH', 'FHHH', 'FFHF', 'FFFG']"
1,94,0,1.0,0.9445131481500655,"['SFHF', 'HFFF', 'HFFH', 'HHFG']"
