Temperature,Simulations,Return,Discounted Return,Map
1,17,0,1.0,0.8152123778407558,"['SFFF', 'FHFH', 'FHFH', 'HFFG']"
1,41,0,1.0,0.9388545698794984,"['SFFF', 'FFFH', 'FFFF', 'HHHG']"
1,55,0,1.0,0.9588092525966956,"['SFHF', 'FHFF', 'FHFF', 'FFFG']"
1,30,0,1.0,0.9056079456455165,"['SHFH', 'FFFF', 'HFFF', 'HFHG']"
1,58,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'HFFF', 'FHHG']"
1,13,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'HFHF', 'HFFG']"
1,48,0,1.0,0.767668872977057,"['SFHH', 'FHFF', 'FHHF', 'FFFG']"
1,66,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'FHHF', 'FFFG']"
1,75,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHF', 'HFFG']"
1,14,0,0.0,0.0,"['SFHF', 'HFHF', 'FFHF', 'HFFG']"
1,93,0,1.0,0.93603800616986,"['SFHH', 'HFHH', 'FFFF', 'FHHG']"
1,55,0,1.0,0.8683052775100066,"['SFFF', 'HHFH', 'HHFF', 'HHHG']"
1,33,0,1.0,0.9733217421754432,"['SFFF', 'FFHF', 'FFHF', 'FFHG']"
1,3,0,0.0,0.0,"['SFFH', 'HHFF', 'HHFF', 'FFHG']"
1,22,0,1.0,0.8152123778407558,"['SFHF', 'HFFH', 'FFFF', 'FHHG']"
1,71,0,1.0,0.9502058312852957,"['SHHH', 'FFFF', 'HFFF', 'HHHG']"
1,19,0,1.0,0.9083329444789534,"['SFFF', 'HFFF', 'FFFH', 'FHFG']"
1,65,0,1.0,0.9530650263643888,"['SFFH', 'HFFH', 'HHFH', 'HHFG']"
1,84,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FFFF', 'HFFG']"
1,80,0,1.0,0.9530650263643888,"['SHHF', 'FFHF', 'HFFF', 'FHFG']"
1,74,0,1.0,0.9762504936564125,"['SHHF', 'FHFF', 'FFFH', 'FFFG']"
1,24,0,1.0,0.9165572373164391,"['SFFF', 'HHHF', 'FHHF', 'FFFG']"
1,73,0,1.0,0.9791880578299021,"['SHFH', 'FHHH', 'FFFF', 'FFFG']"
1,99,0,1.0,0.9791880578299021,"['SFFF', 'HFHH', 'FFHF', 'HFFG']"
1,60,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HHFG']"
1,30,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHH', 'HFFG']"
1,88,0,1.0,0.9248559951318693,"['SHHF', 'FHHH', 'FFFF', 'HHFG']"
1,25,0,1.0,0.9559328248389055,"['SFFF', 'HFFH', 'FFFH', 'FFFG']"
1,46,0,0.0,0.0,"['SFHF', 'FHHF', 'FFHH', 'HFFG']"
1,82,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFF', 'HHHG']"
1,16,0,1.0,0.8657003616774767,"['SFFH', 'FHFH', 'HHFF', 'FHFG']"
1,24,0,1.0,0.78398512608332,"['SFHF', 'FFHF', 'HFFH', 'FFFG']"
1,90,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFH', 'HHFG']"
1,20,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHH', 'FFFG']"
1,54,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'FFHF', 'HHHG']"
1,73,0,0.0,0.0,"['SHFF', 'FHFF', 'FFFF', 'HHHG']"
1,15,0,1.0,0.9138075656044898,"['SFFF', 'HHHF', 'FHFF', 'FHHG']"
1,84,0,1.0,0.9733217421754432,"['SFHF', 'FHHF', 'FHFF', 'FFFG']"
1,93,0,1.0,0.9220814271464737,"['SFFF', 'HFHH', 'HFHF', 'FFFG']"
1,78,0,1.0,0.9445131481500655,"['SFFH', 'FFHH', 'HFFF', 'HHFG']"
1,6,0,0.0,0.0,"['SFFF', 'FHFH', 'HFFF', 'HFHG']"
1,42,0,1.0,0.9248559951318693,"['SHHH', 'FHFH', 'FHHH', 'FFFG']"
1,28,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHH', 'FFFG']"
1,80,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HFFF', 'HHHG']"
1,19,0,0.0,0.0,"['SFHF', 'FFHH', 'HFHF', 'FFFG']"
1,65,0,1.0,0.9416796087056153,"['SFFF', 'HHFF', 'FHFH', 'FHFG']"
1,66,0,1.0,0.9388545698794984,"['SFFF', 'HHFF', 'HHFH', 'FFFG']"
