Temperature,Simulations,Return,Discounted Return
1,53,1.0,0.9762504936564125
1,91,1.0,0.985089730404757
1,28,1.0,0.9110661429076764
1,93,1.0,0.9388545698794984
1,65,1.0,0.9616943356035061
1,83,1.0,0.9762504936564125
1,16,0.0,0.0
1,34,1.0,0.9645880999032158
1,55,1.0,0.9138075656044898
1,86,1.0,0.985089730404757
1,77,1.0,0.9733217421754432
1,28,1.0,0.9220814271464737
1,35,1.0,0.9056079456455165
1,47,1.0,0.9530650263643888
1,57,1.0,0.90289112180858
1,89,1.0,0.9559328248389055
1,25,0.0,0.0
1,81,1.0,0.9762504936564125
1,6,0.0,0.0
1,48,1.0,0.9001824484431542
1,48,1.0,0.9821344612135428
1,98,1.0,0.9791880578299021
1,94,1.0,0.9791880578299021
1,52,1.0,0.9530650263643888
1,86,1.0,0.985089730404757
1,44,1.0,0.9791880578299021
1,79,1.0,0.8788035596734672
1,90,1.0,0.9733217421754432
1,54,1.0,0.9791880578299021
1,19,1.0,0.8867604854519608
1,70,1.0,0.9791880578299021
1,83,1.0,0.985089730404757
1,34,1.0,0.9733217421754432
1,38,1.0,0.9502058312852957
1,68,1.0,0.9502058312852957
1,66,1.0,0.9138075656044898
1,65,1.0,0.9165572373164391
1,33,1.0,0.8683052775100066
1,51,1.0,0.9473552137914398
1,52,1.0,0.9416796087056153
1,21,1.0,0.9674905716180701
1,53,1.0,0.9674905716180701
1,66,1.0,0.9276389118674717
1,97,1.0,0.9616943356035061
1,98,1.0,0.9530650263643888
1,1,0.0,0.0
1,29,1.0,0.8657003616774767
1,78,1.0,0.9588092525966956
1,14,0.0,0.0
1,45,1.0,0.8735386475474635
1,84,1.0,0.9674905716180701
1,13,0.0,0.0
1,88,1.0,0.9502058312852957
1,89,1.0,0.9645880999032158
1,31,1.0,0.8657003616774767
1,1,0.0,0.0
1,63,1.0,0.9733217421754432
1,9,0.0,0.0
1,93,1.0,0.9733217421754432
1,33,1.0,0.9645880999032158
1,43,1.0,0.9445131481500655
1,56,1.0,0.9704017769489168
1,16,1.0,0.8788035596734672
1,51,1.0,0.9193151828650342
1,42,1.0,0.9645880999032158
1,100,1.0,0.9821344612135428
1,70,1.0,0.9276389118674717
1,34,1.0,0.9762504936564125
1,68,1.0,0.9821344612135428
1,31,1.0,0.8921050870283477
1,59,1.0,0.835044266956004
1,15,1.0,0.8325391341551359
1,74,1.0,0.9502058312852957
1,33,1.0,0.93603800616986
1,72,1.0,0.985089730404757
1,24,1.0,0.9332298921513504
1,98,1.0,0.9502058312852957
1,61,1.0,0.9588092525966956
1,56,1.0,0.9502058312852957
1,34,1.0,0.9110661429076764
1,46,1.0,0.9704017769489168
1,40,1.0,0.9821344612135428
1,89,1.0,0.985089730404757
1,56,1.0,0.9588092525966956
1,39,1.0,0.9276389118674717
1,55,1.0,0.9502058312852957
1,50,1.0,0.9821344612135428
1,44,1.0,0.93603800616986
1,74,1.0,0.985089730404757
1,37,1.0,0.9138075656044898
1,3,0.0,0.0
1,7,0.0,0.0
1,78,1.0,0.985089730404757
1,15,1.0,0.9559328248389055
1,3,0.0,0.0
1,29,1.0,0.9276389118674717
1,43,1.0,0.8894287717672626
1,72,1.0,0.90289112180858
1,39,1.0,0.8152123778407558
1,8,0.0,0.0
1,87,1.0,0.9502058312852957
1,67,1.0,0.985089730404757
1,75,1.0,0.9791880578299021
1,70,1.0,0.9674905716180701
1,70,1.0,0.9530650263643888
1,23,1.0,0.9138075656044898
1,88,1.0,0.985089730404757
1,1,0.0,0.0
1,70,1.0,0.9762504936564125
1,35,1.0,0.9704017769489168
1,38,1.0,0.8761671489944468
1,99,1.0,0.9502058312852957
1,26,1.0,0.8201257512162927
1,61,1.0,0.9791880578299021
1,90,1.0,0.9821344612135428
1,60,1.0,0.9791880578299021
1,41,1.0,0.9248559951318693
1,43,1.0,0.9138075656044898
